manuscript_figure	panels	canonical_renderer	source_data	reproducibility_status	note
Figure 1	A-E	scripts/publication_figures/reproduce_all_publication_figures.py; scripts/prescription_mining/plot_verified_spss_association_rules.R	derived_data/publication_intermediates/Figure1_pre_ppt_de.png; derived_data/publication_intermediates/Figure1_panels_de.png; separately held publication Additional file 1	publication_replay_upstream_conditional	Final BMC image is byte-exact; 390 prescriptions and 12 rules are verifiable in the publication workbook, while exact historical SPSS/network upstream remains external.
Figure 2	A-D	scripts/publication_figures/reproduce_all_publication_figures.py; scripts/transcriptomics_wgcna/build_figure2_panel_label_pvalue_geneitalic_exactcontent_20260726_v7.R	derived_data/publication_intermediates/Figure2_pre_alignment.png; staged GSE247531 CD34 inputs for full analysis	publication_replay_upstream_conditional	Final BMC image is byte-exact; full WGCNA recomputation needs public GEO counts and reviewed participant/timepoint staging.
Figure 3	A-D	scripts/bone_marrow_single_cell/render_bone_marrow_figure3_gene_format_fixed_v5.py; scripts/publication_figures/reproduce_all_publication_figures.py	derived_data/bone_marrow/Figure4A_bone_marrow_UMAP_display_source_data_20260716_v2.csv; derived_data/bone_marrow/Figure4B_subject_timepoint_composition_source_data_20260716_v2.csv; derived_data/bone_marrow/Figure4C_strict_module_compartment_projection_source_data_20260716_v2.csv; derived_data/bone_marrow/Figure4D_marrow_support_response_source_data_20260716_v2.csv	packaged_pixel_verified	Reference source values and panel geometry pass pixel-tolerance verification; historical Figure4 basenames are retained for provenance.
Figure 4	A-D	scripts/publication_figures/reproduce_all_publication_figures.py	derived_data/publication_intermediates/Figure4_pre_spacer_fix.png; derived_data/publication_intermediates/Figure4_priority_source_data.csv	publication_replay_upstream_conditional	Final BMC image is byte-exact; licensed or archived localization/bioactivity upstream inputs are not redistributed.
Figure 5	A-B	scripts/publication_figures/reproduce_all_publication_figures.py	derived_data/publication_intermediates/Figure5_pre_alignment.png; derived_data/publication_intermediates/Figure5_panelA_nodes.csv; derived_data/publication_intermediates/Figure5_panelA_edges.csv; derived_data/publication_intermediates/Figure5_panelB_nodes.csv; derived_data/publication_intermediates/Figure5_panelB_edges.csv	publication_replay_upstream_conditional	Final BMC image is byte-exact; full network regeneration requires licensed compound-target sources and the author-controlled Cytoscape upstream.
Figure 6	A-G	scripts/publication_figures/reproduce_all_publication_figures.py; scripts/docking/run_vina_matrix.py	derived_data/publication_intermediates/Figure6_pre_alignment.png; separately held prepared receptor/ligand and pose assets	publication_replay_upstream_conditional	Final BMC image is byte-exact; the 138-run docking table is in the publication supplement, but prepared structures and pose projects are excluded.
Figure 7	A-F	scripts/molecular_dynamics/build_figure7_five_complex_longform_md_20260726_v6.py --publication-final	derived_data/molecular_dynamics/Figure_7_five_system_md_source_data_20260725_v5_pbc_audited.csv	packaged_pixel_verified	Five systems x 100 ns = 500 ns total; derived descriptors and final geometry pass pixel tolerance; raw trajectories are intentionally excluded.
Figure 8	A-D	scripts/computational_perturbation/build_figure8_standard_and_s11_sensitivity_candidate_v5.R	derived_data/computational_perturbation/Figure8_standard_panelB_response_landscape_source_20260725_v4.csv; Figure8_standard_panelC_ranked_response_source_20260725_v4.csv; Figure8_standard_panelD_response_breadth_source_20260725_v4.csv	packaged_exact	Final BMC image is byte-exact from repository tables and the recorded R renderer.
Figure 9	A-F	scripts/geneformer_figures/build_bmc_geneformer_panels_20260803_v6.py; scripts/geneformer_figures/convert_bmc_geneformer_panels_rgb_20260803_v7.py	derived_data/geneformer/BMC_candidate_set_directional_recovery_extension_MVP_20260802_v1_donor_scores.csv; BMC_Geneformer_BIDIRECTIONAL_AUDIT_SINGLE_20260802_v1/candidate_bidirectional_summary.tsv; candidate_donor_bootstrap.tsv; BMC_Geneformer_REMATCH_20260802_v1_diagnostics.tsv; BMC_Geneformer_STATE_SPECIFIC_20260802_v1_state_gene_bootstrap.tsv	packaged_exact	Final BMC image is byte-exact; RGB conversion does not recompute results; repeating model inference requires official Geneformer assets.
Figure S8	A-F	scripts/computational_perturbation/build_figure8_standard_and_s11_sensitivity_candidate_v5.R	derived_data/computational_perturbation/FigureS11_matched_control_calibration_source_20260725_v4.csv; FigureS11_matched_control_covariate_balance_source_20260725_v4.csv; FigureS11_matched_control_pooled_null_source_20260725_v4.csv	packaged_pixel_verified	Historical FigureS11 basenames correspond to manuscript Figure S8; rasterizer-version differences pass the documented pixel tolerance.
Figure S9	A-F	scripts/geneformer_figures/build_bmc_geneformer_panels_20260803_v6.py; scripts/geneformer_figures/convert_bmc_geneformer_panels_rgb_20260803_v7.py	derived_data/geneformer/BMC_Geneformer_EXTENSION_TABLES_20260802_v1/Table_C1_simple_baselines.tsv; BMC_Geneformer_REMATCH_20260802_v1_diagnostics.tsv; candidate_bidirectional_summary.tsv; Table_C2_LODO_by_donor.tsv; donor_paired_bidirectional_effects.tsv; positive_control_gene_summary.tsv	packaged_exact	Final white-background, black-title RGB image is byte-exact.
