gene,coarse_cell_type,n_cells,mean_log1pCP10K,median_log1pCP10K,pct_cells_detected,interpretation_boundary
MPL,HSPC,681,0.089662588882586,0.0,8.95741556534508,marrow-side expression context; source ligand and inter-organ causality are not inferred
MPL,Erythroid,208333,0.0004186682273504,0.0,0.0326400522240836,marrow-side expression context; source ligand and inter-organ causality are not inferred
MPL,Megakaryocyte,1409,0.0879890353979292,0.0,7.31014904187367,marrow-side expression context; source ligand and inter-organ causality are not inferred
MPL,Myeloid,118457,0.0008279726543676,0.0,0.0683792431008721,marrow-side expression context; source ligand and inter-organ causality are not inferred
MPL,T_NK,334341,0.0001705352049923,0.0,0.0119638333318379,marrow-side expression context; source ligand and inter-organ causality are not inferred
MPL,B_Plasma,105047,0.0009640091025202,0.0,0.082820071015831,marrow-side expression context; source ligand and inter-organ causality are not inferred
MPL,Stromal_Endothelial,349,0.0,0.0,0.0,marrow-side expression context; source ligand and inter-organ causality are not inferred
JAK2,HSPC,681,0.133538875739844,0.0,10.5726872246696,marrow-side expression context; source ligand and inter-organ causality are not inferred
JAK2,Erythroid,208333,0.0949154155491731,0.0,7.31617170587473,marrow-side expression context; source ligand and inter-organ causality are not inferred
JAK2,Megakaryocyte,1409,0.181530956251158,0.0,11.3555713271824,marrow-side expression context; source ligand and inter-organ causality are not inferred
JAK2,Myeloid,118457,0.228967757097881,0.0,16.2371155778046,marrow-side expression context; source ligand and inter-organ causality are not inferred
JAK2,T_NK,334341,0.0744907360622215,0.0,4.91234996605262,marrow-side expression context; source ligand and inter-organ causality are not inferred
JAK2,B_Plasma,105047,0.0989719672771606,0.0,7.25770369453673,marrow-side expression context; source ligand and inter-organ causality are not inferred
JAK2,Stromal_Endothelial,349,0.255079966796078,0.0,18.0515759312321,marrow-side expression context; source ligand and inter-organ causality are not inferred
STAT5A,HSPC,681,0.267969337320148,0.0,23.7885462555066,marrow-side expression context; source ligand and inter-organ causality are not inferred
STAT5A,Erythroid,208333,0.0680301537177823,0.0,5.47104875367801,marrow-side expression context; source ligand and inter-organ causality are not inferred
STAT5A,Megakaryocyte,1409,0.117808855990002,0.0,10.2200141944642,marrow-side expression context; source ligand and inter-organ causality are not inferred
STAT5A,Myeloid,118457,0.115912031241876,0.0,8.68754062655647,marrow-side expression context; source ligand and inter-organ causality are not inferred
STAT5A,T_NK,334341,0.111190753337187,0.0,7.85724754068451,marrow-side expression context; source ligand and inter-organ causality are not inferred
STAT5A,B_Plasma,105047,0.0734081919681796,0.0,5.67174693232553,marrow-side expression context; source ligand and inter-organ causality are not inferred
STAT5A,Stromal_Endothelial,349,0.115397821375461,0.0,9.16905444126074,marrow-side expression context; source ligand and inter-organ causality are not inferred
STAT5B,HSPC,681,0.118378753081716,0.0,9.54478707782673,marrow-side expression context; source ligand and inter-organ causality are not inferred
STAT5B,Erythroid,208333,0.0565626429429891,0.0,4.38144701031522,marrow-side expression context; source ligand and inter-organ causality are not inferred
STAT5B,Megakaryocyte,1409,0.0870339388873898,0.0,7.097232079489,marrow-side expression context; source ligand and inter-organ causality are not inferred
STAT5B,Myeloid,118457,0.0680489356650631,0.0,4.99084055817723,marrow-side expression context; source ligand and inter-organ causality are not inferred
STAT5B,T_NK,334341,0.0855154937216484,0.0,5.96097995758821,marrow-side expression context; source ligand and inter-organ causality are not inferred
STAT5B,B_Plasma,105047,0.0440124445244679,0.0,3.42798937618399,marrow-side expression context; source ligand and inter-organ causality are not inferred
STAT5B,Stromal_Endothelial,349,0.0746964228145401,0.0,6.01719197707736,marrow-side expression context; source ligand and inter-organ causality are not inferred
PIM1,HSPC,681,0.196248803254998,0.0,18.0616740088106,marrow-side expression context; source ligand and inter-organ causality are not inferred
PIM1,Erythroid,208333,0.602054475083429,0.0,33.0048528077645,marrow-side expression context; source ligand and inter-organ causality are not inferred
PIM1,Megakaryocyte,1409,0.254159516002031,0.0,16.0397444996451,marrow-side expression context; source ligand and inter-organ causality are not inferred
PIM1,Myeloid,118457,0.168193687994941,0.0,12.0009792582963,marrow-side expression context; source ligand and inter-organ causality are not inferred
PIM1,T_NK,334341,0.512381538665705,0.0,30.3256256337093,marrow-side expression context; source ligand and inter-organ causality are not inferred
PIM1,B_Plasma,105047,0.208604990855517,0.0,15.0047121764543,marrow-side expression context; source ligand and inter-organ causality are not inferred
PIM1,Stromal_Endothelial,349,0.212597179260074,0.0,12.6074498567335,marrow-side expression context; source ligand and inter-organ causality are not inferred
BCL2L1,HSPC,681,0.0982583346942892,0.0,9.69162995594714,marrow-side expression context; source ligand and inter-organ causality are not inferred
BCL2L1,Erythroid,208333,0.730240501311032,0.0,37.0147792236468,marrow-side expression context; source ligand and inter-organ causality are not inferred
BCL2L1,Megakaryocyte,1409,0.383659256213252,0.0,20.5110007097232,marrow-side expression context; source ligand and inter-organ causality are not inferred
BCL2L1,Myeloid,118457,0.0664622532831819,0.0,4.96551491258431,marrow-side expression context; source ligand and inter-organ causality are not inferred
BCL2L1,T_NK,334341,0.132665051502593,0.0,8.79820303223356,marrow-side expression context; source ligand and inter-organ causality are not inferred
BCL2L1,B_Plasma,105047,0.085584462584348,0.0,6.93879882338382,marrow-side expression context; source ligand and inter-organ causality are not inferred
BCL2L1,Stromal_Endothelial,349,0.107472600190547,0.0,8.59598853868195,marrow-side expression context; source ligand and inter-organ causality are not inferred
