"gene","distance","Z","FC","p.value","p.adj","candidate","significant","neg_log10_q","response_rank"
"PRSS57",2.52723689082382e-05,3.83572176248914,1681.25459580449,0,0,"CA2",TRUE,12,1
"SMIM24",6.09377270754821e-06,2.7084398813952,97.7493959546779,4.74828443427205e-23,4.74828443427205e-20,"CA2",TRUE,12,2
"GYPC",3.02709048573133e-06,2.23013721121159,24.1208376583052,9.04759507292505e-07,0.000678569630469379,"CA2",TRUE,3.16840558119946,3
"CDCA7",2.97702191008252e-06,2.21929014601813,23.3295113036337,1.36489665030169e-06,0.000818937990181013,"CA2",TRUE,3.08674898168497,4
"RPS18",2.719754083846e-06,2.16094175276119,19.4715648173719,1.02108467475162e-05,0.00510542337375809,"CA2",TRUE,2.29196823765877,5
"C1orf228",2.53366267563507e-06,2.11569316144437,16.8981502374946,3.94399982746936e-05,0.0169028564034401,"CA2",TRUE,1.77203989802367,6
"SPINK2",2.5078468487453e-06,2.10919136773292,16.5555495644739,4.72455195411155e-05,0.0177170698279183,"CA2",TRUE,1.75160810314832,7
"CD34",2.45046194784485e-06,2.09452961168821,15.8065651405454,7.01586477776399e-05,0.02338621592588,"CA2",TRUE,1.63104004477742,8
"RPS6",2.32061230933194e-06,2.06022854038108,14.1757734101863,0.000166500544898814,0.0499501634696441,"CA2",TRUE,1.30146308613974,9
"IMPDH2",2.21010715351963e-06,2.02970882539935,12.8578465999178,0.00033606709623162,0.0916546626086237,"CA2",FALSE,1.03784543693537,10
"ZFP36L2",2.05672278529151e-06,1.98508962291896,11.1350737646959,0.000847105615806019,0.211776403951505,"CA2",FALSE,0.674122430463325,11
"FABP5",2.03745029896807e-06,1.97928208705849,10.9273694470203,0.000947539391275911,0.218662936448287,"CA2",FALSE,0.660224824004413,12
"BST2",2.01842827047058e-06,1.97350340978173,10.7242818731,0.00105738698354239,0.226582925044798,"CA2",FALSE,0.644772821031442,13
"C1QTNF4",1.96719349004775e-06,1.95770207830652,10.1867520802854,0.00141453249782237,0.282906499564474,"CA2",FALSE,0.548357074838659,14
"RPS21",1.89355579417581e-06,1.9343585308572,9.4383872488542,0.0021249026784139,0.37680689978738,"CA2",FALSE,0.423881153352222,15
"ICAM3",1.88460776824547e-06,1.93146887649413,9.34939553539894,0.0022305902555107,0.37680689978738,"CA2",FALSE,0.423881153352222,16
"RPL18A",1.87595080323117e-06,1.92866194062435,9.26369972319666,0.00233740365432771,0.37680689978738,"CA2",FALSE,0.423881153352222,17
"LCP1",1.86854076577206e-06,1.92625042709342,9.19066071956782,0.00243253067435189,0.37680689978738,"CA2",FALSE,0.423881153352222,18
"IGFBP7",1.86254759486365e-06,1.9242939804674,9.13179888733553,0.00251204599858253,0.37680689978738,"CA2",FALSE,0.423881153352222,19
"HPSE",1.77188739492886e-06,1.89401619897492,8.26444734124523,0.00404289664587389,0.57755666369627,"CA2",FALSE,0.238405401005685,20
"RPS19",1.7619575618496e-06,1.89061929287753,8.17207732519766,0.0042540158790103,0.580093074410495,"CA2",FALSE,0.236502319437178,21
"RPS3A",1.73555391733663e-06,1.88150591234751,7.92898871810234,0.00486489796370887,0.620310418817861,"CA2",FALSE,0.207390924304798,22
"CALD1",1.73033417775511e-06,1.87969015496576,7.88136701182805,0.00499467115354611,0.620310418817861,"CA2",FALSE,0.207390924304798,23
"RPS5",1.72350228888275e-06,1.87730644308055,7.81925377757319,0.00516925349014884,0.620310418817861,"CA2",FALSE,0.207390924304798,24
"EEF1B2",1.71284774830287e-06,1.87357266738198,7.72287671103645,0.00545254465878064,0.629139768320843,"CA2",FALSE,0.201252861919707,25
"SELL",1.69651501122597e-06,1.86780997828607,7.57629703297221,0.00591408083125696,0.657120092361884,"CA2",FALSE,0.182355253447913,26
"TGFB1I1",1.67833566708479e-06,1.86133924646088,7.41479635393076,0.00646896361232059,0.693103244177206,"CA2",FALSE,0.159202068365485,27
"CCND1",1.63000522355913e-06,1.84383805600534,6.9939024719207,0.00817878415712423,0.812847586355794,"CA2",FALSE,0.0899908795104678,28
"DAAM1",1.62759988295229e-06,1.8429554165755,6.97327639657984,0.00827358729944147,0.812847586355794,"CA2",FALSE,0.0899908795104678,29
"FKBP4",1.62127412399086e-06,1.84062880268704,6.91917766426426,0.00852761817671185,0.812847586355794,"CA2",FALSE,0.0899908795104678,30
"RPS28",1.61779286576457e-06,1.83934505645521,6.88949535071501,0.00867037425446181,0.812847586355794,"CA2",FALSE,0.0899908795104678,31
"RPL12",1.59382108944525e-06,1.83044002516409,6.68683670664881,0.00971273983704594,0.882976348822358,"CA2",FALSE,0.0540509291670578,32
"RPL36",1.56436651174402e-06,1.81933880579449,6.44196855429572,0.0111455068877636,0.983427078332081,"CA2",FALSE,0.00725783772950888,33
"RBPMS2",1.55771386650977e-06,1.81680655522916,6.38729465810595,0.0114940073832402,0.985200632849164,"CA2",FALSE,0.00647531786134331,34
