"candidate","candidate_endpoint","matched_control_median","candidate_standardized_residual","matched_control_local_percentile","max_abs_standardized_matching_imbalance","individual_gate_pass","empirical_calibration_p","BH_q","reporting_status"
"CDK6",10,10.5,-0.179882920021137,0.523809523809524,0.95794278821296,TRUE,0.30939226519337,0.63646408839779,"calibrated_sensitivity_result"
"CA2",9,10.5,-0.484343890099066,0.238095238095238,0.81826934771003,TRUE,0.729281767955801,0.729281767955801,"calibrated_sensitivity_result"
"PARP1",12,11,-0.425635444333864,0.571428571428571,0.807929946287007,TRUE,0.657458563535912,0.729281767955801,"calibrated_sensitivity_result"
"KIT",10,11,-0.392045025141534,0.428571428571429,0.37282125326746,TRUE,0.574585635359116,0.729281767955801,"calibrated_sensitivity_result"
"SYK",12,10,-0.0608567438578445,0.666666666666667,0.428801553223268,TRUE,0.259668508287293,0.63646408839779,"calibrated_sensitivity_result"
"GSK3B",96,10,2.00449118662552,0.952380952380952,0.20041082620392,TRUE,0.0939226519337017,0.63646408839779,"calibrated_sensitivity_result"
"HIF1A",12,11.5,-0.367250799200891,0.666666666666667,0.642541908873835,TRUE,0.541436464088398,0.729281767955801,"calibrated_sensitivity_result"
"TOP2A",14,11,-0.0213149729695464,0.80952380952381,0.437189331243241,TRUE,0.215469613259669,0.63646408839779,"calibrated_sensitivity_result"
"TERT",11,13,-0.462837555946455,0.476190476190476,1.49901714269365,FALSE,NA,NA,"not_calibration_eligible"
"CD38",11,10,-0.220069185110077,0.666666666666667,0.891284910873585,TRUE,0.353591160220994,0.63646408839779,"calibrated_sensitivity_result"
