"candidate","candidate_endpoint","matched_control_mean","matched_control_median","matched_control_sd","endpoint_difference_from_median","candidate_standardized_residual","matched_control_local_percentile","max_abs_standardized_matching_imbalance","all_four_metrics_range_covered","individual_gate_pass","individual_gate_reason","pooled_null_homogeneity_p","global_homogeneity_gate_pass","empirical_calibration_p","BH_q","reporting_status"
"CDK6",10,11.15,10.5,6.39304721017911,-0.5,-0.179882920021137,0.523809523809524,0.95794278821296,TRUE,TRUE,"PASS",0.0941396013851905,TRUE,0.30939226519337,0.63646408839779,"calibrated_sensitivity_result"
"CA2",9,16.15,10.5,14.7622384552793,-1.5,-0.484343890099066,0.238095238095238,0.81826934771003,TRUE,TRUE,"PASS",0.0941396013851905,TRUE,0.729281767955801,0.729281767955801,"calibrated_sensitivity_result"
"PARP1",12,22.95,11,25.7262409551845,1,-0.425635444333864,0.571428571428571,0.807929946287007,TRUE,TRUE,"PASS",0.0941396013851905,TRUE,0.657458563535912,0.729281767955801,"calibrated_sensitivity_result"
"KIT",10,13.3,11,8.4174005238522,-1,-0.392045025141534,0.428571428571429,0.37282125326746,TRUE,TRUE,"PASS",0.0941396013851905,TRUE,0.574585635359116,0.729281767955801,"calibrated_sensitivity_result"
"SYK",12,12.75,10,12.3240244623,2,-0.0608567438578445,0.666666666666667,0.428801553223268,TRUE,TRUE,"PASS",0.0941396013851905,TRUE,0.259668508287293,0.63646408839779,"calibrated_sensitivity_result"
"GSK3B",96,27.2,10,34.322924669887,86,2.00449118662552,0.952380952380952,0.20041082620392,TRUE,TRUE,"PASS",0.0941396013851905,TRUE,0.0939226519337017,0.63646408839779,"calibrated_sensitivity_result"
"HIF1A",12,21.75,11.5,26.5486147918949,0.5,-0.367250799200891,0.666666666666667,0.642541908873835,TRUE,TRUE,"PASS",0.0941396013851905,TRUE,0.541436464088398,0.729281767955801,"calibrated_sensitivity_result"
"TOP2A",14,14.25,11,11.7288443366635,3,-0.0213149729695464,0.80952380952381,0.437189331243241,TRUE,TRUE,"PASS",0.0941396013851905,TRUE,0.215469613259669,0.63646408839779,"calibrated_sensitivity_result"
"TERT",11,23,13,25.9270230901234,-2,-0.462837555946455,0.476190476190476,1.49901714269365,FALSE,FALSE,"matching_imbalance_gt_1SD;candidate_outside_control_range",0.0941396013851905,TRUE,NA,NA,"not_calibration_eligible"
"CD38",11,15.05,10,18.4033034791955,1,-0.220069185110077,0.666666666666667,0.891284910873585,TRUE,TRUE,"PASS",0.0941396013851905,TRUE,0.353591160220994,0.63646408839779,"calibrated_sensitivity_result"
