"candidate","metric","standardized_difference"
"CDK6","Expression",0.95794278821296
"CDK6","Detection",0.731404707494121
"CDK6","Out-degree",0.448846688528085
"CDK6","Out-strength",0.802714709739297
"CA2","Expression",-0.247007489504585
"CA2","Detection",-0.683378322459429
"CA2","Out-degree",0.63371233574726
"CA2","Out-strength",0.81826934771003
"PARP1","Expression",0.807929946287007
"PARP1","Detection",0.794098030314573
"PARP1","Out-degree",0.322577592435615
"PARP1","Out-strength",-0.469637434329971
"KIT","Expression",-0.247841155119136
"KIT","Detection",-0.184197839325518
"KIT","Out-degree",0.342263815991806
"KIT","Out-strength",-0.37282125326746
"SYK","Expression",0.159432384233427
"SYK","Detection",0.399663940467992
"SYK","Out-degree",0.428801553223268
"SYK","Out-strength",0.408021846683983
"GSK3B","Expression",-0.106679231451797
"GSK3B","Detection",-0.00256200764356274
"GSK3B","Out-degree",0.20041082620392
"GSK3B","Out-strength",0.119031612097159
"HIF1A","Expression",0.163526878564937
"HIF1A","Detection",0.370889621839732
"HIF1A","Out-degree",0.239981368586707
"HIF1A","Out-strength",-0.642541908873835
"TOP2A","Expression",-0.17113477508818
"TOP2A","Detection",-0.437189331243241
"TOP2A","Out-degree",0.269584618847456
"TOP2A","Out-strength",0.226574546185915
"TERT","Expression",-1.41913144999145
"TERT","Detection",-1.49901714269365
"TERT","Out-degree",-1.33491203381986
"TERT","Out-strength",-1.10594071578393
"CD38","Expression",-0.639121926976331
"CD38","Detection",-0.503186784588601
"CD38","Out-degree",0.179449398494177
"CD38","Out-strength",-0.891284910873585
