"candidate","candidate_endpoint","matched_control_mean","matched_control_median","matched_control_sd","endpoint_difference_from_median","candidate_standardized_residual","matched_control_local_percentile","max_abs_standardized_matching_imbalance","all_four_metrics_range_covered","individual_gate_pass","individual_gate_reason","pooled_null_homogeneity_p","global_homogeneity_gate_pass","empirical_calibration_p","BH_q","reporting_status"
"CDK6",10,12.15,10,14.5177749491334,0,-0.14809431937973,0.619047619047619,1.13708330130468,TRUE,FALSE,"matching_imbalance_gt_1SD",0.230371710380952,TRUE,NA,NA,"not_calibration_eligible"
"CA2",9,18.3,9.5,22.9830601233078,-0.5,-0.404645854385971,0.523809523809524,1.06481532456063,TRUE,FALSE,"matching_imbalance_gt_1SD",0.230371710380952,TRUE,NA,NA,"not_calibration_eligible"
"PARP1",12,13.65,11,9.8262537702776,1,-0.167917503310459,0.714285714285714,0.559196527591828,TRUE,TRUE,"PASS",0.230371710380952,TRUE,0.338308457711443,0.417910447761194,"calibrated_empirical_result"
"KIT",10,12.6,11,8.98185304992941,-1,-0.28947256045571,0.476190476190476,1.01691942136915,TRUE,FALSE,"matching_imbalance_gt_1SD",0.230371710380952,TRUE,NA,NA,"not_calibration_eligible"
"SYK",12,11.1,9.5,14.3852995139226,2.5,0.0625638693952076,0.904761904761905,1.04727792225648,TRUE,FALSE,"matching_imbalance_gt_1SD",0.230371710380952,TRUE,NA,NA,"not_calibration_eligible"
"GSK3B",96,17.5,11,21.095023109729,85,3.72125688564882,1,1.56010165035195,TRUE,FALSE,"matching_imbalance_gt_1SD",0.230371710380952,TRUE,NA,NA,"not_calibration_eligible"
"HIF1A",12,15.35,11,13.7621716462575,1,-0.243420884879823,0.761904761904762,0.298004203411725,TRUE,TRUE,"PASS",0.230371710380952,TRUE,0.417910447761194,0.417910447761194,"calibrated_empirical_result"
"TOP2A",14,21.4,10,29.2276005101162,4,-0.253185340939593,0.80952380952381,2.67192094658738,FALSE,FALSE,"matching_imbalance_gt_1SD;candidate_outside_control_range",0.230371710380952,TRUE,NA,NA,"not_calibration_eligible"
"TERT",11,29.2,15,30.8008885722816,-4,-0.590892043821703,0.476190476190476,2.51871871072178,FALSE,FALSE,"matching_imbalance_gt_1SD;candidate_outside_control_range",0.230371710380952,TRUE,NA,NA,"not_calibration_eligible"
"CD38",11,26.3,13,23.1995916479489,-2,-0.659494366632643,0.380952380952381,1.74787856370755,FALSE,FALSE,"matching_imbalance_gt_1SD;candidate_outside_control_range",0.230371710380952,TRUE,NA,NA,"not_calibration_eligible"
