"gene","distance","Z","FC","p.value","p.adj"
"CDK6",0.000574346742345435,7.05684618890542,539029.032520262,0,0
"PRSS57",3.4406789682841e-05,4.05135292048734,1934.42607919302,0,0
"SMIM24",8.2408523753177e-06,2.90850568776834,110.970642807032,6.00534527283613e-26,6.00534527283613e-23
"GYPC",4.2113701546687e-06,2.44277042236858,28.9808195714991,7.30985026360095e-08,5.48238769770071e-05
"CDCA7",4.03233318801214e-06,2.41405163015606,26.5690883864292,2.54279848363113e-07,0.000152567909017868
"RPS18",3.6044021989883e-06,2.34065618529483,21.229038514446,4.0754297525952e-06,0.0020377148762976
"C1orf228",3.53409458982449e-06,2.32788262159326,20.4089269587095,6.253739456829e-06,0.00268017405292672
"CD34",3.3001930211992e-06,2.28374131844026,17.7968244345387,2.4579313081595e-05,0.00921724240559812
"SPINK2",3.26236409310355e-06,2.27634935883032,17.3911655756935,3.04236777512437e-05,0.0101412259170812
"RPS6",3.08726771628574e-06,2.24113652980593,15.5744391411197,7.9319670256711e-05,0.0237959010770133
"IMPDH2",3.05130277922892e-06,2.23369040764751,15.2136857807059,9.60051285641244e-05,0.0261832168811248
"ZFP36L2",2.90490767965394e-06,2.20257435703767,13.7888644531305,0.000204545010418337,0.0511362526045841
"BST2",2.86297615004183e-06,2.19341181376429,13.393660715771,0.000252476151328659,0.0582637272296904
"LCP1",2.77222037973111e-06,2.17317577882194,12.5579669792572,0.000394520717712503,0.0845401537955363
"C1QTNF4",2.67751665926221e-06,2.15143839487764,11.7146197528998,0.00062010980963871,0.124021961927742
"ICAM3",2.63682320681365e-06,2.14189293286397,11.3612432281618,0.000749926096275723,0.140611143051698
"FABP5",2.49956476400996e-06,2.10872674019841,10.2092213663591,0.00139740159561603,0.246600281579299
"RPL18A",2.48281346957726e-06,2.1045717458701,10.0728419276293,0.00150470760378546,0.24722374977739
"RPS21",2.47376927087032e-06,2.10231832051606,9.99959046702108,0.0015657504152568,0.24722374977739
"IGFBP7",2.45614148823585e-06,2.0979056565222,9.85758646715782,0.00169132844610209,0.253699266915314
"RPS19",2.26631414764344e-06,2.04856371343239,8.39274548025888,0.00376721468656398,0.538173526651998
"EEF1B2",2.25289038311706e-06,2.04494055853313,8.29361661027184,0.00397846758100608,0.542518306500829
