"gene","distance","Z","FC","p.value","p.adj"
"PARP1",0.000198592605852382,7.07287984365145,516243.212284532,0,0
"PRSS57",1.21902034774068e-05,4.08169909296368,1945.13664280859,0,0
"SMIM24",2.91803598310897e-06,2.93195681889814,111.457549768115,4.69756890392961e-26,4.69756890392961e-23
"GYPC",1.49843349780644e-06,2.46683558009684,29.3902413144063,5.91748742784433e-08,4.43811557088325e-05
"CDCA7",1.43227457778069e-06,2.43680112114441,26.852255597156,2.19617877366506e-07,0.000131770726419904
"RPS18",1.26863708421606e-06,2.35700348589511,21.0670152769335,4.43497001599109e-06,0.00221748500799555
"C1orf228",1.25234000391548e-06,2.34857562631163,20.5292324749849,5.87274855620943e-06,0.00251689223837547
"CD34",1.16807694750322e-06,2.30342237773064,17.8595746580945,2.37819663158562e-05,0.00891823736844609
"SPINK2",1.15189626303275e-06,2.29443049260339,17.3682053064936,3.07934361321714e-05,0.0102644787107238
"RPS6",1.0987174948094e-06,2.264086998117,15.8015716642999,7.03440516850581e-05,0.0211032155055174
"IMPDH2",1.0846056567393e-06,2.2558215738193,15.3982701897583,8.70679612990537e-05,0.0237458076270147
"ZFP36L2",1.03372327862238e-06,2.22522479324279,13.9873936728691,0.000184040450236574,0.0460101125591435
"BST2",1.02623892705325e-06,2.22061477004381,13.7855841583205,0.000204902469932008,0.0472851853689248
"LCP1",9.97467143763886e-07,2.2026171446796,13.0234307071791,0.00030761774927668,0.065918089130717
"C1QTNF4",9.51904229311369e-07,2.17317476076905,11.8608200872849,0.000573272940704206,0.114654588140841
"ICAM3",9.4107641562567e-07,2.16599879117826,11.5925234970822,0.00066217496165783,0.124157805310843
"FABP5",8.83879183684025e-07,2.12686175991058,10.2261937622888,0.0013846009735599,0.237198359717821
"RPS21",8.81301603384699e-07,2.12504694007812,10.1666372028174,0.00143004869054452,0.237198359717821
"RPL18A",8.77357632449776e-07,2.12226115740965,10.0758460337311,0.00150225627821287,0.237198359717821
"IGFBP7",8.71605951132364e-07,2.11817901734712,9.9441708941292,0.00161359529054615,0.242039293581922
"EEF1B2",8.05050347987323e-07,2.06916300521231,8.48348487020637,0.00358384927709808,0.505884435006472
"RPS19",8.02063697813247e-07,2.06688222540221,8.42065599874078,0.00370981919004746,0.505884435006472
"SELL",7.97260134138378e-07,2.06319847299691,8.32009532687146,0.00392088622661615,0.511419942602107
"RPS3A",7.8910955146787e-07,2.05690376174301,8.15084821572924,0.00430410245550293,0.538012806937866
