"gene","distance","Z","FC","p.value","p.adj"
"KIT",0.000232919371422007,6.84073467966365,563817.29290196,0,0
"PRSS57",1.3586866235341e-05,3.93880380738268,1918.51753380719,0,0
"SMIM24",3.23495224056154e-06,2.83392045901908,108.75842754914,1.83320404051189e-25,1.83320404051189e-22
"GYPC",1.66419538147449e-06,2.38804273846032,28.7829827911605,8.09593434533064e-08,6.07195075899798e-05
"CDCA7",1.59619304340824e-06,2.36132129290217,26.4787817911139,2.66448741161068e-07,0.000159869244696641
"RPS18",1.42076229526079e-06,2.28751315348958,20.9782868464678,4.64518210759884e-06,0.00232259105379942
"C1orf228",1.3971947090227e-06,2.27700076482891,20.2880841675698,6.66141602009733e-06,0.00285489258004171
"SPINK2",1.29700568402306e-06,2.23051419819712,17.4827976878133,2.89919106748511e-05,0.00987657117848296
"CD34",1.29547027538173e-06,2.22977780723271,17.4414295576281,2.96297135354489e-05,0.00987657117848296
"RPS6",1.21997812367009e-06,2.19259972172885,15.4678965700335,8.39185374916088e-05,0.0251755612474826
"IMPDH2",1.20140469295293e-06,2.18314657838942,15.0005029720523,0.000107482525621131,0.0293134160784904
"ZFP36L2",1.14638637895234e-06,2.15437863099045,13.6580660215651,0.000219297251497228,0.0548243128743071
"BST2",1.13535824344472e-06,2.14846816723126,13.3965512031208,0.000252087376798763,0.0581740100304838
"LCP1",1.09049073157906e-06,2.12389471276703,12.3586527768412,0.000438947325462883,0.0940601411706178
"C1QTNF4",1.0609714200188e-06,2.10724312022637,11.6986175599506,0.000625465497681712,0.125093099536342
"ICAM3",1.03553720347047e-06,2.09256948036329,11.1444486071139,0.000842835219565051,0.158031603668447
"FABP5",1.00422396827774e-06,2.07406723740075,10.4806529088513,0.00120631117875218,0.212878443309208
"RPS21",9.84887596834765e-07,2.06238962836021,10.0809279230404,0.00149811870234684,0.240670897448941
"RPL18A",9.83330117816418e-07,2.06144038114439,10.0490696291519,0.00152424901717663,0.240670897448941
"IGFBP7",9.75439638936673e-07,2.05661112620016,9.88844433912488,0.00166319918077496,0.249479877116245
"RPS19",9.00184921977829e-07,2.0087608554505,8.42152305160412,0.0037080504860859,0.523230589830566
"SELL",8.94801346667509e-07,2.00520590015709,8.32109406125339,0.0039187310210109,0.523230589830566
"EEF1B2",8.92515354708709e-07,2.00369075302714,8.27863177387867,0.00401143452203434,0.523230589830566
