"gene","distance","Z","FC","p.value","p.adj"
"SYK",0.000487993695333873,6.91299323326384,544563.097268359,0,0
"PRSS57",2.88279229485928e-05,3.99561696070045,1900.40642759007,0,0
"SMIM24",6.8938894409673e-06,2.88202105641531,108.679695740127,1.90748743450875e-25,1.90748743450875e-22
"GYPC",3.58345124397034e-06,2.43785417100601,29.3645118214149,5.9965774559939e-08,4.49743309199543e-05
"CDCA7",3.42817565978624e-06,2.40912803439694,26.8748419943306,2.17066161462024e-07,0.000130239696877214
"RPS18",3.0929472694807e-06,2.34303337920939,21.8758439801207,2.90872522392969e-06,0.00145436261196485
"C1orf228",3.00671920815552e-06,2.32502698997626,20.6730963875048,5.44760714540019e-06,0.00233468877660008
"CD34",2.81296019792796e-06,2.28286720249411,18.094515533664,2.10206031810812e-05,0.00788272619290546
"SPINK2",2.77612318828503e-06,2.27456737609758,17.6237065487717,2.69211484426107e-05,0.00897371614753691
"RPS6",2.652396688445e-06,2.24597072049867,16.0878029962916,6.04722642746378e-05,0.0181416792823913
"IMPDH2",2.62209788935409e-06,2.23879121511412,15.7223546079258,7.3352130001798e-05,0.0200051263641267
"BST2",2.47784966176251e-06,2.2035879295029,14.040083521157,0.000178954994488221,0.0440385544870981
"ZFP36L2",2.46716424863284e-06,2.20090984024914,13.9192524512576,0.000190833736110758,0.0440385544870981
"LCP1",2.36936287409122e-06,2.17591752338779,12.8375735177147,0.000339727882505175,0.0727988319653946
"C1QTNF4",2.27859666933047e-06,2.15190674361493,11.8728423686618,0.000569584178246868,0.113916835649374
"ICAM3",2.23674690204271e-06,2.14055465045268,11.4407230983498,0.000718518241457921,0.13472217027336
"FABP5",2.21202476098816e-06,2.1337614605096,11.1892184702424,0.000822739913379549,0.145189396478744
"RPS21",2.15455146332199e-06,2.11770995791165,10.6153307293258,0.00112153892020754,0.186923153367923
"IGFBP7",2.1123562175879e-06,2.10568656349973,10.2036158596966,0.00140165554955166,0.21650037226103
"RPL18A",2.10675624843529e-06,2.10407520033845,10.1495869103406,0.00144333581507353,0.21650037226103
"RPS19",1.97620114234514e-06,2.06541053415912,8.93062960314656,0.00280427663452647,0.400610947789495
"SELL",1.93153646976056e-06,2.05167169442863,8.53150423222272,0.00349051096163291,0.432873665514974
