"gene","distance","Z","FC","p.value","p.adj"
"GSK3B",9.0302571899119e-05,7.10598717676765,769197.620435975,0,0
"PRSS57",6.35384107211255e-07,2.16519783743528,38.0811792152061,6.78615711362443e-10,1.01792356704366e-06
"MYLK",4.63062672218592e-07,1.95528531029571,20.2263370569312,6.87991960552451e-06,0.00296559213856868
"ANKRD28",4.59765809412601e-07,1.95065560777494,19.9393518190972,7.99379123659914e-06,0.00296559213856868
"RAB27B",4.58285050374393e-07,1.94856698390087,19.8111220599031,8.54838158033401e-06,0.00296559213856868
"TLN1",4.57063906187992e-07,1.94684020921177,19.7056854751834,9.03322150080158e-06,0.00296559213856868
"PDE5A",4.54088964659448e-07,1.94261690859003,19.4499992244058,1.03267881474514e-05,0.00296559213856868
"TREML1",4.5263866422337e-07,1.940549453908,19.3259561505554,1.10198114035816e-05,0.00296559213856868
"GP9",4.52235920241653e-07,1.93997432469931,19.2915801662447,1.12200040566765e-05,0.00296559213856868
"GP6",4.47179650109277e-07,1.93271637173013,18.862608742111,1.4047943566744e-05,0.00296559213856868
"ARHGAP18",4.46515795428732e-07,1.93175825317217,18.806645835976,1.44662169718529e-05,0.00296559213856868
"GUCY1B3",4.44953199488467e-07,1.92949820241812,18.675247269373,1.54981397590645e-05,0.00296559213856868
"TUBA4A",4.44707486184849e-07,1.92914220012616,18.6546271695528,1.56666592307203e-05,0.00296559213856868
"LIMS1",4.43444937993055e-07,1.92731030119336,18.5488545737548,1.65604713067161e-05,0.00296559213856868
"ARHGAP6",4.41586495058656e-07,1.92460566765239,18.3937067748788,1.79650341683417e-05,0.00296559213856868
"SDPR",4.40251581155884e-07,1.92265693333076,18.2826666872143,1.90432044881939e-05,0.00296559213856868
"TPM4",4.40229228008837e-07,1.92262425882868,18.2808101816189,1.90617726340728e-05,0.00296559213856868
"PRKAR2B",4.4012683810346e-07,1.92247457324099,18.2723075532857,1.9147045739715e-05,0.00296559213856868
"ILK",4.3856571774125e-07,1.92018865358965,18.1429144799217,2.04930513128121e-05,0.00296559213856868
"VCL",4.38515645658471e-07,1.92011521903858,18.1387718777127,2.05376806673517e-05,0.00296559213856868
"C6orf25",4.37360362751324e-07,1.91841891654353,18.0433234736471,2.1593457036001e-05,0.00296559213856868
"LGALSL",4.37196128413541e-07,1.91817746065943,18.0297750264173,2.1747675682837e-05,0.00296559213856868
"FYB",4.30447228644704e-07,1.90818766402219,17.4774281311596,2.90739115023099e-05,0.00370943306157644
"CD226",4.29967544125834e-07,1.90747255071974,17.4384966207069,2.96754644926116e-05,0.00370943306157644
"RUFY1",4.26026013349886e-07,1.90157058272026,17.1202431776326,3.50863388919251e-05,0.00421036066703102
"DNM3",4.22062526089856e-07,1.89558853459098,16.80317230061,4.14639297456162e-05,0.00478429958603264
"CMTM5",4.20912893166589e-07,1.89384443290524,16.7117584934684,4.35104829488231e-05,0.00483449810542479
"MYL12A",4.1649529653422e-07,1.88710445016838,16.3628102994392,5.23014486888511e-05,0.00557654432247996
"MYL9",4.15765573010728e-07,1.88598523300801,16.305523373908,5.39065951173063e-05,0.00557654432247996
