"gene","distance","Z","FC","p.value","p.adj"
"HIF1A",0.000159415175891809,6.74954605027581,525500.704174406,0,0
"PRSS57",9.65117903994871e-06,3.95279782419757,1926.08177390039,0,0
"SMIM24",2.28472890262948e-06,2.85760953342834,107.940227325879,2.77007522225486e-25,2.77007522225486e-22
"GYPC",1.18522718183484e-06,2.42101707562014,29.0480633401722,7.06046485896102e-08,5.29534864422076e-05
"CDCA7",1.13905667314684e-06,2.39572752671755,26.8290096920154,2.22275500930147e-07,0.000133365300558088
"RPS18",1.01201007423235e-06,2.32120290957474,21.1779368290033,4.18555218595039e-06,0.0020927760929752
"C1orf228",9.9361187429093e-07,2.30974044736789,20.4149125013841,6.23421046612696e-06,0.00267180448548298
"CD34",9.29229347400229e-07,2.26811198196694,17.8549982461583,2.38392283887031e-05,0.00893971064576367
"SPINK2",9.21807286595229e-07,2.26315223413364,17.5709098474005,2.7679029369282e-05,0.009226343123094
"RPS6",8.71435103948841e-07,2.22853789778496,15.7030523369492,7.41044883257707e-05,0.0222313464977312
"IMPDH2",8.65959286196505e-07,2.22467040615389,15.506326511055,8.22295802425234e-05,0.0224262491570518
"ZFP36L2",8.22930027222872e-07,2.19351264294102,14.0036031718998,0.000182460647061453,0.042665609876147
"BST2",8.22200700856378e-07,2.19297237372688,13.9787926268235,0.000184884309463304,0.042665609876147
"LCP1",7.89937607715976e-07,2.1686430404122,12.9032632505146,0.000328009752962244,0.0702878042061951
"C1QTNF4",7.60060881333518e-07,2.1453260924785,11.9456762064814,0.000547743474661235,0.109548694932247
"ICAM3",7.4200174957106e-07,2.13084067172566,11.3847588413519,0.000740491658208452,0.138842185914085
"FABP5",7.17657104469707e-07,2.11081801869373,10.6499594453095,0.00110073319587837,0.194247034566772
"RPS21",7.10786266045292e-07,2.10505961774333,10.4470105272033,0.00122848116774772,0.204746861291286
"IGFBP7",7.00660568947871e-07,2.09648404191703,10.1514792621634,0.00144185497796443,0.227661312310173
"RPL18A",6.90900253143856e-07,2.08811478190407,9.87062563310442,0.00167938393034913,0.25190758955237
"RPS19",6.51625425060168e-07,2.05335734634087,8.78031343529507,0.00304498873091801,0.434998390131144
"SELL",6.36767067311957e-07,2.03972914571123,8.38446131710929,0.00378442355016805,0.507659602046063
"RPS5",6.34552249152143e-07,2.03767394992274,8.32623669233637,0.00390765261411108,0.507659602046063
"EEF1B2",6.31878309368721e-07,2.03518435242356,8.25621268174932,0.0040612768163685,0.507659602046063
"RPS3A",6.27975245643242e-07,2.03153378921846,8.1545317107534,0.0042953690095445,0.51544428114534
"FKBP4",6.20554147152105e-07,2.02453775068821,7.96293813475932,0.00477448476367135,0.550902088115925
"RPS28",5.96651116880872e-07,2.00149567276428,7.36130636669914,0.00666423553262707,0.70752417921516
"RPL10A",5.9506839634505e-07,1.99994164737201,7.32230388292273,0.00681040521971463,0.70752417921516
"RPL36",5.94758070798983e-07,1.99963652465344,7.31466877587215,0.00683940039907988,0.70752417921516
"RPL12",5.78450174552451e-07,1.98340288404077,6.91904077343751,0.00852827099730031,0.852827099730031
"CCND1",5.75080429255583e-07,1.97999870309938,6.83866222223981,0.00892056189111486,0.863280183011116
"RPL3",5.72537297089446e-07,1.97741802142794,6.77831182184695,0.0092272120017952,0.8650511251683
"HPSE",5.61916936965658e-07,1.96653140559343,6.52917369165067,0.0106119243441838,0.9647203949258
"TGFB1I1",5.56520258147811e-07,1.96093036010415,6.40436289635412,0.0113840269054821,0.999244735911416
"ZFAS1",5.54684227107389e-07,1.95901397691688,6.36217498916725,0.0116578552522999,0.999244735911416
"RPL7",5.51463060562862e-07,1.95563840502501,6.28849660115022,0.0121524088167708,0.999999999902037
