"gene","distance","Z","FC","p.value","p.adj"
"TOP2A",5.31163910529057e-05,5.90412130537953,72996.3031771124,0,0
"PRSS57",7.36556825695073e-06,3.78119670273564,1403.64170681876,3.39687176971168e-307,5.09530765456752e-304
"SMIM24",1.68365913783906e-06,2.55933248630672,73.3418888485186,1.09029281009214e-17,1.09029281009214e-14
"PGF",1.08585247080478e-06,2.24540845771038,30.5060090581947,3.32833978703847e-08,2.49625484027885e-05
"UBE2C",9.76298753269648e-07,2.1723525151008,24.6609167160779,6.83564412100983e-07,0.00041013864726059
"RRBP1",8.95958627555195e-07,2.11420856924482,20.7691947525086,5.18096690335042e-06,0.00259048345167521
"SH3BP5",8.37761432722431e-07,2.0692547894967,18.1586882877065,2.03240058471023e-05,0.00871028822018671
"SELK",8.13049148777101e-07,2.04935902901536,17.1031988869943,3.54026253679341e-05,0.0132759845129753
"GYPC",8.03562961218576e-07,2.04158503646487,16.7064266445412,4.36329384398558e-05,0.0137291904251979
"PLP2",8.0138465108396e-07,2.03978889240675,16.6159733644713,4.57639680839931e-05,0.0137291904251979
"HPSE",7.93384852398102e-07,2.03315678961182,16.2858922117,5.446797061573e-05,0.0148549010770173
"VWF",7.56904995278153e-07,2.00217361605066,14.8226717060459,0.000118107071332777,0.0295267678331942
"CDCA7",7.45129110868361e-07,1.99190099286057,14.3650389786425,0.0001505721756077,0.0347474251402385
"UROD",7.3063839263813e-07,1.97906902875364,13.8117505319372,0.000202068494480989,0.0433003916744977
"AURKA",7.24524516014386e-07,1.97359004020405,13.5815681743667,0.00022841733311981,0.045683466623962
"EPS15",7.04330491696721e-07,1.95520938169565,12.8350252507323,0.000340190868776503,0.0587743239432526
"C1orf228",7.03515773605726e-07,1.95445846824831,12.8053491839189,0.0003456297004483,0.0587743239432526
"CCND1",7.02482299158746e-07,1.95350486629061,12.7677543461155,0.000352645943659516,0.0587743239432526
"CKAP5",6.99221616116156e-07,1.95048835118941,12.6495023124353,0.000375665669937199,0.0593156320953472
"VIMP",6.68844360111049e-07,1.92179599366862,11.5742773697304,0.00066870417842846,0.0993153287814647
"MYH9",6.66753215016226e-07,1.91978036204143,11.5020164414185,0.000695207301470253,0.0993153287814647
"CKLF",6.61460009539386e-07,1.91465418542503,11.320117446111,0.000766718637163117,0.104552541431334
"MKI67",6.44405041048381e-07,1.89789679814838,10.7438912908427,0.00104624103481671,0.136466221932615
