"gene","distance","Z","FC","p.value","p.adj"
"TERT",2.9519284531318e-06,3.38862239259772,778231.099503609,0,0
"PRSS57",1.2698358953526e-07,2.46935884135599,1440.09826302495,4.06516738107026e-315,6.0977510716054e-312
"SMIM24",3.17090057125622e-08,2.07307129797654,89.7970720535077,2.63884522407332e-21,2.63884522407332e-18
"GYPC",1.66571165079562e-08,1.89105968629555,24.7797302602351,6.42697837080233e-07,0.000482023377810175
"CDCA7",1.64720347123076e-08,1.88791094838768,24.2321208011013,8.53961333015989e-07,0.000512376799809593
"RPS18",1.52969106860309e-08,1.86706255748721,20.8979838723573,4.84404169265828e-06,0.00242202084632914
"SPINK2",1.45956068080357e-08,1.85385100067492,19.0257260221537,1.28967915702869e-05,0.0049763038683261
"C1orf228",1.45747048518507e-08,1.85344766061517,18.9712726311517,1.32701436488696e-05,0.0049763038683261
"CD34",1.42589666175195e-08,1.84728427572158,18.158209909366,2.03291118972601e-05,0.00677637063242003
"RPS6",1.35791056323278e-08,1.83354106413106,16.4679394374778,4.94797473072336e-05,0.0148439241921701
"IMPDH2",1.30829298028293e-08,1.82307396713401,15.2864609090034,9.23762441223145e-05,0.0251935211242676
"ZFP36L2",1.26231738745989e-08,1.81301826207324,14.2309553610613,0.000161688761903841,0.0404221904759604
"BST2",1.22335450981845e-08,1.80420834102922,13.3660038641549,0.000256226726203659,0.0556347475461571
"C1QTNF4",1.22222195313758e-08,1.80394812275781,13.3412673716043,0.000259628821882067,0.0556347475461571
"FABP5",1.21268946757839e-08,1.8017484137575,13.133973601397,0.000289989093964148,0.0579978187928296
"ICAM3",1.19309722811665e-08,1.7971730654304,12.7130162223226,0.000363119281485708,0.0680848652785702
"RPL18A",1.18760838259098e-08,1.79587792084188,12.5963127893173,0.000386508483281795,0.0682073794026698
"LCP1",1.17521934516901e-08,1.79293269337731,12.3348760904246,0.000444573614061762,0.0740956023436271
"IGFBP7",1.16410196961237e-08,1.79026349059152,12.102608249734,0.000503513409182011,0.0777348275809317
"RPS21",1.16151564184943e-08,1.78963891380459,12.0488903780972,0.000518232183872878,0.0777348275809317
"EEF1B2",1.1049135158623e-08,1.7756137515691,10.9031879851697,0.000959989001139886,0.134325026978896
"RPS19",1.1007763269304e-08,1.77456088908172,10.8216900275674,0.0010031787619062,0.134325026978896
"RPS3A",1.098094326266e-08,1.77387625866676,10.7690209767285,0.00103213089845316,0.134325026978896
"SELL",1.09424251509463e-08,1.77289011091638,10.6936039861909,0.00107506566861231,0.134325026978896
"RPS5",1.09041378476939e-08,1.77190646072778,10.6189015393223,0.00111937522482413,0.134325026978896
"FKBP4",1.06629941671667e-08,1.76563145772007,10.1544234739335,0.00143955407857746,0.166102393682015
"RPL12",1.04817672736609e-08,1.76082243342213,9.81219009630977,0.00173358938467333,0.192621042741481
"RPS28",1.04313723487714e-08,1.75947052538601,9.71806553460212,0.00182465471175175,0.19402517049609
"RPL10A",1.04041915589375e-08,1.75873867946506,9.66748723097114,0.00187557664812887,0.19402517049609
"RPL36",1.02180578825886e-08,1.75367555737038,9.32467372898883,0.00226088574162207,0.226088574162207
"RPL3",1.00087400847072e-08,1.74787154963436,8.94655323079675,0.00277993618923394,0.269026082829091
"ZFAS1",9.8696884992287e-09,1.74394908499879,8.69969084456267,0.00318264024224497,0.29693398899847
"CCND1",9.81949653945894e-09,1.7425197832714,8.61143188134503,0.0033405957562815,0.29693398899847
"RPL7",9.81185765848677e-09,1.74230161916616,8.59803891031093,0.003365251875316,0.29693398899847
"TTK",9.70202900145042e-09,1.73914622140723,8.40663254379561,0.00373854514765867,0.320446726942171
"NPM1",9.67159151026637e-09,1.7382654874208,8.35396821311226,0.00384845935040134,0.320704945866778
"ITM2C",9.55910504762197e-09,1.73498661685558,8.16077485005004,0.00428060790709627,0.333214210962889
"MANF",9.54670293898727e-09,1.73462277219372,8.13961279364255,0.00433085309537892,0.333214210962889
"RPS14",9.52771311945134e-09,1.73406475394235,8.10726318607,0.00440882409753009,0.333214210962889
"RPL34",9.49856156891704e-09,1.73320598580606,8.05772816529083,0.00453099629788904,0.333214210962889
"RPS23",9.49316945303355e-09,1.73304685492464,8.04858238644116,0.00455392754982615,0.333214210962889
"RPS3",9.41773326725969e-09,1.73081116804106,7.92117667138093,0.0048859485169378,0.348996322638414
"RPL13",9.36522521710171e-09,1.72924450808089,7.83309474226047,0.00512981950646818,0.357894384172199
"HPSE",9.28928365555211e-09,1.72696322083758,7.70657442553964,0.00550200629992343,0.372153593934551
"TGFB1I1",9.27350999979976e-09,1.72648706446245,7.68042436953954,0.00558230390901826,0.372153593934551
"RBPMS2",9.20407841870467e-09,1.72438156925137,7.56584688802085,0.00594846962611568,0.387943671268414
"HSH2D",9.14806075403952e-09,1.72267135509511,7.47403294874423,0.00625951775743979,0.399543686645093
"RPL22L1",9.00473060664902e-09,1.71824785129887,7.24166410803241,0.00712309302236263,0.445193313897664
"CDK6",8.87997160406177e-09,1.71434037978323,7.04239015545117,0.00796027305914481,0.487363656682335
"GOLGB1",8.66186405386449e-09,1.70737680477232,6.70069197558512,0.00963755010375002,0.578253006225001
"RP11-620J15.3",8.54611032755787e-09,1.70361026380012,6.52279782867544,0.0106500332457299,0.617586436937464
"RPS9",8.54012903747448e-09,1.70341426719589,6.51367061370489,0.0107048315735827,0.617586436937464
"CNN2",8.41448270074119e-09,1.69926533493721,6.32341625829728,0.0119153854319522,0.674455779167108
"RPL26",8.333880484728e-09,1.69657137435386,6.20285263821763,0.0127544587199215,0.703321215996974
"GSN",8.32091342657564e-09,1.69613557031716,6.18356506226627,0.0128942222932779,0.703321215996974
"EIF3E",8.23076789087299e-09,1.69308719591484,6.05031013776169,0.0139038545505164,0.729874209187302
"RPL29",8.23063456660835e-09,1.69308266296873,6.05011413014066,0.0139053980655027,0.729874209187302
"PYCARD",8.21112479783107e-09,1.69241855753083,6.0214659302822,0.0141329027998828,0.729874209187302
"FHL2",8.1924120753412e-09,1.69178011391811,5.994051993688,0.0143541927806836,0.729874209187302
"VWF",8.11175302892538e-09,1.68901155050075,5.87660319592442,0.0153433948733947,0.767169743669735
"RPL14",7.96815014068264e-09,1.68401434309718,5.67037714201535,0.0172537462836976,0.842014893348174
"CALD1",7.94322417144646e-09,1.68313787691341,5.63495647991692,0.0176057824330624,0.842014893348174
"RPS25",7.93786331216628e-09,1.68294901849204,5.62735301453054,0.0176823127603117,0.842014893348174
"EEF1A1",7.89455618974471e-09,1.68141869962424,5.56611747566616,0.0183113194461326,0.847051195094805
"SH3BP5",7.88968408725137e-09,1.68124601712577,5.5592493690702,0.0183832948107925,0.847051195094805
