"gene","distance","Z","FC","p.value","p.adj"
"CD38",7.50839614515099e-05,6.9233982353332,524006.315640054,0,0
"PRSS57",4.57146045915666e-06,4.02249109319986,1942.46007282725,0,0
"SMIM24",1.07828978197639e-06,2.89110907781281,108.071989099525,2.59190835373673e-25,2.59190835373673e-22
"GYPC",5.66527321587347e-07,2.45155775954853,29.8321039483328,4.71125601852427e-08,3.5334420138932e-05
"CDCA7",5.27217030288105e-07,2.40469230416315,25.8357471942887,3.71739539133155e-07,0.000223043723479893
"RPS18",4.74274945707422e-07,2.33651915912529,20.9075204991838,4.8199854050768e-06,0.0024099927025384
"C1orf228",4.66466482825689e-07,2.32590960358099,20.2247449103768,6.8856478642471e-06,0.00295099194182019
"CD34",4.42090548649356e-07,2.2917651373679,18.1662223663578,2.02437593358877e-05,0.00759140975095787
"SPINK2",4.37911212626443e-07,2.28574719316468,17.8243744029284,2.42259890063617e-05,0.00807532966878723
"RPS6",4.07393615071939e-07,2.24022335379549,15.4266136011257,8.57717930536565e-05,0.0251142679891282
"IMPDH2",4.05617719825124e-07,2.2374838728671,15.2924124903001,9.20856492934701e-05,0.0251142679891282
"ZFP36L2",3.91343570872631e-07,2.21507753400624,14.2350360796024,0.000161338540339483,0.0403346350848707
"BST2",3.7925685417552e-07,2.19554191141629,13.3693114918948,0.000255775235192177,0.0590250542751177
"LCP1",3.76098734964656e-07,2.19034830447309,13.1475826790186,0.000287890417566744,0.0616908037643022
"C1QTNF4",3.54412080597635e-07,2.15362265026583,11.6750620982195,0.000633434264376496,0.126686852875299
"ICAM3",3.45956901013054e-07,2.13877247501568,11.1246450143629,0.000851881786408451,0.159727834951585
"FABP5",3.39537004184794e-07,2.12728459156387,10.7155974492757,0.00106236148999602,0.187475557058121
"RPL18A",3.3248647906276e-07,2.1144484763393,10.2751966697599,0.00134830500727965,0.224717501213276
"IGFBP7",3.25895679294316e-07,2.10223339101297,9.8718687036066,0.00167824968832322,0.25775223204729
"RPS21",3.25177901691284e-07,2.1008901506101,9.8284314717313,0.0017183482136486,0.25775223204729
"EEF1B2",2.98243787670457e-07,2.04852024706277,8.26770510537882,0.00403564854186183,0.545066590563366
"RPS19",2.97138432214459e-07,2.04628437589081,8.20653489339463,0.00417397850445698,0.545066590563366
"RPS3A",2.96423107318175e-07,2.04483358458542,8.16706997051704,0.00426577618151456,0.545066590563366
"SELL",2.95364875700856e-07,2.04268172943384,8.10886111769108,0.00440493931768883,0.545066590563366
"RPS5",2.94350230381858e-07,2.04061219758311,8.05324525551825,0.00454222158802805,0.545066590563366
"FKBP4",2.87812721669301e-07,2.0271271060393,7.69949316901667,0.00552363334834439,0.637342309424353
"RPS28",2.81578230596023e-07,2.01401651646155,7.3695389130406,0.00663379413304492,0.726860178177848
"RPL10A",2.80808033029951e-07,2.0123793766936,7.32927842718438,0.00678402832965991,0.726860178177848
"RPL36",2.7580009022709e-07,2.00163815214941,7.07018817988259,0.00783770232531736,0.81079679227421
"RPL12",2.72435694697246e-07,1.99432639078373,6.898746429412,0.00862562104481977,0.862562104481977
"RPL3",2.70130702366479e-07,1.98927153053283,6.78250403612321,0.00920556594165535,0.890861220160195
"ZFAS1",2.66381789799922e-07,1.98096943880845,6.59555324143214,0.0102233782891132,0.958441714604362
"RBPMS2",2.57748556712154e-07,1.96145739224837,6.17496712028104,0.0129570318912674,0.99999999971548
"CCND1",2.55389864314566e-07,1.95602766317991,6.06246829021233,0.0138084556217272,0.99999999971548
"RPL7",2.54992769910904e-07,1.95510926181809,6.04363041911218,0.013956555287946,0.99999999971548
"NPM1",2.51344171745522e-07,1.94661203248696,5.87191558494447,0.0153843026609042,0.99999999971548
"HPSE",2.50774816922526e-07,1.94527639513462,5.84534312172368,0.0156183281884744,0.99999999971548
"TGFB1I1",2.50396696254916e-07,1.94438791154635,5.82772908251201,0.0157754750577725,0.99999999971548
"RPS14",2.47611109280905e-07,1.93780630867426,5.69878689376049,0.0169766426569843,0.99999999971548
"RPS23",2.46724841861772e-07,1.93569878650719,5.65806488944861,0.0173752832838003,0.99999999971548
"RPS3",2.44754941507815e-07,1.93099072423055,5.56807533911828,0.0182908550707118,0.99999999971548
"RPL13",2.4337550920699e-07,1.92767421902576,5.50548915732056,0.0189568772124003,0.99999999971548
"CDK6",2.39658213592163e-07,1.91865479756209,5.33859285430704,0.0208583034419017,0.99999999971548
"ITM2C",2.38843380392872e-07,1.91666148699969,5.30235234690764,0.021296644436602,0.99999999971548
"RPL34",2.37330694010294e-07,1.91294529563226,5.23540138687465,0.0221317010926426,0.99999999971548
"HSH2D",2.2857783441169e-07,1.89102870990014,4.85635462779088,0.0275444761822841,0.99999999971548
"RPL22L1",2.24987022109905e-07,1.88182579845177,4.70497261809646,0.030075480991337,0.99999999971548
"MANF",2.19938975136238e-07,1.86866965740287,4.49620971129489,0.0339700706297176,0.99999999971548
"CALD1",2.14379312448529e-07,1.85387265788683,4.27177050471168,0.0387505345870303,0.99999999971548
"RP11-620J15.3",2.13521642257084e-07,1.85156032529755,4.23765861828501,0.0395366560812271,0.99999999971548
"RPS9",2.13353841578115e-07,1.85110697940652,4.23100072097624,0.0396920314413036,0.99999999971548
"GSN",2.12264209791121e-07,1.84815555990584,4.1878942997521,0.0407136373485067,0.99999999971548
"TTK",2.08917525087583e-07,1.83900745807033,4.05687764899808,0.0439917700372199,0.99999999971548
"RPL26",2.08214501867337e-07,1.83706956981632,4.02962018979722,0.0447080049554406,0.99999999971548
"EIF3E",2.05623746519354e-07,1.82987864701629,3.92996516631607,0.0474329268106386,0.99999999971548
"KCNAB2",2.01349474037399e-07,1.81784081645311,3.76827999061879,0.0522333188797056,0.99999999971548
"BANK1",2.00805606274494e-07,1.81629319132712,3.74795038086699,0.0528723072917715,0.99999999971548
"RPL29",1.97382223627392e-07,1.8064670800364,3.62124776174624,0.0570460734200646,0.99999999971548
"FHL2",1.96764230045438e-07,1.80467748147842,3.59860737957626,0.0578279944623286,0.99999999971548
"DAAM1",1.95774779118096e-07,1.80180200234033,3.56250637832926,0.0590984414442809,0.99999999971548
"GOLGB1",1.95165365073024e-07,1.80002466506637,3.54036192858446,0.0598923910605103,0.99999999971548
"RPL14",1.91089677951318e-07,1.78801237582722,3.39403738938705,0.0654325455110629,0.99999999971548
"EIF4B",1.91042559748226e-07,1.78787220598907,3.39236381676538,0.0654989849161575,0.99999999971548
"RSU1",1.90753239049465e-07,1.78701085892735,3.38209659799773,0.0659081642716324,0.99999999971548
"RPS25",1.90343152246888e-07,1.78578802573654,3.36757037206464,0.0664917473324853,0.99999999971548
"PGF",1.89793329511863e-07,1.784144914428,3.34814343156477,0.0672808567028705,0.99999999971548
"EEF1A1",1.89295761809083e-07,1.78265439114923,3.33061126310078,0.0680015972788107,0.99999999971548
"PYCARD",1.88672180390744e-07,1.78078155925905,3.30870389039105,0.0689138250829708,0.99999999971548
"CNN2",1.85445593404915e-07,1.77100411316686,3.19650362492663,0.073795878862452,0.99999999971548
"RPL37",1.84185197942144e-07,1.76714453548555,3.15320070933248,0.0757781881398489,0.99999999971548
"FCER1G",1.83585776488062e-07,1.76530092232957,3.13271024034915,0.0767360710506626,0.99999999971548
"PLEK",1.82358401277678e-07,1.76150954452841,3.09096236725617,0.0787282336208868,0.99999999971548
"SPX",1.81566016591718e-07,1.75905004988046,3.06415899520075,0.0800365680468364,0.99999999971548
"RPL7A",1.80254937895936e-07,1.75495999215681,3.02006650361727,0.0822400936029245,0.99999999971548
"NASP",1.80204006193914e-07,1.75480058343098,3.0183600827198,0.0823266771790089,0.99999999971548
"RPL11",1.78487160860696e-07,1.74940404780817,2.96112082150847,0.0852888006884705,0.99999999971548
"CDKN2D",1.76745018895779e-07,1.74388164226015,2.90359828767186,0.088382058212106,0.99999999971548
"RPL31",1.76234867392272e-07,1.74225555361341,2.88686076049921,0.0893047812306643,0.99999999971548
"THBS1",1.75156204909945e-07,1.73880383198642,2.85163028846571,0.0912813298303693,0.99999999971548
"CSF3R",1.7512340115684e-07,1.73869857051302,2.85056226559584,0.0913419862815099,0.99999999971548
"LAT",1.7503047714597e-07,1.73840030057273,2.84753793646154,0.0915139852303364,0.99999999971548
"VWF",1.74652259811546e-07,1.73718486552818,2.83524493912569,0.0922167393938642,0.99999999971548
"CD9",1.73773254307481e-07,1.73435123502615,2.80677780750785,0.0938667402418305,0.99999999971548
"UHRF1",1.72797830148745e-07,1.73119214976892,2.7753562290241,0.0957253568630804,0.99999999971548
"SBDS",1.71377244940031e-07,1.72656347102068,2.72991094002592,0.0984847766613085,0.99999999971548
"RPL32",1.705787807618e-07,1.72394717172866,2.70453232819201,0.100063421589312,0.99999999971548
"RPS15",1.70281479864713e-07,1.72297029411744,2.69511311218141,0.100656345559199,0.99999999971548
"CTSW",1.70197727417666e-07,1.72269483070609,2.69246259718752,0.100823882316014,0.99999999971548
"PDLIM1",1.69844902259105e-07,1.72153308574266,2.68131105127593,0.10153210789841,0.99999999971548
"RPS29",1.6978782739998e-07,1.72134495852082,2.67950929290237,0.10164704555665,0.99999999971548
"PDLIM7",1.68604799462305e-07,1.71743308194613,2.64229943103403,0.104052843093467,0.99999999971548
"FBL",1.67116792320701e-07,1.71247869648693,2.5958664619897,0.107142830616803,0.99999999971548
"PDIA6",1.66914516221508e-07,1.71180224926492,2.5895862556927,0.107568431631474,0.99999999971548
"RPLP0",1.66047591368725e-07,1.70889499691212,2.56275639420767,0.109407677913187,0.99999999971548
"RPL9",1.65788461009889e-07,1.70802343420751,2.55476386871855,0.109962242652627,0.99999999971548
"PPP1R14A",1.65495503183001e-07,1.70703666743515,2.5457430140717,0.110591874095445,0.99999999971548
"PLAC8",1.65059087437294e-07,1.70556387144131,2.53233434200304,0.111535104444327,0.99999999971548
"CSRP1",1.64374216869834e-07,1.70324575819965,2.51136338883819,0.113028107480552,0.99999999971548
"CD151",1.63383384104626e-07,1.69987712597453,2.48117810270609,0.11521592261876,0.99999999971548
"TPM1",1.63071036113788e-07,1.69881152145682,2.47170039228311,0.115912466762846,0.99999999971548
"RRBP1",1.60922587886235e-07,1.69143340053414,2.40700050536567,0.120793618195679,0.99999999971548
"RPS24",1.60329304940495e-07,1.68938087554514,2.38928515585838,0.122169482214675,0.99999999971548
"RPS16",1.60047248923938e-07,1.68840275492167,2.3808859493549,0.122827870889527,0.99999999971548
"RPN1",1.58400914498629e-07,1.68266345471967,2.33215566189228,0.12672627694141,0.99999999971548
"SH3BP5",1.58116941550469e-07,1.68166825161835,2.32380122176676,0.127408340121762,0.99999999971548
"CCND3",1.58054363343412e-07,1.68144873286445,2.32196219634462,0.127559027519964,0.99999999971548
"CMAS",1.57791910863053e-07,1.68052724878521,2.31425726798481,0.128192519605363,0.99999999971548
"SELK",1.57754807453405e-07,1.68039686927018,2.31316904059023,0.128282274583941,0.99999999971548
"RPL30",1.57339343364251e-07,1.67893512484123,2.30100113033571,0.129290641817213,0.99999999971548
"LRPPRC",1.56075247632297e-07,1.67446686199353,2.2641762502394,0.132396594125092,0.99999999971548
"TNFSF13B",1.55306972364976e-07,1.67173579639058,2.24194044669747,0.134312335216816,0.99999999971548
"RPL5",1.5109889544689e-07,1.65656505910582,2.1220946207481,0.145187861108068,0.99999999971548
"PAICS",1.50387423545381e-07,1.65396385792849,2.10215726640744,0.147091480310095,0.99999999971548
"AC090498.1",1.49460592602717e-07,1.65055918287739,2.07632610878125,0.149599867121476,0.99999999971548
"MYB",1.49358777390353e-07,1.65018405017343,2.07349821181171,0.149877398719144,0.99999999971548
"PDLIM5",1.48862926833555e-07,1.64835392951546,2.05975360824003,0.151234622675078,0.99999999971548
"RPS4Y1",1.47667318262604e-07,1.64391918787958,2.02680021191834,0.154545689466849,0.99999999971548
"ACTN1",1.47576186140131e-07,1.64357988170621,2.02429932530444,0.154800308076202,0.99999999971548
"VASP",1.47272238809455e-07,1.64244689559164,2.01596943444638,0.155651825414884,0.99999999971548
"CD63",1.46452996695546e-07,1.63938294916002,1.99360305463727,0.157964657655727,0.99999999971548
"CD84",1.46313130802312e-07,1.63885836469638,1.98979700176772,0.158362106220258,0.99999999971548
"CITED2",1.46226727097284e-07,1.63853407881818,1.98744758763443,0.158608012554197,0.99999999971548
"RPS8",1.46140341205919e-07,1.63820969312431,1.98510004527754,0.158854157053007,0.99999999971548
"RPSA",1.45753725875905e-07,1.6367558758656,1.97461074534945,0.159959306673071,0.99999999971548
"PPIF",1.43321708709157e-07,1.62753289698199,1.90926459786143,0.167044971197569,0.99999999971548
"MYL6",1.42906957976472e-07,1.62594646152994,1.89823035712744,0.168276532185365,0.99999999971548
"RPL39",1.42376351473422e-07,1.62391102403528,1.88416045431557,0.169862037458145,0.99999999971548
"COL1A2",1.41465836116283e-07,1.62040280670646,1.86013860791096,0.172608803776463,0.99999999971548
"EEF2",1.41227267596598e-07,1.61948035487104,1.8538700085355,0.173333959513397,0.99999999971548
"PF4",1.40598799907479e-07,1.61704380966989,1.83740711079523,0.175255154003485,0.99999999971548
"ACTB",1.40247997867563e-07,1.61567964061106,1.82824967775395,0.176334424782076,0.99999999971548
"FNBP1",1.4022812625812e-07,1.61560227679498,1.82773162843684,0.176395709340728,0.99999999971548
"PSMA6",1.39827715598525e-07,1.61404136909189,1.81730863577049,0.177633971460021,0.99999999971548
"PARVB",1.39538014762007e-07,1.61290961180562,1.80978608643104,0.178533892956363,0.99999999971548
"RPL23A",1.39440055621316e-07,1.61252645813354,1.80724594909422,0.178838957622609,0.99999999971548
"FLNA",1.38983231561241e-07,1.61073655590903,1.7954237929466,0.180266722027347,0.99999999971548
"CDK2AP2",1.38401971862569e-07,1.60845168372231,1.78043744994064,0.182095619280578,0.99999999971548
"TMSB4X",1.37882538128527e-07,1.60640276939098,1.76709827854206,0.183741597976798,0.99999999971548
"NAA38",1.37840192946587e-07,1.60623544233359,1.76601305616545,0.183876265374988,0.99999999971548
"RPS12",1.37313758913658e-07,1.6041514953295,1.75254943516581,0.185556553606505,0.99999999971548
"CKLF",1.36607909047365e-07,1.60134637758152,1.73457807741839,0.187827289154767,0.99999999971548
"PPBP",1.3634027506286e-07,1.60027947608503,1.72778817341053,0.188693614886845,0.99999999971548
"UROD",1.34235387586379e-07,1.59182440908272,1.67485111801182,0.195610025086034,0.99999999971548
"FERMT3",1.33725471332772e-07,1.58975879641361,1.66215086474072,0.19731316849043,0.99999999971548
"HMGA1",1.32375981994839e-07,1.5842589231901,1.62877297548471,0.201872847303942,0.99999999971548
"ABRACL",1.32273186799865e-07,1.58383798293891,1.62624434415698,0.202223296451639,0.99999999971548
"CAMTA1",1.31783587643728e-07,1.58182918957981,1.61422778469641,0.203898522715764,0.99999999971548
"APBB1IP",1.31398083756891e-07,1.58024291896003,1.60479746171714,0.205224663348987,0.99999999971548
"LCN2",1.30902914771362e-07,1.57819944838578,1.5927250081316,0.206937237845928,0.99999999971548
"PRDX2",1.30808118037232e-07,1.57780747319406,1.59041901732143,0.207266278153653,0.99999999971548
"GLTSCR2",1.30345560810013e-07,1.57589129264035,1.57919098163397,0.208877264546134,0.99999999971548
"FAM26F",1.3000896549706e-07,1.5744931977144,1.57104552638849,0.21005524289045,0.99999999971548
"LTBP1",1.29668326775223e-07,1.57307509863115,1.56282366494297,0.211252259924338,0.99999999971548
