candidate_order,candidate_symbol,source_relative_path,local_file,rows,bytes,sha256
1,CDK6,runs/candidate/001_candidate_CDK6_diffRegulation.csv,001_candidate_CDK6_diffRegulation.csv,3000,308817,818cc7586e05c9da6b3bd09f752f553c87331186f84459ecd0f5a7f604d0e610
2,CA2,runs/candidate/002_candidate_CA2_diffRegulation.csv,002_candidate_CA2_diffRegulation.csv,3000,305324,f06581bf19744b3ca7e611b37cbd5eadc8259edb56f120f97dca53e678594996
3,PARP1,runs/candidate/003_candidate_PARP1_diffRegulation.csv,003_candidate_PARP1_diffRegulation.csv,3000,308963,fd9dd5ce5ca3374193f3eacefc7c35bd9ef0da426fa2af16591f987b09ac5ba9
4,KIT,runs/candidate/004_candidate_KIT_diffRegulation.csv,004_candidate_KIT_diffRegulation.csv,3000,308816,b9fa1c2cb6b463526715aecb87160a7dd90b5f2b7b0f22338382945cc0c6433e
5,SYK,runs/candidate/005_candidate_SYK_diffRegulation.csv,005_candidate_SYK_diffRegulation.csv,3000,308981,b017bc5c14c7f8fcf4e702671aa99cadff04bb5f84f18e857f392a372c293930
6,GSK3B,runs/candidate/006_candidate_GSK3B_diffRegulation.csv,006_candidate_GSK3B_diffRegulation.csv,3000,308138,76371f443d58d0bd66e2729d53f81a795af9b7f21084aba8a47564fa2924123c
7,HIF1A,runs/candidate/007_candidate_HIF1A_diffRegulation.csv,007_candidate_HIF1A_diffRegulation.csv,3000,308905,7bab696662f0c985bca65b989840673fd405606906944064a2163c899fff2547
8,TOP2A,runs/candidate/008_candidate_TOP2A_diffRegulation.csv,008_candidate_TOP2A_diffRegulation.csv,3000,307776,d22f43fba1481c2707ec197fd19cf43d6add851a37371123823f8627fbdafc43
9,TERT,runs/candidate/009_candidate_TERT_diffRegulation.csv,009_candidate_TERT_diffRegulation.csv,3000,310227,a78e1d936a4303296f575493e47b982740d931aab2183a10a4f3d38c020999de
10,CD38,runs/candidate/010_candidate_CD38_diffRegulation.csv,010_candidate_CD38_diffRegulation.csv,3000,306043,d53eadf8f92c00c168f5de7fde0cdd576256acb3305606594ddaa47be18c39e4
