"run_id","run_role","candidate","gKO","common_seed","n_sig_excluding_gKO_padj_0_05","max_abs_Z_excluding_gKO_exploratory","module_abs_Z_sum_excluding_gKO_exploratory","runtime_minutes"
"001_candidate_CDK6","candidate","CDK6","CDK6",20260724,10,4.05135292048734,NA,14.8596098621686
"002_candidate_CA2","candidate","CA2","CA2",20260724,9,3.83572176248914,NA,14.6202737569809
"003_candidate_PARP1","candidate","PARP1","PARP1",20260724,12,4.08169909296368,NA,14.5911175131798
"004_candidate_KIT","candidate","KIT","KIT",20260724,10,3.93880380738268,NA,14.882935988903
"005_candidate_SYK","candidate","SYK","SYK",20260724,12,3.99561696070045,NA,11.6779103159904
"006_candidate_GSK3B","candidate","GSK3B","GSK3B",20260724,96,2.32748041172898,NA,12.1343271891276
"007_candidate_HIF1A","candidate","HIF1A","HIF1A",20260724,12,3.95279782419757,NA,12.3969158411026
"008_candidate_TOP2A","candidate","TOP2A","TOP2A",20260724,14,3.78119670273564,NA,11.754680565993
"009_candidate_TERT","candidate","TERT","TERT",20260724,11,3.16364285163084,NA,11.8871659239133
"010_candidate_CD38","candidate","CD38","CD38",20260724,11,4.02249109319986,NA,12.4063951889674
"011_matched_control_SOD2","matched_control","CDK6","SOD2",20260724,72,2.93980839541359,NA,11.8293843746185
"012_matched_control_SELL","matched_control","CDK6","SELL",20260724,10,4.02615736087075,NA,11.1351293762525
"013_matched_control_ETFA","matched_control","CDK6","ETFA",20260724,3,3.42887825374446,NA,11.963830268383
"014_matched_control_RPL22L1","matched_control","CDK6","RPL22L1",20260724,10,3.94303280489956,NA,12.3256955822309
"015_matched_control_HCST","matched_control","CDK6","HCST",20260724,10,4.01505797458364,NA,12.344879023234
"016_matched_control_VPS28","matched_control","CDK6","VPS28",20260724,10,3.85553628527156,NA,11.8912219842275
"017_matched_control_HSPA5","matched_control","CDK6","HSPA5",20260724,12,4.27893107085067,NA,12.3728199839592
"018_matched_control_GABARAPL2","matched_control","CDK6","GABARAPL2",20260724,5,3.54530877441942,NA,11.4569340745608
"019_matched_control_LINC00657","matched_control","CDK6","LINC00657",20260724,4,3.41934405268147,NA,11.2089205265045
"020_matched_control_KLF6","matched_control","CDK6","KLF6",20260724,13,4.18492980890247,NA,12.0908287962278
"021_matched_control_CCDC85B","matched_control","CDK6","CCDC85B",20260724,13,4.10059204476975,NA,13.2691018422445
"022_matched_control_HMGA1","matched_control","CDK6","HMGA1",20260724,10,3.95022341776572,NA,13.0398546338081
"023_matched_control_TMEM219","matched_control","CDK6","TMEM219",20260724,6,3.61091767615168,NA,13.0739509542783
"024_matched_control_PSIP1","matched_control","CDK6","PSIP1",20260724,13,4.36577085531303,NA,12.8987530271212
"025_matched_control_FKBP8","matched_control","CDK6","FKBP8",20260724,3,3.71516507491172,NA,12.1440325220426
"026_matched_control_LCP1","matched_control","CDK6","LCP1",20260724,11,4.06681207561537,NA,12.1978247205416
"027_matched_control_EIF2AK1","matched_control","CDK6","EIF2AK1",20260724,4,3.55127859030773,NA,12.2121594309807
"028_matched_control_TSC22D1","matched_control","CDK6","TSC22D1",20260724,13,4.07035972824655,NA,12.2443196217219
"029_matched_control_GLTSCR2","matched_control","CDK6","GLTSCR2",20260724,11,4.04155679528281,NA,10.8490693926811
"030_matched_control_AC090498.1","matched_control","CDK6","AC090498.1",20260724,10,3.96691224142327,NA,11.9496743917465
"031_matched_control_DOK2","matched_control","CA2","DOK2",20260724,6,3.56785532645258,NA,11.6767627159754
"032_matched_control_GADD45A","matched_control","CA2","GADD45A",20260724,80,2.76449395587021,NA,11.5932309865952
"033_matched_control_PBX1","matched_control","CA2","PBX1",20260724,10,4.10825304802287,NA,11.2841285943985
"034_matched_control_NPTN","matched_control","CA2","NPTN",20260724,4,3.41424747984858,NA,12.3681469837825
"035_matched_control_MAP1A","matched_control","CA2","MAP1A",20260724,9,3.91431578810127,NA,11.4326021353404
"036_matched_control_AP003068.23","matched_control","CA2","AP003068.23",20260724,8,3.72030206709934,NA,12.1172676046689
"037_matched_control_DAB2","matched_control","CA2","DAB2",20260724,8,3.68724955917282,NA,12.1908045172691
"038_matched_control_PPM1A","matched_control","CA2","PPM1A",20260724,31,4.08120057940453,NA,12.8890165487925
"039_matched_control_MTURN","matched_control","CA2","MTURN",20260724,8,3.81576473841304,NA,12.6966665943464
"040_matched_control_MARCH2","matched_control","CA2","MARCH2",20260724,61,2.83719825679601,NA,12.6410080194473
"041_matched_control_RAP2B","matched_control","CA2","RAP2B",20260724,4,3.38470138035034,NA,12.3353971481323
"042_matched_control_FAM110A","matched_control","CA2","FAM110A",20260724,4,3.32744516396157,NA,14.1310327569644
"043_matched_control_PIP4K2A","matched_control","CA2","PIP4K2A",20260724,10,3.86583557676788,NA,13.6807524760564
"044_matched_control_PLXDC2","matched_control","CA2","PLXDC2",20260724,10,3.88684228942272,NA,13.3040416161219
"045_matched_control_KAT6A","matched_control","CA2","KAT6A",20260724,13,4.02861093022736,NA,12.6225491046906
"046_matched_control_ABLIM1","matched_control","CA2","ABLIM1",20260724,13,4.1581266705093,NA,12.533526746432
"047_matched_control_IL6ST","matched_control","CA2","IL6ST",20260724,2,3.27036559147863,NA,13.1564883947372
"048_matched_control_TMEM55A","matched_control","CA2","TMEM55A",20260724,8,3.81357591458073,NA,13.2486313422521
"049_matched_control_GFI1B","matched_control","CA2","GFI1B",20260724,10,3.87949616698188,NA,12.1100644310315
"050_matched_control_MLH3","matched_control","CA2","MLH3",20260724,67,2.69895478326776,NA,12.2579417109489
"051_matched_control_SRP9","matched_control","PARP1","SRP9",20260724,46,3.34256045234648,NA,12.6205493966738
"052_matched_control_CCT4","matched_control","PARP1","CCT4",20260724,11,4.07054557341667,NA,12.8383067329725
"053_matched_control_NDUFC1","matched_control","PARP1","NDUFC1",20260724,11,4.18878949883975,NA,13.2473456899325
"054_matched_control_RTN3","matched_control","PARP1","RTN3",20260724,9,3.92433667889423,NA,12.1103077014287
"055_matched_control_HSPE1","matched_control","PARP1","HSPE1",20260724,10,4.10066698943911,NA,12.9792363524437
"056_matched_control_PAK2","matched_control","PARP1","PAK2",20260724,13,4.13632831252337,NA,12.9330837448438
"057_matched_control_NSA2","matched_control","PARP1","NSA2",20260724,11,4.05623435820032,NA,12.9821012496948
"058_matched_control_SNU13","matched_control","PARP1","SNU13",20260724,11,4.08253601374009,NA,12.334054406484
"059_matched_control_BANF1","matched_control","PARP1","BANF1",20260724,9,4.38205050803889,NA,13.1555521289508
"060_matched_control_TRA2B","matched_control","PARP1","TRA2B",20260724,36,3.52828155515327,NA,12.3863112052282
"061_matched_control_SNRPG","matched_control","PARP1","SNRPG",20260724,11,4.49017441259215,NA,14.5615307092667
"062_matched_control_ANXA1","matched_control","PARP1","ANXA1",20260724,10,4.03404905298306,NA,12.9649276375771
"063_matched_control_HNRNPR","matched_control","PARP1","HNRNPR",20260724,15,4.06134897624609,NA,13.8971255222956
"064_matched_control_ANP32A","matched_control","PARP1","ANP32A",20260724,9,4.35472429262288,NA,13.0015690883001
"065_matched_control_EGFL7","matched_control","PARP1","EGFL7",20260724,13,4.34023352993439,NA,14.1728088418643
"066_matched_control_ATP6V1F","matched_control","PARP1","ATP6V1F",20260724,10,3.95615816690414,NA,12.8592763185501
"067_matched_control_OSTC","matched_control","PARP1","OSTC",20260724,13,4.37129206719668,NA,12.365210433801
"068_matched_control_USP15","matched_control","PARP1","USP15",20260724,2,3.29114914094565,NA,12.3707019289335
"069_matched_control_MRPS21","matched_control","PARP1","MRPS21",20260724,11,4.00001767466256,NA,12.3261192639669
"070_matched_control_GTF3A","matched_control","PARP1","GTF3A",20260724,12,4.01781546599998,NA,12.4095772027969
"071_matched_control_FO538757.2","matched_control","KIT","FO538757.2",20260724,13,4.24195106829133,NA,11.9040972073873
"072_matched_control_C17orf62","matched_control","KIT","C17orf62",20260724,13,4.42889052470112,NA,11.3294511874517
"073_matched_control_HMGB3","matched_control","KIT","HMGB3",20260724,8,4.37194931730649,NA,13.534440155824
