"candidate","control_rank","control_gene"
"CDK6",1,"ARL4C"
"CDK6",2,"NDUFC1"
"CDK6",3,"CEBPZ"
"CDK6",4,"HCST"
"CDK6",5,"DPYD"
"CDK6",6,"RPL22L1"
"CDK6",7,"CCDC85B"
"CDK6",8,"MMP24-AS1"
"CDK6",9,"GLTSCR2"
"CDK6",10,"HDGF"
"CDK6",11,"ANXA1"
"CDK6",12,"AMD1"
"CDK6",13,"TSC22D1"
"CDK6",14,"EIF2AK1"
"CDK6",15,"USP1"
"CDK6",16,"SLIRP"
"CDK6",17,"TMEM219"
"CDK6",18,"HSPA5"
"CDK6",19,"SELL"
"CDK6",20,"TRA2B"
"CA2",1,"NT5C"
"CA2",2,"KRAS"
"CA2",3,"RASAL3"
"CA2",4,"LCP1"
"CA2",5,"MARCKSL1"
"CA2",6,"CLEC11A"
"CA2",7,"ETFA"
"CA2",8,"VPS28"
"CA2",9,"PBX1"
"CA2",10,"SRPK2"
"CA2",11,"PPM1A"
"CA2",12,"KAT6A"
"CA2",13,"PLXDC2"
"CA2",14,"AP003068.23"
"CA2",15,"GFI1B"
"CA2",16,"TMEM55A"
"CA2",17,"INPP4B"
"CA2",18,"NBAS"
"CA2",19,"DAB2"
"CA2",20,"TMC8"
"PARP1",1,"SDHA"
"PARP1",2,"EIF4E"
"PARP1",3,"RTN3"
"PARP1",4,"LINC00657"
"PARP1",5,"MS4A7"
"PARP1",6,"MRPS35"
"PARP1",7,"BANF1"
"PARP1",8,"MRPS21"
"PARP1",9,"IL6ST"
"PARP1",10,"GAMT"
"PARP1",11,"CD14"
"PARP1",12,"OSTC"
"PARP1",13,"SRP9"
"PARP1",14,"CCT4"
"PARP1",15,"HSPE1"
"PARP1",16,"CGGBP1"
"PARP1",17,"MLH3"
"PARP1",18,"CHD1"
"PARP1",19,"USP15"
"PARP1",20,"SOD2"
"KIT",1,"SLC38A1"
"KIT",2,"AP1M1"
"KIT",3,"ASB8"
"KIT",4,"THUMPD1"
"KIT",5,"ST3GAL1"
"KIT",6,"CD2"
"KIT",7,"PTBP3"
"KIT",8,"NCF4"
"KIT",9,"CD8B"
"KIT",10,"NDUFA5"
"KIT",11,"MTCH1"
"KIT",12,"MRPS26"
"KIT",13,"MAP3K8"
"KIT",14,"SUN2"
"KIT",15,"PPCS"
"KIT",16,"SNRPG"
"KIT",17,"RAB13"
"KIT",18,"STARD3NL"
"KIT",19,"MAP1A"
"KIT",20,"MAT2A"
"SYK",1,"C17orf62"
"SYK",2,"SNRNP200"
"SYK",3,"DOK2"
"SYK",4,"KLF6"
"SYK",5,"ATP5S"
"SYK",6,"GABARAPL2"
"SYK",7,"HBG1"
"SYK",8,"BLOC1S6"
"SYK",9,"CHMP2A"
"SYK",10,"PNPLA2"
"SYK",11,"REXO2"
"SYK",12,"ABLIM1"
"SYK",13,"CASP3"
"SYK",14,"RILPL2"
"SYK",15,"MAP1LC3B"
"SYK",16,"HTT"
"SYK",17,"WSB1"
"SYK",18,"RBMS1"
"SYK",19,"ADD1"
"SYK",20,"SHARPIN"
"GSK3B",1,"ATP6V1F"
"GSK3B",2,"UBAC2"
"GSK3B",3,"NSA2"
"GSK3B",4,"ISG20"
"GSK3B",5,"PCGF5"
"GSK3B",6,"MARCH2"
"GSK3B",7,"AGTPBP1"
"GSK3B",8,"SAFB2"
"GSK3B",9,"PACSIN2"
"GSK3B",10,"PROM1"
"GSK3B",11,"TWF2"
"GSK3B",12,"UIMC1"
"GSK3B",13,"FBXO9"
"GSK3B",14,"PUM2"
"GSK3B",15,"SERINC3"
"GSK3B",16,"SNRNP40"
"GSK3B",17,"AK3"
"GSK3B",18,"SELT"
"GSK3B",19,"ATXN2"
"GSK3B",20,"FAM110A"
"HIF1A",1,"RBM6"
"HIF1A",2,"SNU13"
"HIF1A",3,"CREB1"
"HIF1A",4,"ARFGAP3"
"HIF1A",5,"LRPPRC"
"HIF1A",6,"GADD45A"
"HIF1A",7,"YPEL3"
"HIF1A",8,"LBH"
"HIF1A",9,"FO538757.2"
"HIF1A",10,"PAK2"
"HIF1A",11,"HMGA1"
"HIF1A",12,"AKIRIN1"
"HIF1A",13,"SERPINA1"
"HIF1A",14,"IARS2"
"HIF1A",15,"OXR1"
"HIF1A",16,"CKAP2"
"HIF1A",17,"PIP4K2A"
"HIF1A",18,"MCTP2"
"HIF1A",19,"ANP32A"
"HIF1A",20,"TMEM109"
"TOP2A",1,"GLG1"
"TOP2A",2,"SEC61A1"
"TOP2A",3,"MTURN"
"TOP2A",4,"RAP2B"
"TOP2A",5,"A1BG"
"TOP2A",6,"ARID4B"
"TOP2A",7,"KIAA1109"
"TOP2A",8,"CTSG"
"TOP2A",9,"HELLS"
"TOP2A",10,"ERLEC1"
"TOP2A",11,"UPF2"
"TOP2A",12,"NPTN"
"TOP2A",13,"CAMP"
"TOP2A",14,"AC090498.1"
"TOP2A",15,"BTN3A2"
"TOP2A",16,"FGL2"
"TOP2A",17,"EFCAB14"
"TOP2A",18,"GTF2H5"
"TOP2A",19,"VCAN"
"TOP2A",20,"CARD8"
"TERT",1,"EGFL7"
"TERT",2,"ALG13"
"TERT",3,"MECOM"
"TERT",4,"FIP1L1"
"TERT",5,"OSTF1"
"TERT",6,"PSIP1"
"TERT",7,"HTATIP2"
"TERT",8,"CNOT1"
"TERT",9,"NPDC1"
"TERT",10,"LGALS3"
"TERT",11,"CYBB"
"TERT",12,"FKBP8"
"TERT",13,"EAF2"
"TERT",14,"SPOCK2"
"TERT",15,"HIST1H4H"
"TERT",16,"SYNE2"
"TERT",17,"CDK5RAP2"
"TERT",18,"HNRNPR"
"TERT",19,"BIRC6"
"TERT",20,"RP11-354E11.2"
"CD38",1,"SHPRH"
"CD38",2,"GTF3A"
"CD38",3,"CDV3"
"CD38",4,"HMGB3"
"CD38",5,"POLR2J3"
"CD38",6,"RIF1"
"CD38",7,"ALAS2"
"CD38",8,"PPP2R5C"
"CD38",9,"FOSB"
"CD38",10,"GLIPR1"
"CD38",11,"HIST1H3B"
"CD38",12,"ANKRD17"
"CD38",13,"ASPM"
"CD38",14,"VTI1B"
"CD38",15,"COPB2"
"CD38",16,"CFD"
"CD38",17,"CYLD"
"CD38",18,"ARRB2"
"CD38",19,"AFF4"
"CD38",20,"EP300"
