"candidate","control_gene","endpoint","leave_one_out_standardized_residual","eligible_group"
"CDK6","SELL",10,-0.184465604904488,TRUE
"CDK6","RPL22L1",10,-0.184465604904488,TRUE
"CDK6","HCST",10,-0.184465604904488,TRUE
"CDK6","HSPA5",12,0.136288631804114,TRUE
"CDK6","CCDC85B",13,0.297173044927398,TRUE
"CDK6","TMEM219",6,-0.84059306938982,TRUE
"CDK6","EIF2AK1",4,-1.18775971732073,TRUE
"CDK6","TSC22D1",13,0.297173044927398,TRUE
"CDK6","GLTSCR2",11,-0.0240395214074524,TRUE
"CDK6","NDUFC1",11,-0.0240395214074524,TRUE
"CDK6","TRA2B",36,9.86617033620816,TRUE
"CDK6","ANXA1",10,-0.184465604904488,TRUE
"CDK6","AMD1",8,-0.508251861654063,TRUE
"CDK6","HDGF",10,-0.184465604904488,TRUE
"CDK6","MMP24-AS1",4,-1.18775971732073,TRUE
"CDK6","SLIRP",12,0.136288631804114,TRUE
"CDK6","CEBPZ",12,0.136288631804114,TRUE
"CDK6","USP1",11,-0.0240395214074524,TRUE
"CDK6","ARL4C",9,-0.34564581273745,TRUE
"CDK6","DPYD",11,-0.0240395214074524,TRUE
"CA2","ETFA",3,-0.933408243051751,TRUE
"CA2","VPS28",10,-0.42890075724398,TRUE
"CA2","LCP1",11,-0.358641030167953,TRUE
"CA2","PBX1",10,-0.42890075724398,TRUE
"CA2","AP003068.23",8,-0.570478599530604,TRUE
"CA2","DAB2",8,-0.570478599530604,TRUE
"CA2","PPM1A",31,1.06081201241081,TRUE
"CA2","PLXDC2",10,-0.42890075724398,TRUE
"CA2","KAT6A",13,-0.218898427009436,TRUE
"CA2","TMEM55A",8,-0.570478599530604,TRUE
"CA2","GFI1B",10,-0.42890075724398,TRUE
"CA2","NBAS",10,-0.42890075724398,TRUE
"CA2","KRAS",10,-0.42890075724398,TRUE
"CA2","SRPK2",11,-0.358641030167953,TRUE
"CA2","NT5C",12,-0.288658646094509,TRUE
"CA2","CLEC11A",11,-0.358641030167953,TRUE
"CA2","MARCKSL1",11,-0.358641030167953,TRUE
"CA2","TMC8",25,0.620432106641427,TRUE
"CA2","INPP4B",58,3.89971247340092,TRUE
"CA2","RASAL3",53,3.16062327459341,TRUE
"PARP1","SOD2",72,2.18591085051762,TRUE
"PARP1","LINC00657",4,-0.766295520235061,TRUE
"PARP1","IL6ST",2,-0.850103412379181,TRUE
"PARP1","MLH3",67,1.91687791502675,TRUE
"PARP1","SRP9",46,0.939094558395944,TRUE
"PARP1","CCT4",11,-0.478783078331934,TRUE
"PARP1","RTN3",9,-0.56014460473359,TRUE
"PARP1","HSPE1",10,-0.519396746864926,TRUE
"PARP1","BANF1",9,-0.56014460473359,TRUE
"PARP1","OSTC",13,-0.397914413392733,TRUE
"PARP1","USP15",2,-0.850103412379181,TRUE
"PARP1","MRPS21",11,-0.478783078331934,TRUE
"PARP1","SDHA",16,-0.277347398949052,TRUE
"PARP1","EIF4E",4,-0.766295520235061,TRUE
"PARP1","GAMT",13,-0.397914413392733,TRUE
"PARP1","CGGBP1",8,-0.60103784280348,TRUE
"PARP1","MRPS35",60,1.56838715721999,TRUE
"PARP1","CHD1",14,-0.357637856466847,TRUE
"PARP1","MS4A7",79,2.60013113443746,TRUE
"PARP1","CD14",9,-0.56014460473359,TRUE
"KIT","MAP1A",9,-0.527216153493962,TRUE
"KIT","SNRPG",11,-0.280534165732711,TRUE
"KIT","NCF4",12,-0.158339163876419,TRUE
"KIT","SLC38A1",12,-0.158339163876419,TRUE
"KIT","AP1M1",11,-0.280534165732711,TRUE
"KIT","MAP3K8",13,-0.0365169410843075,TRUE
"KIT","PPCS",10,-0.403393376459435,TRUE
"KIT","MAT2A",12,-0.158339163876419,TRUE
"KIT","RAB13",10,-0.403393376459435,TRUE
"KIT","MTCH1",10,-0.403393376459435,TRUE
"KIT","MRPS26",11,-0.280534165732711,TRUE
"KIT","STARD3NL",9,-0.527216153493962,TRUE
"KIT","THUMPD1",13,-0.0365169410843075,TRUE
"KIT","PTBP3",9,-0.527216153493962,TRUE
"KIT","NDUFA5",13,-0.0365169410843075,TRUE
"KIT","SUN2",10,-0.403393376459435,TRUE
"KIT","ASB8",8,-0.652313524985932,TRUE
"KIT","CD2",27,1.80527279879458,TRUE
"KIT","CD8B",11,-0.280534165732711,TRUE
"KIT","ST3GAL1",45,8.33601391129551,TRUE
"SYK","GABARAPL2",5,-0.651471392833498,TRUE
"SYK","KLF6",13,0.020783957916126,TRUE
"SYK","DOK2",6,-0.565882591023113,TRUE
"SYK","ABLIM1",13,0.020783957916126,TRUE
"SYK","C17orf62",13,0.020783957916126,TRUE
"SYK","SHARPIN",10,-0.228936917624571,TRUE
"SYK","RILPL2",2,-0.913153572575203,TRUE
"SYK","CHMP2A",10,-0.228936917624571,TRUE
"SYK","MAP1LC3B",8,-0.396525792859072,TRUE
"SYK","PNPLA2",11,-0.145567376688451,TRUE
"SYK","REXO2",10,-0.228936917624571,TRUE
"SYK","BLOC1S6",7,-0.480934455239683,TRUE
"SYK","ATP5S",61,10.3296719984888,TRUE
"SYK","SNRNP200",14,0.103948231924425,TRUE
"SYK","WSB1",10,-0.228936917624571,TRUE
"SYK","CASP3",10,-0.228936917624571,TRUE
"SYK","HTT",20,0.608590446888078,TRUE
"SYK","ADD1",8,-0.396525792859072,TRUE
"SYK","HBG1",3,-0.824995009907208,TRUE
"SYK","RBMS1",21,0.6945386628546,TRUE
"GSK3B","MARCH2",61,1.03719375813995,TRUE
"GSK3B","FAM110A",4,-0.701466254636899,TRUE
"GSK3B","NSA2",11,-0.486590105027912,TRUE
"GSK3B","ATP6V1F",10,-0.51703783171345,TRUE
"GSK3B","SAFB2",8,-0.578163051632363,TRUE
"GSK3B","PUM2",8,-0.578163051632363,TRUE
"GSK3B","ATXN2",10,-0.51703783171345,TRUE
"GSK3B","SERINC3",2,-0.763723057864328,TRUE
"GSK3B","TWF2",70,1.3364639025147,TRUE
"GSK3B","SELT",8,-0.578163051632363,TRUE
"GSK3B","AK3",13,-0.425901202380243,TRUE
"GSK3B","UBAC2",93,2.20097665721698,TRUE
"GSK3B","SNRNP40",9,-0.547560581290622,TRUE
"GSK3B","UIMC1",91,2.1179305710777,TRUE
"GSK3B","PCGF5",102,2.60109016809827,TRUE
"GSK3B","PACSIN2",4,-0.701466254636899,TRUE
"GSK3B","PROM1",11,-0.486590105027912,TRUE
"GSK3B","FBXO9",10,-0.51703783171345,TRUE
"GSK3B","ISG20",6,-0.639626246252917,TRUE
"GSK3B","AGTPBP1",13,-0.425901202380243,TRUE
"HIF1A","HMGA1",10,-0.455933219379914,TRUE
"HIF1A","GADD45A",80,2.62512812796221,TRUE
"HIF1A","PIP4K2A",10,-0.455933219379914,TRUE
"HIF1A","PAK2",13,-0.338698117472765,TRUE
"HIF1A","SNU13",11,-0.416757983091591,TRUE
"HIF1A","ANP32A",9,-0.495218352039747,TRUE
"HIF1A","FO538757.2",13,-0.338698117472765,TRUE
"HIF1A","IARS2",12,-0.37768284221257,TRUE
"HIF1A","TMEM109",13,-0.338698117472765,TRUE
"HIF1A","LRPPRC",11,-0.416757983091591,TRUE
"HIF1A","CKAP2",9,-0.495218352039747,TRUE
"HIF1A","RBM6",12,-0.37768284221257,TRUE
"HIF1A","AKIRIN1",12,-0.37768284221257,TRUE
"HIF1A","YPEL3",13,-0.338698117472765,TRUE
"HIF1A","ARFGAP3",9,-0.495218352039747,TRUE
"HIF1A","SERPINA1",95,3.71743606123635,TRUE
"HIF1A","LBH",8,-0.534623316432092,TRUE
"HIF1A","MCTP2",11,-0.416757983091591,TRUE
"HIF1A","OXR1",11,-0.416757983091591,TRUE
"HIF1A","CREB1",73,2.22025190904174,TRUE
"TOP2A","AC090498.1",10,-0.372610353451286,TRUE
"TOP2A","NPTN",4,-0.914939526727345,TRUE
"TOP2A","MTURN",8,-0.550305516598516,TRUE
"TOP2A","RAP2B",4,-0.914939526727345,TRUE
"TOP2A","CARD8",11,-0.284504841136097,TRUE
"TOP2A","SEC61A1",8,-0.550305516598516,TRUE
"TOP2A","ERLEC1",11,-0.284504841136097,TRUE
"TOP2A","GTF2H5",11,-0.284504841136097,TRUE
"TOP2A","HELLS",11,-0.284504841136097,TRUE
