"run_id","run_role","candidate","gKO","control_type","control_rank","common_seed","match_distance","candidate_mean_log1p_cp10k","control_mean_log1p_cp10k","candidate_detected_fraction","control_detected_fraction","candidate_out_degree","control_out_degree","candidate_out_strength","control_out_strength"
"001_candidate_CDK6","candidate","CDK6","CDK6","candidate",NA,20260724,NA,0.727787770669314,NA,0.40893470790378,NA,2815,NA,198.617,NA
"002_candidate_CA2","candidate","CA2","CA2","candidate",NA,20260724,NA,0.270227467557656,NA,0.145618556701031,NA,2811,NA,284.731,NA
"003_candidate_PARP1","candidate","PARP1","PARP1","candidate",NA,20260724,NA,0.596475337803567,NA,0.389175257731959,NA,2734,NA,70.031,NA
"004_candidate_KIT","candidate","KIT","KIT","candidate",NA,20260724,NA,0.210730996553231,NA,0.173969072164948,NA,2733,NA,80.183,NA
"005_candidate_SYK","candidate","SYK","SYK","candidate",NA,20260724,NA,0.30973850639054,NA,0.247852233676976,NA,2800,NA,171.62,NA
"006_candidate_GSK3B","candidate","GSK3B","GSK3B","candidate",NA,20260724,NA,0.246878543013508,NA,0.196735395189003,NA,2704,NA,132.205,NA
"007_candidate_HIF1A","candidate","HIF1A","HIF1A","candidate",NA,20260724,NA,0.311866844922962,NA,0.246563573883162,NA,2685,NA,55.892,NA
"008_candidate_TOP2A","candidate","TOP2A","TOP2A","candidate",NA,20260724,NA,0.215590434744588,NA,0.140893470790378,NA,2592,NA,128.553,NA
"009_candidate_TERT","candidate","TERT","TERT","candidate",NA,20260724,NA,0.0126374891305064,NA,0.0171821305841924,NA,819,NA,0.911,NA
"010_candidate_CD38","candidate","CD38","CD38","candidate",NA,20260724,NA,0.151681695771511,NA,0.13573883161512,NA,2574,NA,26.203,NA
"011_matched_control_SOD2","matched_control","CDK6","SOD2","matched",1,20260724,0.0356110351875111,0.727787770669314,0.736965733585817,0.40893470790378,0.415378006872852,2815,2755,198.617,205.16
"012_matched_control_SELL","matched_control","CDK6","SELL","matched",2,20260724,0.0480630183751472,0.727787770669314,0.740648746148972,0.40893470790378,0.420962199312715,2815,2814,198.617,205.45
"013_matched_control_ETFA","matched_control","CDK6","ETFA","matched",3,20260724,0.0645634428350062,0.727787770669314,0.698588817707972,0.40893470790378,0.420962199312715,2815,2741,198.617,197.861
"014_matched_control_RPL22L1","matched_control","CDK6","RPL22L1","matched",4,20260724,0.0750710860857689,0.727787770669314,0.693645009959469,0.40893470790378,0.416666666666667,2815,2806,198.617,187.035
"015_matched_control_HCST","matched_control","CDK6","HCST","matched",5,20260724,0.113021911851159,0.727787770669314,0.739605220500881,0.40893470790378,0.424828178694158,2815,2797,198.617,231.239
"016_matched_control_VPS28","matched_control","CDK6","VPS28","matched",6,20260724,0.122004283318014,0.727787770669314,0.708037496185338,0.40893470790378,0.446305841924399,2815,2799,198.617,209.365
"017_matched_control_HSPA5","matched_control","CDK6","HSPA5","matched",7,20260724,0.125896012929444,0.727787770669314,0.765672905330913,0.40893470790378,0.43127147766323,2815,2826,198.617,225.517
