gene	subject	mean_deletion_recovery_shift	mean_overexpression_recovery_shift	bidirectional_score_min_of_arms	directionally_coherent	contrast_overexpression_minus_deletion
CDK6	UPN1	-0.0122043089941143	-0.033537421375513	-0.033537421375513	False	-0.0213331123813987
CDK6	UPN10	-0.0472863428294658	-0.0035031668376177	-0.0035031668376177	False	0.0437831759918481
CDK6	UPN11	0.0055226902477443	-0.0390199050307273	-0.0390199050307273	False	-0.044542595278471604
CDK6	UPN12	0.0092049157246947	-0.0042608827352523	-0.0092049157246947	False	-0.013465798459946998
CDK6	UPN13	-0.0521125271916389	-0.0020761932246387	-0.0020761932246387	False	0.0500363339670002
CDK6	UPN14	-0.0028877828735858	0.0075280480086803	0.0028877828735858	True	0.0104158308822661
CDK6	UPN17	-0.129685565829277	0.0029752533882856	0.0029752533882856	True	0.13266081921756262
CDK6	UPN18	-0.0200358256697654	-0.0046415296383202	-0.0046415296383202	False	0.015394296031445199
CDK6	UPN19	0.0082651814445853	-0.008240832015872	-0.0082651814445853	False	-0.0165060134604573
CDK6	UPN2	-0.0216471031308174	-0.006142180878669	-0.006142180878669	False	0.0155049222521484
CDK6	UPN20	-0.0204479321837425	-0.0105973463505506	-0.0105973463505506	False	0.0098505858331919
CDK6	UPN3	-0.029838053509593	0.0019608596339821	0.0019608596339821	True	0.0317989131435751
CDK6	UPN7	-0.0299987867474555	-0.0100811533629894	-0.0100811533629894	False	0.019917633384466102
CDK6	UPN8	0.0108409924432635	-0.0141144655644893	-0.0141144655644893	False	-0.024955458007752798
CDK6	UPN9	-0.0176088772714138	0.0011100517585873	0.0011100517585873	True	0.0187189290300011
CA2	UPN1	0.0015100291930139	0.0323351770639419	-0.0015100291930139	False	0.030825147870928
CA2	UPN10	0.0078561222180724	0.0123146949335932	-0.0078561222180724	False	0.0044585727155208
CA2	UPN11	0.0012589204125106	-0.0160397067666053	-0.0160397067666053	False	-0.0172986271791159
CA2	UPN12	0.0207856371998786	-0.0284553654491901	-0.0284553654491901	False	-0.0492410026490687
CA2	UPN13	0.0291678216308355	-0.0487484820187091	-0.0487484820187091	False	-0.0779163036495446
CA2	UPN14	0.0385759696364402	-0.0248242206871509	-0.0385759696364402	False	-0.0634001903235911
CA2	UPN17	-0.0700907781720161	0.0070524392649531	0.0070524392649531	True	0.0771432174369692
CA2	UPN18	-0.0030506514012813	-0.0047958586364984	-0.0047958586364984	False	-0.0017452072352171
CA2	UPN19	0.0143399583175778	0.0112017262727022	-0.0143399583175778	False	-0.003138232044875601
CA2	UPN2	-0.0053232973441481	0.0076708747074007	0.0053232973441481	True	0.0129941720515488
CA2	UPN20	-0.0132144698873162	0.0087428987026214	0.0087428987026214	True	0.021957368589937597
CA2	UPN3	0.0213586762547492	-0.0650961175560951	-0.0650961175560951	False	-0.0864547938108443
CA2	UPN7	-0.0564821064472198	-0.0074721779674291	-0.0074721779674291	False	0.0490099284797907
CA2	UPN8	-0.0002688427048269	0.0385274700820446	0.0002688427048269	True	0.0387963127868715
CA2	UPN9	0.0521639697253704	-0.0114072356373071	-0.0521639697253704	False	-0.0635712053626775
PARP1	UPN1	-0.0194518882781267	0.0188218913972377	0.0188218913972377	True	0.0382737796753644
PARP1	UPN10	-0.0311749167740345	0.0081708095967769	0.0081708095967769	True	0.0393457263708114
PARP1	UPN11	-0.0036960798315703	-0.0110877892002463	-0.0110877892002463	False	-0.007391709368675999
PARP1	UPN12	-0.007297795265913	-0.0225663650780916	-0.0225663650780916	False	-0.015268569812178601
PARP1	UPN13	-0.0479434207081794	0.0054182987660169	0.0054182987660169	True	0.053361719474196295
PARP1	UPN14	-0.0124057680368423	0.0008858217624947	0.0008858217624947	True	0.013291589799336999
PARP1	UPN17	-0.0439748503267765	0.0095711108297109	0.0095711108297109	True	0.053545961156487396
PARP1	UPN18	-0.0251138769090175	-0.0154640739783644	-0.0154640739783644	False	0.0096498029306531
PARP1	UPN19	-0.003390043741092	0.0051022842526435	0.003390043741092	True	0.008492327993735501
PARP1	UPN2	-0.0279001649469137	-0.0141882728785276	-0.0141882728785276	False	0.013711892068386099
PARP1	UPN20	-0.0333895459771156	-0.0168226361274719	-0.0168226361274719	False	0.016566909849643704
PARP1	UPN3	-0.0091505497694015	-0.013220977038145	-0.013220977038145	False	-0.004070427268743499
PARP1	UPN7	-0.0526191592216491	-0.0150866862386465	-0.0150866862386465	False	0.0375324729830026
PARP1	UPN8	-0.009767323732376	0.0024651968851685	0.0024651968851685	True	0.0122325206175445
PARP1	UPN9	-0.0234080962836742	-0.0129560036584734	-0.0129560036584734	False	0.010452092625200799
KIT	UPN1	-0.0150070963427424	-0.0118181547150015	-0.0118181547150015	False	0.0031889416277409
KIT	UPN10	-0.0306893438100814	0.0230694636702537	0.0230694636702537	True	0.0537588074803351
KIT	UPN11	-0.0123982038348913	0.0543850138783454	0.0123982038348913	True	0.0667832177132367
KIT	UPN12	-0.0146410418674349	-0.0732049494981765	-0.0732049494981765	False	-0.0585639076307416
KIT	UPN13	-0.0568780042231082	0.0568027980625629	0.0568027980625629	True	0.1136808022856711
KIT	UPN14	0.0068508712574839	-0.0137074505910277	-0.0137074505910277	False	-0.0205583218485116
KIT	UPN17	-0.006430622190237	0.0083363419398665	0.006430622190237	True	0.0147669641301035
