candidate	geneformer_signed_deletion_shift	geneformer_absolute_deletion_shift	sctenifold_significant_response_genes	sctenifold_max_abs_Z
CDK6	-0.0233279550913721	0.0233279550913721	10.0	4.05135292048734
CA2	0.002572463908776	0.002572463908776	9.0	3.83572176248914
PARP1	-0.0233788986535122	0.0233788986535122	12.0	4.08169909296368
KIT	-0.0304622062415416	0.0304622062415416	10.0	3.93880380738268
SYK	-0.0088659885028998	0.0088659885028998	12.0	3.99561696070045
GSK3B	-0.0141468416433781	0.0141468416433781	96.0	2.32748041172898
HIF1A	-0.0096273882935444	0.0096273882935444	12.0	3.95279782419757
TOP2A	-0.0528014923756321	0.0528014923756321	14.0	3.78119670273564
TERT	-0.0412480677186977	0.0412480677186977	11.0	3.16364285163084
CD38	-0.0164468872205664	0.0164468872205664	11.0	4.02249109319986
