candidate	n_controls	baseline_detection_fraction_target	baseline_detection_fraction_control_mean	baseline_detection_fraction_standardized_residual	median_normalized_token_rank_target	median_normalized_token_rank_control_mean	median_normalized_token_rank_standardized_residual	max_abs_standardized_residual	formal_matched_claim_allowed
CDK6	20	0.2944078947368421	0.28811677631578947	0.1714872114131518	0.5897874419741022	0.57721829476658	0.32653084711679115	0.32653084711679115	True
CA2	20	0.162828947368421	0.16965460526315784	0.15306382193190038	0.5024673984426307	0.5423977294785964	0.6731285295488129	0.6731285295488129	True
PARP1	20	0.4498355263157895	0.45217927631578947	0.03547181163717564	0.4396355353075171	0.43845762815286726	0.020418548891019805	0.03547181163717564	True
KIT	20	0.0501644736842105	0.0983552631578947	1.1135563542889835	0.7603763143331489	0.7648327887076174	0.08758508898148788	1.1135563542889835	False
SYK	20	0.359375	0.3337582236842105	0.4103837623346383	0.7079856972586412	0.6920255573104762	0.1936097176672405	0.4103837623346383	True
GSK3B	20	0.1291118421052631	0.13421052631578942	0.144701416103139	0.8871554862194487	0.8846258202573966	0.053275924593137326	0.144701416103139	True
HIF1A	20	0.2532894736842105	0.23939144736842102	0.26276611581559556	0.7937153594684854	0.8034124126145272	0.18810737662114452	0.26276611581559556	True
TOP2A	20	0.15625	0.1481085526315789	0.2328494287174972	0.7554295382471226	0.7705668722810335	0.3667076973918853	0.3667076973918853	True
TERT	20	0.0238486842105263	0.1844572368421052	1.9287576266221549	0.1541762013729977	0.4131933664341953	3.1449349775741386	3.1449349775741386	False
CD38	20	0.2754934210526316	0.26295230263157887	0.3215367779013259	0.7393110188126069	0.7325597481439214	0.08615739197467112	0.3215367779013259	True
