gene,GSE247531_healthy_minus_SAA_baseline,GSE165870_healthy_minus_AA_log2FC,direction_concordant
CDK6,0.922008730597824,0.0715943394222098,True
CA2,-0.6561249165934018,-2.89322273194995,True
PARP1,0.3156398218978512,0.0718183219303188,True
KIT,0.2438428352578595,0.7310630551847,True
SYK,-0.11949807882672647,-0.649043462712595,True
GSK3B,0.005412785644138468,0.390162902179835,True
HIF1A,0.02458541882864307,-1.0333616055214,False
TOP2A,0.12108899571187987,-0.684645465500577,False
TERT,-0.011084091537439479,1.18027553489101,False
CD38,-0.14734080759007495,-0.995843349342075,True
