candidate	deletion_recovery_shift	overexpression_recovery_shift_detected_cells	overexpression_recovery_shift_all_baseline_cells	bidirectional_score_min_of_arms	directionally_coherent	contrast_overexpression_minus_deletion	n_frozen_matched_controls	matched_control_score_mean	matched_control_score_sd	empirical_p_bidirectional_enrichment	matched_control_percentile	max_abs_standardized_residual	formal_matched_claim_allowed	bh_q_bidirectional_enrichment
CDK6	-0.0233279550913721	-0.0081760576150069	-0.0094812594043711	-0.0081760576150069	False	0.015151897476365198	20	0.008257948041342965	0.008483020156841959	0.9523809523809523	0.05	0.3265308471167911	True	0.9523809523809523
CA2	0.002572463908776	-0.0059329255794485	0.0113642052747309	-0.0059329255794485	False	-0.0085053894882245	20	0.0025669638225614515	0.012462396154695653	0.8095238095238095	0.2	0.6731285295488129	True	0.9523809523809523
PARP1	-0.0233788986535122	-0.0047304927138611	-0.006507509931301	-0.0047304927138611	False	0.0186484059396511	20	0.005407905205696175	0.013721456224620954	0.7619047619047619	0.25	0.0354718116371756	True	0.9523809523809523
KIT	-0.0304622062415416	0.0202721629424818	0.0514759683981537	0.0202721629424818	True	0.0507343691840234	20	-0.01147103476745273	0.03611560427980758	0.09523809523809523	0.95	1.1135563542889837	False	0.31746031746031744
SYK	-0.0088659885028998	0.0012769879928479	0.0018245371524244	0.0012769879928479	True	0.0101429764957477	20	0.008449687502288696	0.01104912744484815	0.8095238095238095	0.2	0.4103837623346383	True	0.9523809523809523
GSK3B	-0.0141468416433781	0.0121718216464311	0.0201773777293662	0.0121718216464311	True	0.0263186632898092	20	-0.007768876424313324	0.022691542665645763	0.09523809523809523	0.95	0.144701416103139	True	0.31746031746031744
HIF1A	-0.0096273882935444	0.0065724784042686	0.0102363281883299	0.0065724784042686	True	0.016199866697813	20	0.00014370698667335487	0.01574098084885234	0.38095238095238093	0.65	0.2627661158155955	True	0.9523809523809523
TOP2A	-0.0528014923756321	0.0308089849849542	0.0093261039194961	0.0308089849849542	True	0.0836104773605863	20	-0.004361195458817155	0.036614242772968	0.047619047619047616	1.0	0.3667076973918853	True	0.31746031746031744
TERT	-0.0412480677186977	-0.0164064515265636	0.0100031606232126	-0.0164064515265636	False	0.024841616192134097	20	-0.0017729372581760851	0.015165748427438057	0.9047619047619048	0.1	3.144934977574138	False	0.9523809523809523
CD38	-0.0164468872205664	-0.0132016612682491	-0.0185427852595845	-0.0132016612682491	False	0.003245225952317299	20	0.00652078333932876	0.012125602130917016	0.9523809523809523	0.05	0.3215367779013259	True	0.9523809523809523
