candidate	n_paired_donors	mean_donor_bidirectional_score	bootstrap_ci025	bootstrap_ci975	donor_directional_coherence_fraction
CDK6	15	-0.00881663411855696	-0.01527570154052224	-0.0032912466826383055	0.26666666666666666
CA2	15	-0.017577751964563484	-0.030607966061264334	-0.006962775867432369	0.26666666666666666
PARP1	15	-0.004844642081297939	-0.010741336259331224	0.0012747205000292782	0.4666666666666667
KIT	14	0.01036507320324223	-0.007062641063904677	0.024937780715325528	0.7857142857142857
SYK	15	-0.004150355514138907	-0.00825673622389629	2.3828620711982667e-05	0.3333333333333333
GSK3B	15	0.005098839578567987	0.0013128737560327841	0.00894125230047692	0.6666666666666666
HIF1A	15	-0.00022725011222063813	-0.004668759340420355	0.004635657365433837	0.4666666666666667
TOP2A	15	0.02567443978041407	0.01414226777851578	0.03899376376997675	0.9333333333333333
TERT	8	-0.018636713124578798	-0.03443087320119954	-0.0036926008418959205	0.375
CD38	15	-0.013238870709513606	-0.022671670879935824	-0.0047169119414563025	0.26666666666666666
