candidate	n_controls	candidate_effect	control_mean	control_sd	p_toward_healthy	p_away_from_healthy	p_two_sided	p_absolute_magnitude	formal_matched_claim_allowed	p_toward_healthy_bh	p_away_from_healthy_bh	p_two_sided_bh	p_absolute_magnitude_bh
CDK6	20	-0.0233279550913721	-0.02173721977907306	0.006700038419415329	0.6190476190476191	0.42857142857142855	0.8571428571428571	0.42857142857142855	True	0.8843537414965986	0.7936507936507936	0.9523809523809523	0.7936507936507936
CA2	20	0.002572463908776	-0.02525393622107605	0.007889782060245527	0.047619047619047616	1.0	0.09523809523809523	1.0	True	0.47619047619047616	1.0	0.47619047619047616	1.0
PARP1	20	-0.0233788986535122	-0.022413394344039217	0.010738548236732802	0.5714285714285714	0.47619047619047616	0.9523809523809523	0.47619047619047616	True	0.8843537414965986	0.7936507936507936	0.9523809523809523	0.7936507936507936
KIT	20	-0.0304622062415416	-0.011238319042122014	0.019272871216791415	0.9047619047619048	0.14285714285714285	0.2857142857142857	0.19047619047619047	False	1.0	0.6349206349206349	0.7142857142857142	0.6349206349206349
SYK	20	-0.0088659885028998	-0.01979681180663946	0.007125231430974732	0.14285714285714285	0.9047619047619048	0.2857142857142857	0.9047619047619048	True	0.7142857142857142	1.0	0.7142857142857142	1.0
GSK3B	20	-0.0141468416433781	-0.009565567037228101	0.01058363240478589	0.6190476190476191	0.42857142857142855	0.8571428571428571	0.42857142857142855	True	0.8843537414965986	0.7936507936507936	0.9523809523809523	0.7936507936507936
HIF1A	20	-0.0096273882935444	-0.013708644180514939	0.012580205929674489	0.23809523809523808	0.8095238095238095	0.47619047619047616	0.8571428571428571	True	0.7936507936507936	1.0	0.7936507936507936	1.0
TOP2A	20	-0.0528014923756321	-0.013341323193526442	0.014157081052879054	1.0	0.047619047619047616	0.09523809523809523	0.047619047619047616	True	1.0	0.47619047619047616	0.47619047619047616	0.47619047619047616
TERT	20	-0.0412480677186977	-0.026632753576081296	0.01422346565700645	0.8571428571428571	0.19047619047619047	0.38095238095238093	0.19047619047619047	False	1.0	0.6349206349206349	0.7619047619047619	0.6349206349206349
CD38	20	-0.0164468872205664	-0.017657712329819303	0.009964672142356688	0.42857142857142855	0.6190476190476191	0.8571428571428571	0.6190476190476191	True	0.8843537414965986	0.8843537414965986	0.9523809523809523	0.8843537414965986
