case_id,display,series,x,value,x_unit,value_unit
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.0,6e-07,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.01,0.0764472,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.02,0.0873408,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.03,0.09707,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.04,0.1007203,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.05,0.0954539,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.06,0.0845382,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.07,0.0971795,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.08,0.0915788,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.09,0.0969599,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.1,0.0890657,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.11,0.0815194,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.12,0.08457,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.13,0.092509,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.14,0.0926744,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.15,0.0857769,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.16,0.0835489,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.17,0.0823458,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.18,0.0872697,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.19,0.0949003,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.2,0.1121361,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.21,0.1073231,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.22,0.1262704,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.23,0.0998124,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.24,0.1140244,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.25,0.1183979,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.26,0.1092227,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.27,0.1085801,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.28,0.1047638,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.29,0.1003284,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.3,0.0960058,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.31,0.1077777,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.32,0.1276665,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.33,0.1200356,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.34,0.1167187,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.35,0.1150902,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.36,0.1186747,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.37,0.1103347,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.38,0.1219574,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.39,0.1189081,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.4,0.1105983,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.41,0.103022,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.42,0.1079632,ns,nm
