frame	time_ns	protein_backbone_rmsd_nm	ligand_heavy_rmsd_after_protein_fit_nm	protein_ligand_min_heavy_distance_nm	protein_ligand_heavy_contact_pairs_le_0_40_nm	pocket_occupied_le_0_50_nm	pocket_occupied_le_0_40_nm	pocket_ligand_heavy_contact_pairs_le_0_40_nm	pocket_ligand_com_distance_nm	protein_radius_of_gyration_nm
0	0.0	0.0	0.0	0.2909213718494358	83	1	1	83	0.08553556442557811	2.7577114219393346
1	0.01	0.0700364759433531	0.12285988649121997	0.27595273974483264	87	1	1	87	0.174268731401612	2.7575793211762063
2	0.02	0.08496473809987407	0.06910102279741775	0.27043264813066986	94	1	1	94	0.09955101509643044	2.756588933787085
3	0.03	0.07654088633862058	0.06573275380098619	0.2793226848788229	77	1	1	77	0.12734557074404382	2.7564671179990574
4	0.04	0.08077911432746467	0.09680171476292879	0.2862604026132617	82	1	1	82	0.12382680136176438	2.757046628761553
5	0.05	0.07912208578428272	0.0655923872959664	0.2819022307241566	90	1	1	90	0.12251486281009431	2.7588762699728138
6	0.06	0.08453485597107227	0.03818479684343195	0.27997326752473983	69	1	1	69	0.07831936537470562	2.762139643891286
7	0.07	0.08134133886292541	0.0660085403586215	0.2851124635026746	80	1	1	80	0.1079962100468818	2.7597767202453207
8	0.08	0.09293241962744665	0.07629587931837317	0.2676324975158936	88	1	1	88	0.12454529795766991	2.761077956218356
9	0.09	0.09077206216788278	0.10477736534157409	0.29157992335121025	84	1	1	84	0.13960515950151073	2.7592832977249175
10	0.1	0.09314963940006896	0.13356718384370536	0.29311101368653586	88	1	1	88	0.1443351917281839	2.760286104301938
11	0.11	0.09671921871782027	0.09532591188122372	0.2907271807604309	88	1	1	88	0.13262601528659862	2.755320469878339
12	0.12	0.09533082034885584	0.08844405027533994	0.2778273135353743	71	1	1	71	0.1315445609462475	2.7508459778300733
13	0.13	0.09351335063151493	0.09496024869129441	0.29010524200639154	82	1	1	82	0.1376162798325951	2.7588692324083626
14	0.14	0.09251214443240978	0.08224399682757631	0.3017713215795613	87	1	1	87	0.14053033216582328	2.7548532986709935
15	0.15	0.09886800173141462	0.10263336195589885	0.2905064494241578	76	1	1	76	0.14995897141982134	2.757638315655026
16	0.16	0.09451440457882107	0.12021111776774278	0.28282329752317653	92	1	1	92	0.15376902007265647	2.7607531729300514
17	0.17	0.09246409275409484	0.1465305906317293	0.277009301806895	95	1	1	95	0.17512023506854602	2.7560721559339156
18	0.18	0.09955883050327419	0.18569795950529594	0.29190060962636016	90	1	1	90	0.18256229356927162	2.754476966136394
19	0.19	0.09773888530476209	0.14300235604326766	0.27883353680114936	94	1	1	94	0.18233326760182392	2.753379011679359
20	0.2	0.10631097245102214	0.1703380820094887	0.275691893784299	101	1	1	101	0.19471549234547175	2.758627412666871
21	0.21	0.10951887840743116	0.14607838456780292	0.29575820284362236	83	1	1	83	0.17613309315216724	2.7619224239576083
22	0.22	0.10451316551839318	0.16057442569827546	0.28500887222867033	94	1	1	94	0.17469973462980076	2.7582386055701713
23	0.23	0.10521159984231758	0.162015537964607	0.2777654468910108	83	1	1	83	0.17493790443183352	2.760159739114055
24	0.24	0.1060815598726345	0.1735267879692106	0.27564678305344287	99	1	1	99	0.16892369167048968	2.7632703502409433
25	0.25	0.11013927302534901	0.16302393076250338	0.30789757713086463	84	1	1	84	0.1861044505642285	2.7623318649356507
26	0.26	0.10448944813113029	0.19810446022710199	0.2670936787066297	92	1	1	92	0.20149634030825653	2.7681579897139335
27	0.27	0.10470379777893238	0.1801420117955996	0.27545437595321937	91	1	1	91	0.1950227635882102	2.767114589098192
28	0.28	0.10489600730749615	0.1837828577793892	0.2795890099729021	90	1	1	90	0.19161972172227654	2.7585020780541294
29	0.29	0.09440811848464599	0.1942781993822924	0.29235277338979293	83	1	1	83	0.21733195460415056	2.7644504839298607
30	0.3	0.1040035399867989	0.1855437074281691	0.29508289403408516	75	1	1	75	0.19801901668860608	2.7631918750671023
31	0.31	0.10329799814245606	0.1523875687417291	0.2898360924212978	83	1	1	83	0.17795240750834945	2.7603898432390186
32	0.32	0.09129515746337126	0.19968061863598968	0.2562598847036801	79	1	1	79	0.22025590267978595	2.758121657883878
33	0.33	0.10727028662283397	0.18187645762464727	0.2760780647825576	83	1	1	83	0.18749290611097935	2.7623621579252946
34	0.34	0.10358737262831086	0.17931029834985587	0.2702757262848945	73	1	1	73	0.20517275582687916	2.760392315871907
35	0.35	0.1118932463636138	0.18207375765618428	0.290587579683749	53	1	1	53	0.20666082127543878	2.7677174314190514
36	0.36	0.10780766773735131	0.17758884811984377	0.2981913417395414	71	1	1	71	0.17699827056214126	2.769013360716926
37	0.37	0.10615070283656362	0.18312599971972787	0.27875660350313936	74	1	1	74	0.17783953791551585	2.7697287578311034
38	0.38	0.09866854246044228	0.1759322402506405	0.28663020979046366	81	1	1	81	0.1743692590148921	2.7579304058439034
39	0.39	0.10427888137678169	0.21818886321042902	0.2752472955203131	68	1	1	68	0.20674790665463338	2.75979596295456
40	0.4	0.09743357445447065	0.1782448615517934	0.2866518103907535	80	1	1	80	0.20196680736333433	2.7585925158253093
41	0.41	0.1011183923135948	0.16704231828263708	0.29155789514723135	88	1	1	88	0.18913646376567045	2.7609463016892817
42	0.42	0.11372085935340681	0.17840583617171443	0.29671188938343	93	1	1	93	0.19712838032223928	2.7617298692676706
43	0.43	0.11933217659893085	0.14364662766663946	0.29763264945355555	89	1	1	89	0.17321097110690115	2.754368295726855
44	0.44	0.11410232051091636	0.18553720545532368	0.28342774863304604	82	1	1	82	0.1842130820734383	2.755894094401806
45	0.45	0.10541987532783297	0.15095433325446422	0.298997809205939	91	1	1	91	0.15808133518220951	2.758240673948758
46	0.46	0.11329205522373006	0.22723395462553803	0.2712748411587379	73	1	1	73	0.2204679878736143	2.7627501285524914
47	0.47	0.11407794039150972	0.15911323439456418	0.2832329484904662	75	1	1	75	0.17095666890359745	2.7588274934429293
48	0.48	0.12034711189452674	0.17534789542998022	0.2915923849602042	71	1	1	71	0.17908228123082795	2.7638990402763306
49	0.49	0.11214856753248197	0.16776490816502534	0.2904985508006967	78	1	1	78	0.1573692492206275	2.755121013780296
50	0.5	0.1144476668671367	0.16865755708857855	0.2768629493408033	77	1	1	77	0.1795049981049899	2.758796734765638
51	0.51	0.10566608665759888	0.19950639608387583	0.28371296295565357	75	1	1	75	0.20238800317055183	2.7543822392953623
52	0.52	0.10854584379933825	0.18297880875215616	0.3005196167531027	68	1	1	68	0.18941030105722098	2.7553706042133883
53	0.53	0.10345318378957132	0.15766144824923453	0.2826676421673942	69	1	1	69	0.18307653814453906	2.747542168971175
54	0.54	0.10835594493460957	0.18204890958790934	0.3031664786618409	67	1	1	67	0.19108327702618452	2.754537171794614
55	0.55	0.10370499750320354	0.17662767175360403	0.2891643683128585	61	1	1	61	0.19369329889123826	2.7608868266117357
56	0.56	0.10666855127162791	0.19045170688408286	0.28917791709380875	79	1	1	79	0.20209590407151787	2.7476204822044252
57	0.57	0.10662241128263095	0.15573022370562578	0.2782120499120525	93	1	1	93	0.17629437858335467	2.7503881845190614
58	0.58	0.10983157701040876	0.17051841087328445	0.28818904258241007	74	1	1	74	0.17349053147504445	2.7549461781194657
59	0.59	0.10815675554356596	0.1621408096583097	0.2847461178484954	74	1	1	74	0.19049580611630842	2.750698607689742
60	0.6	0.10738696945723514	0.18885556476218596	0.2777528860234306	71	1	1	71	0.20772186091371325	2.7512280631142247
61	0.61	0.10638543164428131	0.18114026055553206	0.2997215713372613	60	1	1	60	0.2017114420530158	2.7473511531228665
62	0.62	0.10289682843744019	0.1756715755645602	0.2944929740928447	70	1	1	70	0.20687870924940718	2.751681558911735
63	0.63	0.10281308002462086	0.21153478946059706	0.31244059200137025	67	1	1	67	0.21026930940108812	2.749417487239162
64	0.64	0.09836840139492764	0.20825902037869576	0.2747562797821296	88	1	1	88	0.2172948052466242	2.749545141658016
65	0.65	0.10370420190041267	0.19100007585387022	0.2834691677403776	84	1	1	84	0.20071794008643526	2.746117425633946
66	0.66	0.11063605278372717	0.20773519718857675	0.2897602771372333	68	1	1	68	0.22168068933573296	2.7462633040291218
67	0.67	0.11193855126966865	0.1907308473776046	0.2880313037838163	62	1	1	62	0.21834354554629637	2.7479346636828037
68	0.68	0.10981661230184507	0.17662404653744165	0.3038905111770555	71	1	1	71	0.20497120953978695	2.743280392497877
69	0.69	0.10590382726935574	0.16529209766310266	0.29592633437033516	63	1	1	63	0.19760867944657437	2.749972200127157
