time_ns	protein_sasa_nm2	protein_sasa_output_group_nm2
0.0	337.453	337.453
0.01	335.991	335.991
0.02	337.868	337.868
0.03	341.51	341.51
0.04	337.619	337.619
0.05	340.706	340.706
0.06	339.905	339.905
0.07	341.095	341.095
0.08	336.13	336.13
0.09	337.454	337.454
0.1	339.301	339.301
0.11	340.908	340.908
0.12	338.794	338.794
0.13	336.895	336.895
0.14	337.144	337.144
0.15	335.231	335.231
0.16	339.23	339.23
0.17	338.837	338.837
0.18	339.079	339.079
0.19	335.832	335.832
0.2	335.847	335.847
0.21	340.062	340.062
0.22	341.149	341.149
0.23	343.363	343.363
0.24	334.691	334.691
0.25	336.316	336.316
0.26	337.641	337.641
0.27	336.996	336.996
0.28	338.26	338.26
0.29	338.467	338.467
0.3	343.9	343.9
0.31	337.942	337.942
0.32	338.096	338.096
0.33	341.144	341.144
0.34	341.376	341.376
0.35	342.074	342.074
0.36	337.603	337.603
0.37	339.726	339.726
0.38	334.954	334.954
0.39	337.868	337.868
0.4	337.345	337.345
0.41	339.257	339.257
0.42	339.477	339.477
0.43	340.705	340.705
0.44	337.717	337.717
0.45	340.79	340.79
0.46	341.253	341.253
0.47	337.096	337.096
0.48	339.509	339.509
0.49	334.259	334.259
0.5	336.116	336.116
0.51	333.705	333.705
0.52	339.464	339.464
0.53	332.304	332.304
0.54	337.919	337.919
0.55	336.676	336.676
0.56	335.149	335.149
0.57	334.654	334.654
0.58	334.21	334.21
0.59	335.669	335.669
0.6	336.052	336.052
0.61	337.494	337.494
0.62	334.138	334.138
0.63	334.967	334.967
0.64	335.553	335.553
0.65	333.251	333.251
0.66	335.077	335.077
0.67	336.85	336.85
0.68	332.494	332.494
0.69	330.363	330.363
0.7	329.497	329.497
0.71	334.496	334.496
0.72	332.445	332.445
0.73	336.085	336.085
0.74	332.508	332.508
0.75	335.49	335.49
0.76	335.723	335.723
0.77	332.382	332.382
0.78	333.888	333.888
0.79	330.889	330.889
0.8	331.522	331.522
0.81	331.136	331.136
0.82	328.926	328.926
0.83	328.383	328.383
0.84	332.316	332.316
0.85	332.275	332.275
0.86	332.901	332.901
0.87	331.515	331.515
0.88	327.83	327.83
0.89	331.439	331.439
0.9	332.679	332.679
0.91	333.895	333.895
0.92	331.351	331.351
0.93	326.681	326.681
0.94	329.852	329.852
0.95	331.282	331.282
0.96	331.052	331.052
0.97	328.536	328.536
0.98	333.438	333.438
0.99	329.55	329.55
1.0	329.492	329.492
1.01	330.089	330.089
1.02	326.209	326.209
1.03	326.959	326.959
1.04	330.436	330.436
1.05	329.716	329.716
1.06	331.435	331.435
1.07	328.703	328.703
1.08	334.508	334.508
1.09	330.57	330.57
1.1	329.01	329.01
1.11	331.227	331.227
1.12	328.697	328.697
1.13	331.316	331.316
1.14	328.02	328.02
1.15	329.723	329.723
1.16	329.805	329.805
1.17	331.316	331.316
1.18	330.297	330.297
1.19	333.643	333.643
1.2	331.97	331.97
1.21	326.335	326.335
1.22	334.61	334.61
1.23	333.292	333.292
1.24	330.635	330.635
1.25	333.818	333.818
1.26	329.558	329.558
1.27	329.816	329.816
1.28	334.42	334.42
1.29	328.926	328.926
1.3	333.303	333.303
1.31	338.55	338.55
1.32	332.072	332.072
1.33	328.966	328.966
1.34	332.133	332.133
1.35	331.457	331.457
1.36	338.07	338.07
1.37	334.206	334.206
1.38	333.311	333.311
1.39	336.893	336.893
1.4	334.316	334.316
1.41	335.857	335.857
1.42	332.97	332.97
1.43	337.463	337.463
1.44	333.238	333.238
1.45	334.281	334.281
1.46	335.776	335.776
1.47	338.076	338.076
1.48	335.537	335.537
1.49	335.432	335.432
1.5	338.141	338.141
1.51	333.666	333.666
1.52	339.706	339.706
1.53	332.554	332.554
1.54	334.066	334.066
1.55	330.911	330.911
1.56	330.543	330.543
1.57	330.963	330.963
1.58	331.663	331.663
1.59	331.495	331.495
1.6	333.961	333.961
1.61	336.936	336.936
1.62	331.859	331.859
1.63	334.523	334.523
1.64	337.421	337.421
1.65	334.8	334.8
1.66	333.572	333.572
1.67	333.492	333.492
1.68	335.343	335.343
1.69	337.912	337.912
1.7	334.316	334.316
1.71	335.778	335.778
1.72	330.119	330.119
1.73	328.993	328.993
1.74	334.536	334.536
1.75	336.659	336.659
1.76	335.939	335.939
1.77	334.716	334.716
1.78	335.542	335.542
1.79	334.431	334.431
1.8	333.157	333.157
1.81	332.429	332.429
1.82	335.859	335.859
1.83	335.567	335.567
1.84	332.395	332.395
1.85	332.284	332.284
1.86	338.131	338.131
1.87	335.839	335.839
1.88	334.545	334.545
1.89	338.208	338.208
1.9	335.189	335.189
1.91	335.125	335.125
1.92	336.759	336.759
1.93	334.875	334.875
1.94	335.888	335.888
1.95	334.794	334.794
1.96	333.807	333.807
1.97	333.614	333.614
1.98	334.425	334.425
1.99	336.175	336.175
2.0	334.051	334.051
2.01	332.325	332.325
2.02	330.561	330.561
2.03	334.105	334.105
2.04	333.64	333.64
2.05	337.157	337.157
2.06	338.35	338.35
2.07	336.868	336.868
