time_ns	temperature_K	pressure_bar	density_kg_m3
0.0	297.940186	-57.41045	1027.42749
0.01	298.579651	-63.556141	1029.222656
0.02	299.371552	201.778564	1032.718994
0.03	300.143402	172.309616	1034.157349
0.04	300.638397	-75.873039	1035.472778
0.05	299.734772	73.321175	1032.588989
0.06	299.797028	133.595657	1037.989746
0.07	298.297791	95.054222	1033.227051
0.08	301.33548	163.13974	1034.504028
0.09	301.601654	-194.260178	1027.156616
0.1	298.656433	139.577835	1030.543457
0.11	300.628754	-54.715633	1035.546631
0.12	300.903595	201.411636	1037.229736
0.13	300.888245	98.052544	1031.395996
0.14	300.081146	251.025192	1037.64978
0.15	300.515656	231.550308	1037.583984
0.16	301.216797	-81.210747	1032.447388
0.17	302.739441	70.883217	1035.539673
0.18	298.758636	-88.20388	1029.536499
0.19	296.789001	72.511482	1029.667725
0.2	299.534454	-126.155983	1028.435913
0.21	298.467957	-67.104599	1024.38855
0.22	299.412628	-227.014236	1031.581177
0.23	299.815826	-1.107381	1032.088989
0.24	300.763031	239.971268	1039.837036
0.25	301.259583	-25.263	1032.65564
0.26	301.383209	151.738037	1036.476685
0.27	301.193909	-65.037727	1029.442627
0.28	300.58429	-329.578461	1024.92981
0.29	299.635101	-79.20285	1029.754639
0.3	298.502258	65.515694	1034.556885
0.31	301.017792	-53.422501	1028.16748
0.32	298.5672	-50.845112	1026.092407
0.33	302.88739	161.984818	1036.705933
0.34	299.984161	56.943344	1035.300049
0.35	298.376373	-96.219307	1029.904907
0.36	299.471588	9.25	1033.929443
0.37	299.315948	-37.919113	1030.149536
0.38	302.618195	151.998642	1039.415405
0.39	300.763458	-285.833221	1025.836182
0.4	300.525085	-102.310303	1036.248901
0.41	300.346588	-22.804068	1025.592773
0.42	300.846893	220.523544	1032.698242
0.43	300.237274	204.697998	1040.269043
0.44	299.442139	-114.349792	1027.825439
0.45	298.352112	-366.79483	1021.552734
0.46	301.133392	5.554206	1027.536987
0.47	301.564178	106.312439	1033.798462
0.48	300.696228	15.723948	1034.187012
0.49	299.982697	103.20153	1036.648926
0.5	301.043549	91.098572	1034.426758
0.51	299.416229	104.03022	1030.285889
0.52	300.764893	-148.826675	1028.164062
0.53	299.406433	-44.944172	1031.503418
0.54	301.402222	-24.673386	1024.249512
0.55	299.796997	-16.032644	1029.447876
0.56	300.87146	64.131111	1036.58606
0.57	299.61377	120.914528	1029.904175
0.58	301.794098	17.316557	1032.160034
0.59	299.609192	-79.512108	1031.076904
0.6	299.16391	149.245621	1036.130127
0.61	298.346008	125.554405	1039.065674
0.62	301.916718	-53.822201	1030.231323
0.63	299.929596	-162.374634	1031.470703
0.64	299.327087	-64.502625	1028.83728
0.65	298.90625	-11.951476	1028.614624
0.66	300.993164	-97.260872	1032.419922
0.67	299.751862	43.495789	1033.019043
0.68	298.548553	-36.042999	1034.050171
0.69	301.380981	-368.053619	1026.706543
0.7	299.579865	-119.534203	1030.814331
0.71	301.673004	248.159531	1038.515503
0.72	300.239227	-137.271713	1029.109985
0.73	299.342285	-49.631306	1032.900513
0.74	302.175842	-79.026985	1033.413574
0.75	299.98233	-99.398842	1029.30249
0.76	300.834717	-68.642303	1033.134888
0.77	299.787415	33.097675	1031.014771
0.78	298.219971	-10.089223	1030.612305
0.79	298.257263	130.087936	1035.990356
0.8	298.939697	95.252563	1038.08313
0.81	300.004425	40.3405	1032.357666
