frame	time_ns	whole_protein_backbone_rmsd_nm	chain_A_backbone_rmsd_global_fit_nm	chain_B_backbone_rmsd_global_fit_nm	chain_A_backbone_rmsd_self_fit_nm	chain_B_backbone_rmsd_self_fit_nm	interface_min_heavy_distance_nm	interface_heavy_atom_contact_pairs_le_0_40_nm	interface_heavy_atom_contact_pairs_le_0_50_nm	interface_residue_contact_pairs_le_0_40_nm	interface_residue_contact_pairs_le_0_50_nm	chain_A_B_com_distance_nm	protein_radius_of_gyration_nm	interface_hydrogen_bond_count	chain_A_sasa_nm2	chain_B_sasa_nm2	protein_AB_sasa_nm2	interface_buried_sasa_total_loss_nm2	interface_buried_sasa_per_side_nm2
0	0.0	0.0	0.0	0.0	0.0	0.0	0.2698755899401578	69	309	26	47	2.159298229914172	1.7800663763845712	9.0	65.679	73.884	116.407	23.15599999999999	11.577999999999996
1	0.01	0.0593858785296962	0.0577458095581123	0.0609107030579752	0.0554040933991488	0.059532855544694	0.271494316043261	100	365	26	48	2.138728778941917	1.772917299516915	12.0	64.978	73.422	115.471	22.928999999999974	11.464499999999989
2	0.02	0.0696695403663967	0.06774798520229	0.0714561332268346	0.0651553343914276	0.0679188827843795	0.2699481807030987	100	333	31	44	2.151212065680176	1.7761438372903058	10.0	65.533	73.351	116.728	22.15600000000002	11.07800000000001
3	0.03	0.077352267168796	0.0689459456754965	0.0846030747470199	0.0636899651308518	0.0814041873005156	0.2567996690404256	83	377	31	46	2.150317475297359	1.7744081873672315	9.0	66.01	74.552	117.679	22.88300000000001	11.441500000000003
4	0.04	0.0778909224524001	0.0716422134465394	0.0834218211626594	0.0699677264854975	0.0802688543998078	0.2698256959380959	95	339	29	42	2.161118895255908	1.7805249309872533	11.0	65.154	73.074	116.397	21.831000000000003	10.915500000000002
5	0.05	0.0810223097069816	0.0760541529763092	0.0854971551043966	0.0629847619127303	0.0760170921521634	0.2680311164987071	95	370	32	47	2.1208742819624056	1.767816846100891	12.0	67.58	71.37	115.808	23.14199999999998	11.57099999999999
6	0.06	0.0999374092020028	0.0872644706319348	0.1106922656751216	0.0648594605213511	0.0963709049648065	0.2513391468887427	94	324	27	47	2.143259056927304	1.7744557351867123	11.0	66.857	72.414	116.216	23.05500000000002	11.52750000000001
7	0.07	0.0841451989772785	0.0692263433190731	0.0962561215046713	0.0636008283589085	0.0894659754629332	0.2575072286580341	98	367	31	46	2.1405789960123416	1.778474385020812	11.0	67.023	73.796	117.522	23.29700000000001	11.648500000000006
8	0.08	0.0991089440986486	0.0631819947364993	0.124056309021809	0.0578097995942261	0.1188690867078802	0.2606190009073678	102	369	31	52	2.1271005382786696	1.769689125126198	13.0	65.623	73.611	116.827	22.40700000000001	11.203500000000004
9	0.09	0.0967616526833917	0.065418299697445	0.1192333351717246	0.0636139426986042	0.1177238430663264	0.2712967902354558	81	345	28	48	2.164662652066304	1.7822141937042573	12.0	64.364	73.889	115.295	22.957999999999984	11.478999999999992
10	0.1	0.0823244114953045	0.0706665918908477	0.0920887028079009	0.0630121767850396	0.0876496338657412	0.2798248191392862	81	312	25	42	2.171131385104057	1.786250211212984	10.0	65.664	73.604	116.625	22.643	11.3215
11	0.11	0.0840770590338048	0.0705215002423859	0.0952365952792198	0.0658923168240182	0.091469659489897	0.2484307820489522	107	379	33	47	2.147359117800792	1.7801713209106111	10.0	65.33	73.043	115.243	23.129999999999995	11.564999999999998
12	0.12	0.0984435794888495	0.0786902638631858	0.1141584492345092	0.0705917852960629	0.1072882370427423	0.2541050435033792	100	368	29	44	2.152703570871671	1.7805374132394571	9.0	65.865	72.126	114.557	23.433999999999983	11.716999999999992
13	0.13	0.1027566464038027	0.069543054081611	0.1265830145645926	0.0617003817779812	0.1216141481683839	0.2630474867220612	93	336	30	48	2.1602145171784404	1.776771454544876	11.0	66.728	73.266	117.107	22.887	11.4435
14	0.14	0.1115165657318566	0.079130469673247	0.1353938979528139	0.0733416939565594	0.1316739127557668	0.268851091158499	101	367	30	50	2.148976284030668	1.7771883433048437	12.0	66.895	72.334	115.807	23.421999999999983	11.710999999999991
15	0.15	0.1064878014093929	0.065039056528046	0.1346411930827512	0.0600092704835236	0.1300416474039288	0.2646903245228743	85	345	26	44	2.153213535901981	1.7778580151024692	10.0	66.322	72.896	116.572	22.64600000000001	11.323000000000008
16	0.16	0.1099637922893108	0.0673554963005916	0.138946797418864	0.0613421875496469	0.134621726786228	0.271076006673538	111	387	35	47	2.1473358247877545	1.7786018653315474	12.0	66.718	72.615	116.913	22.42	11.21
17	0.17	0.1155197445958853	0.0715972060893582	0.145576157560316	0.0670980109617037	0.1435673136248846	0.2619274947334282	113	378	31	46	2.160088589217928	1.7797806337563529	11.0	65.882	72.79	116.513	22.15900000000002	11.07950000000001
18	0.18	0.1109271094796817	0.0703638112390467	0.1390200820504526	0.0666023170815127	0.1365763095068862	0.2441602452464746	91	360	26	47	2.152399893312439	1.7768729635786538	12.0	66.491	73.762	118.32	21.932999999999996	10.966499999999996
19	0.19	0.1249093403880288	0.0848538919106928	0.1537048262803073	0.0780433113892488	0.149996992638965	0.2661847892010079	87	328	31	44	2.1847614950621086	1.7898518297607793	10.0	65.296	74.243	117.423	22.115999999999985	11.057999999999993
20	0.2	0.1223132080975263	0.0869860889765287	0.1483935639810813	0.0815638863969261	0.1440990590496581	0.2635220999125821	74	282	26	44	2.1681520092875832	1.7853454956583767	9.0	66.483	74.014	117.653	22.84400000000001	11.422000000000004
21	0.21	0.1133582123861999	0.08190296979362	0.136801979231741	0.074609277469136	0.132923535013974	0.2802248042270884	71	285	24	45	2.170679207988768	1.7894506109241568	10.0	66.761	73.82	117.974	22.606999999999985	11.303499999999993
