frame	time_ns	whole_protein_backbone_rmsd_nm	chain_A_backbone_rmsd_global_fit_nm	chain_B_backbone_rmsd_global_fit_nm	chain_A_backbone_rmsd_self_fit_nm	chain_B_backbone_rmsd_self_fit_nm	interface_min_heavy_distance_nm	interface_heavy_atom_contact_pairs_le_0_40_nm	interface_heavy_atom_contact_pairs_le_0_50_nm	interface_residue_contact_pairs_le_0_40_nm	interface_residue_contact_pairs_le_0_50_nm	chain_A_B_com_distance_nm	protein_radius_of_gyration_nm	butin_heavy_rmsd_after_protein_fit_nm	protein_butin_min_heavy_distance_nm	protein_butin_heavy_contact_pairs_le_0_40_nm	pocket_butin_min_heavy_distance_nm	pocket_occupied_le_0_50_nm	pocket_occupied_le_0_40_nm	pocket_butin_com_distance_nm	interface_hydrogen_bond_count	chain_A_sasa_nm2	chain_B_sasa_nm2	protein_AB_sasa_nm2	interface_buried_sasa_total_loss_nm2	interface_buried_sasa_per_side_nm2	protein_butin_hydrogen_bond_count	protein_butin_surface_sasa_nm2	butin_sasa_nm2
0	0.0	0.0	0.0	0.0	0.0	0.0	0.270630953300998	97	358	31	48	2.154433091818695	1.7818552558327698	0.0	0.2817535379589523	60	0.2817535379589523	1	1	0.1991583865099121	15.0	68.18	71.843	115.25	24.773000000000025	12.386500000000012	2.0	113.152	0.027
1	0.01	0.0801652960317217	0.0797103456395939	0.0805973101574107	0.0704275416297936	0.0726478204940908	0.2649643035581188	91	336	31	51	2.163709903465197	1.790352850079049	0.071040315053802	0.2677180838239678	57	0.2677180838239678	1	1	0.2387773434342114	12.0	67.383	74.662	116.787	25.25800000000001	12.629000000000003	2.0	114.948	0.0
2	0.02	0.0785967107388019	0.0801608276478952	0.0770735896012056	0.0724374160443599	0.0679551666603845	0.2692749520794698	103	382	29	49	2.174925479027178	1.7908257149097555	0.0855957813100522	0.2847057281601087	53	0.2847057281601087	1	1	0.2763456360912186	12.0	69.353	72.04	116.24	25.15300000000001	12.576500000000005	2.0	114.16	0.027
3	0.03	0.0764511911047261	0.0713712729697574	0.0810049923498582	0.064249181614562	0.0644775113264447	0.2661222165028989	89	334	27	50	2.17848072981636	1.7873039333673764	0.0563467675698263	0.2943278020407694	64	0.2943278020407694	1	1	0.2324509234120495	11.0	66.219	73.956	115.768	24.40700000000001	12.203500000000004	2.0	114.133	0.17
4	0.04	0.0763840866595795	0.0749041352812321	0.0777709431009534	0.0696912576337554	0.0686515504348657	0.2737680895027383	113	392	33	51	2.158779727916865	1.780103133424285	0.0937802425112276	0.2976190162473197	58	0.2976190162473197	1	1	0.2666007707141039	15.0	66.655	72.557	113.499	25.712999999999997	12.856499999999995	2.0	111.804	0.027
5	0.05	0.0822295997580257	0.0865909886596169	0.0778373690483005	0.0761666095684878	0.070194125311658	0.2674167134095	81	337	31	51	2.1900031008388625	1.7902468552183444	0.085817240029396	0.3018640574517578	56	0.3018640574517578	1	1	0.2235932211204629	11.0	65.745	74.198	114.737	25.20599999999999	12.602999999999994	2.0	112.926	0.0
6	0.06	0.0720849578767615	0.0754518474516299	0.0687162805408985	0.0730128773284741	0.0625225224900941	0.2628249599242934	102	343	30	46	2.1791517042560544	1.7896811421099907	0.0791146145027277	0.293657713890107	41	0.293657713890107	1	1	0.2732431954218229	14.0	65.794	72.262	112.701	25.35499999999999	12.677499999999997	2.0	110.728	0.0
7	0.07	0.0915234626054536	0.0991475494173201	0.0835971369755468	0.091353483142	0.0793971455530806	0.2652056515862597	82	336	28	48	2.192506856492781	1.7833859845857585	0.0853824377025603	0.2986739356840636	50	0.2986739356840636	1	1	0.1995701344806172	13.0	66.634	72.597	114.949	24.282	12.140999999999998	2.0	112.954	0.0
8	0.08	0.0933091224170558	0.0914327929973917	0.0950661848670291	0.0852222426341257	0.0879791711415877	0.2698887667939579	105	374	33	49	2.202774227070369	1.796290329611668	0.067711910976808	0.2877446062686527	52	0.2877446062686527	1	1	0.2199964763998375	11.0	67.438	72.109	114.456	25.090999999999998	12.545499999999995	2.0	112.194	0.027
9	0.09	0.0831464301111666	0.0806051340469447	0.0855025299765756	0.078022533162572	0.0814594457182047	0.278066145274646	79	331	24	49	2.161024241347069	1.781043510042841	0.0463743395568898	0.2969667884626581	60	0.2969667884626581	1	1	0.2088710848764395	12.0	66.805	73.332	113.97	26.167	13.0835	1.0	111.918	0.0
10	0.1	0.0906174784006034	0.0936788359882212	0.0875945324522174	0.0869945773684953	0.0821236419212304	0.2680710836052509	109	355	28	47	2.188934798569383	1.7916546453171385	0.0656465664466208	0.2688999358373547	62	0.2688999358373547	1	1	0.2059260907894965	13.0	67.395	73.499	116.382	24.512	12.256	2.0	114.47	0.027
11	0.11	0.0929732828453084	0.0985495127675289	0.0873170760015342	0.0893965695660436	0.0822197714796951	0.2554000082233042	89	358	30	50	2.1878831869006423	1.7905077683940305	0.083322407947127	0.2724797411323048	48	0.2724797411323048	1	1	0.2380442306497261	12.0	65.416	73.384	113.973	24.82700000000001	12.413500000000006	2.0	112.051	0.027
12	0.12	0.0916793982891059	0.0859210808038294	0.0968587701899036	0.0842308352167589	0.094951837193617	0.2784704576189862	92	347	31	50	2.177125110748348	1.792090437057551	0.0767769768462887	0.2884803438241988	51	0.2884803438241988	1	1	0.2240748351938421	10.0	66.537	75.135	116.452	25.220000000000027	12.610000000000014	2.0	114.755	0.053
13	0.13	0.0896270187039219	0.0853207710595343	0.0935540424945678	0.0732065827285224	0.0846727894363548	0.2750746708075242	75	317	25	46	2.193891934612064	1.792313032317054	0.1452212306620239	0.2777155245090684	47	0.2777155245090684	1	1	0.2940067734796887	10.0	66.828	71.56	113.768	24.620000000000005	12.310000000000002	3.0	111.802	0.027
14	0.14	0.0899613901234899	0.0842058719121241	0.0951326360976088	0.0685563816554196	0.0881591739897592	0.261713556274669	71	298	26	44	2.1939239288448062	1.792945737081689	0.0932196104025737	0.2881337444045818	52	0.2881337444045818	1	1	0.264710619918415	9.0	67.081	71.06	114.446	23.69500000000002	11.84750000000001	2.0	112.504	0.053
15	0.15	0.0876241779813815	0.0845910431748512	0.0904254724410175	0.0755933178235602	0.0810726601265352	0.2737405681560866	70	319	27	47	2.189641278550198	1.79290699763282	0.0694219089384476	0.2738206031952675	60	0.2738206031952675	1	1	0.2456838375747449	11.0	64.813	73.2	114.594	23.41900000000001	11.709500000000006	2.0	112.773	0.027
16	0.16	0.1020793521746622	0.1007551392318345	0.1033279437822575	0.0763661723455582	0.0828074722292531	0.2696309749541895	93	353	29	49	2.181459377328544	1.7882322082665532	0.1456050237329431	0.270137116112523	57	0.270137116112523	1	1	0.3056995098699673	12.0	66.505	72.183	114.663	24.02499999999999	12.012499999999996	2.0	112.854	0.053
17	0.17	0.0973937075413211	0.0907330608182299	0.1033538063590336	0.071271667112588	0.0878686729845835	0.2705444299577805	97	366	30	49	2.149923057997236	1.779885627842312	0.0983718470930111	0.2792037364422495	67	0.2792037364422495	1	1	0.2688101028983693	9.0	65.127	73.114	113.757	24.48399999999998	12.24199999999999	2.0	111.709	0.027
18	0.18	0.1041195628773559	0.0902244974099788	0.115842097422145	0.0696980200471311	0.0933027458783757	0.2766265573274843	84	349	29	49	2.1569540757415973	1.7781932570494106	0.0808008519690741	0.2715545588815696	69	0.2715545588815696	1	1	0.26741517002083	10.0	67.53	73.354	116.764	24.12000000000002	12.06000000000001	2.0	114.958	0.053
19	0.19	0.0984419985410914	0.102961133810217	0.0939241725227332	0.087111285654442	0.0704763958071446	0.2691511486468946	89	346	24	45	2.1657660160929426	1.780054393480618	0.0898367905247973	0.2899965418776744	57	0.2899965418776744	1	1	0.171983694232516	9.0	65.307	73.292	114.187	24.411999999999992	12.205999999999996	2.0	112.08	0.0
