GeneSymbol,rank_no_docking_formal,selected_scenarios,median_selected_rank,minimum_selected_rank,maximum_selected_rank,selection_frequency,in_formal_top30
CDK6,1,518,1.0,1.0,2.0,1.0,True
CA2,2,518,2.0,1.0,3.0,1.0,True
HSP90AB1,3,518,3.0,1.0,9.0,1.0,True
PARP1,4,518,4.0,3.0,9.0,1.0,True
ACHE,5,518,5.0,3.0,15.0,1.0,True
HIF1A,6,518,6.0,6.0,16.0,1.0,True
KIT,7,518,7.0,5.0,19.0,1.0,True
CDK4,8,518,8.0,6.0,18.0,1.0,True
CDK2,9,518,10.0,7.0,26.0,1.0,True
APEX1,10,516,10.0,8.0,25.0,0.9961389961389961,True
SYK,11,518,11.0,7.0,30.0,1.0,True
TOP2A,12,518,12.0,6.0,26.0,1.0,True
HSP90AA1,13,515,13.0,4.0,30.0,0.9942084942084942,True
CHEK1,14,518,14.0,9.0,27.0,1.0,True
SIGMAR1,15,515,15.0,8.0,29.0,0.9942084942084942,True
TERT,16,514,15.0,5.0,27.0,0.9922779922779923,True
PTPN11,17,518,16.0,13.0,30.0,1.0,True
PTGS2,18,518,18.0,10.0,28.0,1.0,True
ARG1,19,515,19.0,11.0,30.0,0.9942084942084942,True
CD38,20,515,20.0,15.0,26.0,0.9942084942084942,True
MDM4,21,502,21.0,12.0,30.0,0.9691119691119691,True
MPO,22,425,22.0,5.0,30.0,0.8204633204633205,True
PRKDC,23,414,22.0,5.0,30.0,0.7992277992277992,True
GSK3B,24,454,23.0,11.0,30.0,0.8764478764478765,True
CCNB1,25,503,24.0,12.0,30.0,0.971042471042471,True
G6PD,26,508,27.0,23.0,30.0,0.9806949806949807,True
MIF,27,316,24.0,12.0,30.0,0.61003861003861,True
TBXAS1,28,393,27.0,21.0,30.0,0.7586872586872587,True
AURKB,29,371,27.0,19.0,30.0,0.7162162162162162,True
PIK3CG,30,308,28.0,18.0,30.0,0.5945945945945946,True
PGD,31,210,26.0,7.0,30.0,0.40540540540540543,False
HDAC1,32,201,26.0,8.0,30.0,0.38803088803088803,False
FLT3,33,168,29.0,19.0,30.0,0.32432432432432434,False
TP53,34,202,27.0,10.0,30.0,0.38996138996138996,False
CDK1,35,73,29.0,16.0,30.0,0.14092664092664092,False
PIK3CA,36,23,29.0,25.0,30.0,0.0444015444015444,False
IGF1R,37,75,29.0,17.0,30.0,0.14478764478764478,False
AR,38,20,29.0,18.0,30.0,0.03861003861003861,False
MET,39,4,29.5,26.0,30.0,0.007722007722007722,False
AKT1,40,2,26.0,24.0,28.0,0.003861003861003861,False
ESR1,41,4,23.0,14.0,29.0,0.007722007722007722,False
PLK1,42,1,17.0,17.0,17.0,0.0019305019305019305,False
NEK2,43,0,,,,0.0,False
TDP1,44,3,22.0,22.0,26.0,0.005791505791505791,False
DUT,45,4,18.5,17.0,26.0,0.007722007722007722,False
FEN1,46,3,24.0,24.0,30.0,0.005791505791505791,False
DHFR,47,4,20.0,19.0,27.0,0.007722007722007722,False
POLB,48,0,,,,0.0,False
PIK3CB,49,4,21.0,20.0,28.0,0.007722007722007722,False
SRC,50,0,,,,0.0,False
PIM1,51,0,,,,0.0,False
AURKA,52,0,,,,0.0,False
MDM2,53,0,,,,0.0,False
CHEK2,54,0,,,,0.0,False
TNF,55,0,,,,0.0,False
F2,56,0,,,,0.0,False
HDAC8,57,2,27.0,27.0,27.0,0.003861003861003861,False
TOP1,58,1,19.0,19.0,19.0,0.0019305019305019305,False
DNMT1,59,0,,,,0.0,False
PPARG,60,0,,,,0.0,False
EGFR,61,0,,,,0.0,False
ATP12A,62,0,,,,0.0,False
NOS2,63,0,,,,0.0,False
ALK,64,0,,,,0.0,False
PLG,65,0,,,,0.0,False
CCNA2,66,0,,,,0.0,False
VDR,67,0,,,,0.0,False
BCL2,68,0,,,,0.0,False
WEE1,69,0,,,,0.0,False
ABCB1,70,0,,,,0.0,False
LYN,71,0,,,,0.0,False
MMP9,72,0,,,,0.0,False
CDC25A,73,0,,,,0.0,False
RET,74,0,,,,0.0,False
KDR,75,0,,,,0.0,False
TTK,76,0,,,,0.0,False
ABL1,77,0,,,,0.0,False
PDGFRB,78,0,,,,0.0,False
VEGFA,79,0,,,,0.0,False
ALDH2,80,0,,,,0.0,False
EIF2AK3,81,0,,,,0.0,False
TTR,82,0,,,,0.0,False
LCK,83,0,,,,0.0,False
C5AR1,84,0,,,,0.0,False
ALPL,85,0,,,,0.0,False
PIK3CD,86,0,,,,0.0,False
NFKB1,87,0,,,,0.0,False
F10,88,0,,,,0.0,False
BCL2L1,89,0,,,,0.0,False
STAT1,90,0,,,,0.0,False
CCR5,91,0,,,,0.0,False
TEK,92,0,,,,0.0,False
MAP2K1,93,0,,,,0.0,False
CCND1,94,0,,,,0.0,False
IL2,95,0,,,,0.0,False
XDH,96,0,,,,0.0,False
ERBB2,97,0,,,,0.0,False
CXCR2,98,0,,,,0.0,False
IGFBP3,99,0,,,,0.0,False
CYP3A4,100,0,,,,0.0,False
CD81,101,0,,,,0.0,False
BRAF,102,0,,,,0.0,False
PLAT,103,0,,,,0.0,False
PGR,104,0,,,,0.0,False
FGFR1,105,0,,,,0.0,False
PGF,106,0,,,,0.0,False
EGLN1,107,0,,,,0.0,False
TLR9,108,0,,,,0.0,False
IDO1,109,0,,,,0.0,False
NOD2,110,0,,,,0.0,False
GSR,111,0,,,,0.0,False
FLT4,112,0,,,,0.0,False
PRKACA,113,0,,,,0.0,False
CTSK,114,0,,,,0.0,False
CASP8,115,0,,,,0.0,False
F8,116,0,,,,0.0,False
SERPINE1,117,0,,,,0.0,False
KDM5C,118,0,,,,0.0,False
FLT1,119,0,,,,0.0,False
CYP1A1,120,0,,,,0.0,False
MTOR,121,0,,,,0.0,False
PON1,122,0,,,,0.0,False
APOB,123,0,,,,0.0,False
SHH,124,0,,,,0.0,False
CFTR,125,0,,,,0.0,False
KNG1,126,0,,,,0.0,False
