scenario_id,scenario_type,note,top30_overlap_count,top30_overlap_fraction,top30_jaccard,spearman_rank_within_overlap,top30_genes,weights_json
primary_no_docking,primary,Original non-docking weights renormalized after removing docking.,30,1.0,1.0,1.0,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HIF1A, KIT, CDK4, CDK2, APEX1, SYK, TOP2A, HSP90AA1, CHEK1, SIGMAR1, TERT, PTPN11, PTGS2, ARG1, CD38, MDM4, MPO, PRKDC, GSK3B, CCNB1, G6PD, MIF, TBXAS1, AURKB, PIK3CG","{""score_AA_direction_recovery"": 0.10956521739130434, ""score_CD34_expression"": 0.1408695652173913, ""score_CD34_marker_context"": 0.10956521739130434, ""score_GSE165870_bulk_support"": 0.046956521739130425, ""score_WGCNA_module_strength"": 0.23478260869565215, ""score_module_pathology_importance"": 0.1408695652173913, ""score_network_pharmacology_hit"": 0.21739130434782608}"
exp_network_grid_exp_0.6000,experimental_network_weight_grid,Experimental evidence total weight=0.6000; network pharmacology weight=0.4000; no docking.,23,0.7666666666666667,0.6216216216216216,0.7164031620553359,"CDK6, CA2, ACHE, PARP1, TERT, HIF1A, CDK2, SYK, HSP90AB1, TOP2A, GSK3B, ARG1, SIGMAR1, ESR1, CD38, CDK1, IGF1R, CDK4, KIT, PTGS2, AURKB, MPO, CCNB1, FLT3, TBXAS1, MET, CHEK1, AKT1, AR, PTPN11","{""score_AA_direction_recovery"": 0.084, ""score_CD34_expression"": 0.108, ""score_CD34_marker_context"": 0.084, ""score_GSE165870_bulk_support"": 0.036, ""score_WGCNA_module_strength"": 0.18, ""score_module_pathology_importance"": 0.108, ""score_network_pharmacology_hit"": 0.4}"
exp_network_grid_exp_0.6500,experimental_network_weight_grid,Experimental evidence total weight=0.6500; network pharmacology weight=0.3500; no docking.,25,0.8333333333333334,0.7142857142857143,0.7738461538461539,"CDK6, CA2, ACHE, PARP1, HSP90AB1, HIF1A, TERT, CDK2, SYK, TOP2A, SIGMAR1, ARG1, GSK3B, KIT, CDK4, CD38, PTGS2, ESR1, MPO, CDK1, AURKB, IGF1R, CCNB1, CHEK1, APEX1, PTPN11, TBXAS1, FLT3, PIK3CG, MET","{""score_AA_direction_recovery"": 0.09100000000000001, ""score_CD34_expression"": 0.11699999999999999, ""score_CD34_marker_context"": 0.09100000000000001, ""score_GSE165870_bulk_support"": 0.039, ""score_WGCNA_module_strength"": 0.195, ""score_module_pathology_importance"": 0.11699999999999999, ""score_network_pharmacology_hit"": 0.35}"
exp_network_grid_exp_0.7000,experimental_network_weight_grid,Experimental evidence total weight=0.7000; network pharmacology weight=0.3000; no docking.,26,0.8666666666666667,0.7647058823529411,0.8386324786324786,"CDK6, CA2, ACHE, PARP1, HSP90AB1, HIF1A, TERT, CDK2, SYK, KIT, TOP2A, CDK4, SIGMAR1, ARG1, GSK3B, CD38, APEX1, PTGS2, CHEK1, PTPN11, MPO, CCNB1, AURKB, TBXAS1, CDK1, IGF1R, FLT3, PIK3CG, ESR1, HSP90AA1","{""score_AA_direction_recovery"": 0.098, ""score_CD34_expression"": 0.126, ""score_CD34_marker_context"": 0.098, ""score_GSE165870_bulk_support"": 0.041999999999999996, ""score_WGCNA_module_strength"": 0.21, ""score_module_pathology_importance"": 0.126, ""score_network_pharmacology_hit"": 0.30000000000000004}"
exp_network_grid_exp_0.7500,experimental_network_weight_grid,Experimental evidence total weight=0.7500; network pharmacology weight=0.2500; no docking.,28,0.9333333333333333,0.875,0.9726327312534209,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HIF1A, KIT, CDK2, CDK4, SYK, TOP2A, TERT, APEX1, SIGMAR1, CHEK1, ARG1, PTPN11, HSP90AA1, PTGS2, CD38, GSK3B, MPO, CCNB1, AURKB, MDM4, TBXAS1, G6PD, PIK3CG, FLT3, CDK1","{""score_AA_direction_recovery"": 0.10500000000000001, ""score_CD34_expression"": 0.135, ""score_CD34_marker_context"": 0.10500000000000001, ""score_GSE165870_bulk_support"": 0.045, ""score_WGCNA_module_strength"": 0.22499999999999998, ""score_module_pathology_importance"": 0.135, ""score_network_pharmacology_hit"": 0.25}"
exp_network_grid_exp_0.7826,experimental_network_weight_grid,Experimental evidence total weight=0.7826; network pharmacology weight=0.2174; no docking.,30,1.0,1.0,1.0,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HIF1A, KIT, CDK4, CDK2, APEX1, SYK, TOP2A, HSP90AA1, CHEK1, SIGMAR1, TERT, PTPN11, PTGS2, ARG1, CD38, MDM4, MPO, PRKDC, GSK3B, CCNB1, G6PD, MIF, TBXAS1, AURKB, PIK3CG","{""score_AA_direction_recovery"": 0.10956521739800001, ""score_CD34_expression"": 0.140869565226, ""score_CD34_marker_context"": 0.10956521739800001, ""score_GSE165870_bulk_support"": 0.046956521742, ""score_WGCNA_module_strength"": 0.23478260871, ""score_module_pathology_importance"": 0.140869565226, ""score_network_pharmacology_hit"": 0.21739130429999998}"
exp_network_grid_exp_0.8000,experimental_network_weight_grid,Experimental evidence total weight=0.8000; network pharmacology weight=0.2000; no docking.,27,0.9,0.8181818181818182,0.9810744810744811,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HIF1A, KIT, CDK4, APEX1, HSP90AA1, CDK2, TOP2A, SYK, CHEK1, PTPN11, SIGMAR1, TERT, PTGS2, MDM4, CD38, ARG1, PRKDC, MIF, MPO, CCNB1, G6PD, GSK3B, PGD, HDAC1, TP53","{""score_AA_direction_recovery"": 0.11200000000000002, ""score_CD34_expression"": 0.144, ""score_CD34_marker_context"": 0.11200000000000002, ""score_GSE165870_bulk_support"": 0.048, ""score_WGCNA_module_strength"": 0.24, ""score_module_pathology_importance"": 0.144, ""score_network_pharmacology_hit"": 0.19999999999999996}"
exp_network_grid_exp_0.8500,experimental_network_weight_grid,Experimental evidence total weight=0.8500; network pharmacology weight=0.1500; no docking.,26,0.8666666666666667,0.7647058823529411,0.8468376068376068,"CDK6, HSP90AB1, CA2, PARP1, ACHE, KIT, HSP90AA1, HIF1A, CDK4, APEX1, PRKDC, CHEK1, TOP2A, CDK2, MDM4, PTPN11, SYK, MIF, PGD, HDAC1, TP53, SIGMAR1, PTGS2, CD38, ARG1, TERT, G6PD, MPO, CCNB1, PIK3CA","{""score_AA_direction_recovery"": 0.11900000000000001, ""score_CD34_expression"": 0.153, ""score_CD34_marker_context"": 0.11900000000000001, ""score_GSE165870_bulk_support"": 0.051, ""score_WGCNA_module_strength"": 0.255, ""score_module_pathology_importance"": 0.153, ""score_network_pharmacology_hit"": 0.15000000000000002}"
exp_network_grid_exp_0.9000,experimental_network_weight_grid,Experimental evidence total weight=0.9000; network pharmacology weight=0.1000; no docking.,23,0.7666666666666667,0.6216216216216216,0.7015810276679841,"HSP90AB1, CDK6, CA2, PARP1, HSP90AA1, KIT, ACHE, APEX1, PRKDC, CDK4, HIF1A, PGD, HDAC1, MDM4, TP53, MIF, CHEK1, PTPN11, TOP2A, CDK2, SYK, PTGS2, SIGMAR1, CD38, G6PD, DUT, DHFR, PIK3CB, PIK3CA, ARG1","{""score_AA_direction_recovery"": 0.12600000000000003, ""score_CD34_expression"": 0.162, ""score_CD34_marker_context"": 0.12600000000000003, ""score_GSE165870_bulk_support"": 0.054, ""score_WGCNA_module_strength"": 0.27, ""score_module_pathology_importance"": 0.162, ""score_network_pharmacology_hit"": 0.09999999999999998}"
exp_network_grid_exp_0.9500,experimental_network_weight_grid,Experimental evidence total weight=0.9500; network pharmacology weight=0.0500; no docking.,21,0.7,0.5384615384615384,0.6025974025974027,"HSP90AB1, CDK6, CA2, HSP90AA1, PARP1, KIT, PRKDC, APEX1, PGD, HDAC1, TP53, CDK4, ACHE, MDM4, MIF, HIF1A, CHEK1, PTPN11, TOP2A, DUT, DHFR, PIK3CB, CDK2, SYK, PTGS2, TDP1, G6PD, PIK3CA, SIGMAR1, FEN1","{""score_AA_direction_recovery"": 0.133, ""score_CD34_expression"": 0.17099999999999999, ""score_CD34_marker_context"": 0.133, ""score_GSE165870_bulk_support"": 0.056999999999999995, ""score_WGCNA_module_strength"": 0.285, ""score_module_pathology_importance"": 0.17099999999999999, ""score_network_pharmacology_hit"": 0.050000000000000044}"
