rank_no_docking_formal,GeneSymbol,core10_role,HPA status,hpa_not_reported,Subcellular accessibility layer,localization_secreted,localization_membrane,localization_cytosol,localization_nucleus,localization_mitoch,localization_vesicle,localization_cytoskel,ChEMBL activity count,PDB count,AlphaFold_available,basic_structure_available,strict_structure_available,Primary mechanism layer,sensitivity_selected_n,sensitivity_scenarios_n,sensitivity_frequency,Evidence completeness
1,CDK6,core10_direct_priority_candidate,reported by source,0,membrane-associated; cytosolic/cytoplasmic; nuclear/chromatin-associated; cytoskeleton/cell-cycle-structure-associated,0,1,1,1,0,0,1,2655,22,1,1,1,direct-action candidate,8,9,0.8888888888888888,complete source coverage for current rule set
2,CA2,core10_direct_priority_candidate,not reported by source,1,secreted/extracellular; membrane-associated; cytosolic/cytoplasmic; vesicle/secretory-pathway-associated,1,1,1,0,0,1,0,19691,1182,1,1,1,direct-action candidate,7,9,0.7777777777777778,incomplete: HPA/Cell Atlas
3,HSP90AB1,top30_priority_candidate,reported by source,0,secreted/extracellular; membrane-associated; cytosolic/cytoplasmic; nuclear/chromatin-associated; mitochondrial; vesicle/secretory-pathway-associated,1,1,1,1,1,1,0,1984,31,1,1,1,direct-action candidate,1,9,0.1111111111111111,complete source coverage for current rule set
4,PARP1,core10_direct_priority_candidate,reported by source,0,cytosolic/cytoplasmic; nuclear/chromatin-associated; mitochondrial,0,0,1,1,1,0,0,10162,102,1,1,1,direct-action candidate,8,9,0.8888888888888888,complete source coverage for current rule set
5,ACHE,top30_priority_candidate,reported by source,0,secreted/extracellular; membrane-associated; cytosolic/cytoplasmic; nuclear/chromatin-associated; vesicle/secretory-pathway-associated,1,1,1,1,0,1,0,20132,79,1,1,1,direct-action candidate,1,9,0.1111111111111111,complete source coverage for current rule set
6,HIF1A,core10_mechanism_perturbation_candidate,reported by source,0,cytosolic/cytoplasmic; nuclear/chromatin-associated; mitochondrial,0,0,1,1,1,0,0,14,25,1,1,0,upstream regulator,8,9,0.8888888888888888,complete source coverage for current rule set
7,KIT,core10_direct_priority_candidate,reported by source,0,secreted/extracellular; membrane-associated; cytosolic/cytoplasmic; vesicle/secretory-pathway-associated,1,1,1,0,0,1,0,24524,51,1,1,1,direct-action candidate,8,9,0.8888888888888888,complete source coverage for current rule set
8,CDK4,top30_priority_candidate,reported by source,0,cytosolic/cytoplasmic; nuclear/chromatin-associated,0,0,1,1,0,0,0,6,15,1,1,0,direct-action candidate,2,9,0.2222222222222222,complete source coverage for current rule set
9,CDK2,top30_priority_candidate,reported by source,0,membrane-associated; cytosolic/cytoplasmic; nuclear/chromatin-associated; vesicle/secretory-pathway-associated; cytoskeleton/cell-cycle-structure-associated,0,1,1,1,0,1,1,6,512,1,1,0,direct-action candidate,2,9,0.2222222222222222,complete source coverage for current rule set
10,APEX1,top30_priority_candidate,reported by source,0,cytosolic/cytoplasmic; nuclear/chromatin-associated; mitochondrial; vesicle/secretory-pathway-associated; cytoskeleton/cell-cycle-structure-associated,0,0,1,1,1,1,1,38078,66,1,1,1,downstream response/protection node,2,9,0.2222222222222222,complete source coverage for current rule set
11,SYK,core10_direct_priority_candidate,reported by source,0,membrane-associated; cytosolic/cytoplasmic; nuclear/chromatin-associated; vesicle/secretory-pathway-associated,0,1,1,1,0,1,0,17648,93,1,1,1,direct-action candidate,8,9,0.8888888888888888,complete source coverage for current rule set
12,TOP2A,core10_mechanism_perturbation_candidate,reported by source,0,cytosolic/cytoplasmic; nuclear/chromatin-associated,0,0,1,1,0,0,0,6801,15,1,1,1,downstream response/protection node,8,9,0.8888888888888888,complete source coverage for current rule set
13,HSP90AA1,top30_priority_candidate,reported by source,0,secreted/extracellular; membrane-associated; cytosolic/cytoplasmic; nuclear/chromatin-associated; mitochondrial; vesicle/secretory-pathway-associated,1,1,1,1,1,1,0,6486,436,1,1,1,direct-action candidate,0,9,0.0,complete source coverage for current rule set
14,CHEK1,top30_priority_candidate,reported by source,0,secreted/extracellular; cytosolic/cytoplasmic; nuclear/chromatin-associated; vesicle/secretory-pathway-associated; cytoskeleton/cell-cycle-structure-associated,1,0,1,1,0,1,1,9058,160,1,1,1,direct-action candidate,0,9,0.0,complete source coverage for current rule set
