id,name,display_label,full_label,panel,layer,node_type,visual_class,fill_group,core_role,formal_rank,formal_score,strict_status,strict_module,source_role,evidence_boundary,layout_x,layout_y
A_HERB_mohanlian,A_HERB_mohanlian,Ecliptae Herba,Ecliptae Herba,A,Herb,Herb,Herb,HERB,not_applicable,,,not_applicable,not_applicable,drug-material membership,Resource membership only; not efficacy or causality.,1.83697019872103e-14,-300.0
A_HERB_nvzhenzi,A_HERB_nvzhenzi,"Ligustri Lucidi
Fructus",Ligustri Lucidi Fructus,A,Herb,Herb,Herb,HERB,not_applicable,,,not_applicable,not_applicable,drug-material membership,Resource membership only; not efficacy or causality.,259.8076211353316,149.99999999999997
A_HERB_tusizi,A_HERB_tusizi,Cuscutae Semen,Cuscutae Semen,A,Herb,Herb,Herb,HERB,not_applicable,,,not_applicable,not_applicable,drug-material membership,Resource membership only; not efficacy or causality.,-259.80762113533154,150.0000000000001
A_CMP_MOL003389,A_CMP_MOL003389,"3'-O-
Methylorobol",3'-O-Methylorobol,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,6.123233995736768e-14,-1000.0000000000001
A_CMP_MOL005195,A_CMP_MOL005195,eriodictyol,eriodictyol,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,342.02014332566887,-939.6926207859084
A_CMP_MOL003398,A_CMP_MOL003398,Pratensein,Pratensein,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,642.7876096865394,-766.044443118978
A_CMP_MOL002975,A_CMP_MOL002975,butin,butin,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,866.0254037844386,-500.00000000000006
A_CMP_MOL000953,A_CMP_MOL000953,CLR,CLR,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,984.8077530122082,-173.64817766693037
A_CMP_MOL005043,A_CMP_MOL005043,"campest-5-en-
3beta-ol",campest-5-en-3beta-ol,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,984.8077530122082,173.64817766693037
A_CMP_MOL005440,A_CMP_MOL005440,isofucosterol,isofucosterol,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,866.0254037844387,499.99999999999983
A_CMP_MOL000354,A_CMP_MOL000354,isorhamnetin,isorhamnetin,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,642.7876096865396,766.0444431189779
A_CMP_MOL000098,A_CMP_MOL000098,quercetin,quercetin,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,342.02014332566887,939.6926207859084
A_CMP_MOL001790,A_CMP_MOL001790,Linarin,Linarin,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,6.123233995736768e-14,1000.0000000000001
A_CMP_MOL000422,A_CMP_MOL000422,kaempferol,kaempferol,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,-342.02014332566876,939.6926207859085
A_CMP_MOL000006,A_CMP_MOL000006,luteolin,luteolin,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,-642.787609686539,766.0444431189784
A_CMP_MOL001689,A_CMP_MOL001689,acacetin,acacetin,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,-866.0254037844385,500.0000000000004
A_CMP_MOL001558,A_CMP_MOL001558,sesamin,sesamin,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,-984.8077530122082,173.6481776669303
A_CMP_MOL000358,A_CMP_MOL000358,"beta-
sitosterol",beta-sitosterol,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,-984.8077530122082,-173.64817766693002
A_CMP_MOL003404,A_CMP_MOL003404,wedelolactone,wedelolactone,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,-866.025403784439,-499.9999999999994
A_CMP_MOL003378,A_CMP_MOL003378,"1,3,8,9-
tetrahydroxy
benzofurano
[3,2-c]chromen-
6-one","1,3,8,9-tetrahydroxybenzofurano[3,2-c]chromen-6-one",A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,-642.7876096865396,-766.0444431189779
A_CMP_MOL000184,A_CMP_MOL000184,NSC63551,NSC63551,A,Resource-reported compound,Compound,Compound,COMPOUND_WHITE,not_applicable,,,not_applicable,not_applicable,resource-reported constituent,Resource record only; not confirmed activity.,-342.0201433256686,-939.6926207859085
A_TGT_CDK6,A_TGT_CDK6,1  CDK6,CDK6,A,Top30,Target,Target_core_direct,STATUS_FDR,core10_direct_priority_candidate,1,79.34656777665151,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,8.572527594031473e-14,-1400.0
A_TGT_CA2,A_TGT_CA2,2  CA2,CA2,A,Top30,Target,Target_core_direct,STATUS_NOMINAL,core10_direct_priority_candidate,2,77.61705714886202,nominal_module_context,midnightblue,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,291.07636714486324,-1369.4066410273276
A_TGT_HSP90AB1,A_TGT_HSP90AB1,3  HSP90AB1,HSP90AB1,A,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,3,72.96351599301178,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,569.4313003061202,-1278.963640699641
A_TGT_PARP1,A_TGT_PARP1,4  PARP1,PARP1,A,Top30,Target,Target_core_direct,STATUS_FDR,core10_direct_priority_candidate,4,68.82787111305984,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,822.8993532094623,-1132.6237921249262
A_TGT_ACHE,A_TGT_ACHE,5  ACHE,ACHE,A,Top30,Target,Target_noncore,STATUS_NOMINAL,top30_priority_candidate,5,67.35091437159633,nominal_module_context,midnightblue,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,1040.4027556683518,-936.7828489024015
A_TGT_HIF1A,A_TGT_HIF1A,6  HIF1A,HIF1A,A,Top30,Target,Target_core_mechanism,STATUS_FDR,core10_mechanism_perturbation_candidate,6,62.614011693635064,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,1212.435565298214,-700.0
A_TGT_KIT,A_TGT_KIT,7  KIT,KIT,A,Top30,Target,Target_core_direct,STATUS_FDR,core10_direct_priority_candidate,7,61.97632846267291,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,1331.4791228132149,-432.62379212492635
A_TGT_CDK4,A_TGT_CDK4,8  CDK4,CDK4,A,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,8,60.389387654168516,contrast_specific_FDR_module_support,magenta,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,1392.3306535155825,-146.33984857471472
A_TGT_CDK2,A_TGT_CDK2,9  CDK2,CDK2,A,Top30,Target,Target_noncore,STATUS_UNASSIGNED,top30_priority_candidate,9,59.59020295464639,projection_only_not_in_strict_top5000,not assigned,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,1392.3306535155825,146.33984857471472
A_TGT_APEX1,A_TGT_APEX1,10  APEX1,APEX1,A,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,10,59.43107527416479,contrast_specific_FDR_module_support,blue,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,1331.4791228132149,432.62379212492635
A_TGT_SYK,A_TGT_SYK,11  SYK,SYK,A,Top30,Target,Target_core_direct,STATUS_FDR,core10_direct_priority_candidate,11,59.07862844170006,contrast_specific_FDR_module_support,royalblue,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,1212.4355652982142,699.9999999999998
A_TGT_TOP2A,A_TGT_TOP2A,12  TOP2A,TOP2A,A,Top30,Target,Target_core_mechanism,STATUS_NONE,core10_mechanism_perturbation_candidate,12,59.036461554775876,no_prespecified_module_contrast_support,darkred,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,1040.4027556683523,936.7828489024012
A_TGT_HSP90AA1,A_TGT_HSP90AA1,13  HSP90AA1,HSP90AA1,A,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,13,58.73784582062004,contrast_specific_FDR_module_support,blue,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,822.8993532094623,1132.6237921249262
A_TGT_CHEK1,A_TGT_CHEK1,14  CHEK1,CHEK1,A,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,14,57.87059883307138,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,569.43130030612,1278.9636406996412
A_TGT_SIGMAR1,A_TGT_SIGMAR1,15  SIGMAR1,SIGMAR1,A,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,15,57.55192381845957,contrast_specific_FDR_module_support,lightyellow,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,291.0763671448629,1369.4066410273279
A_TGT_TERT,A_TGT_TERT,16  TERT,TERT,A,Top30,Target,Target_core_mechanism,STATUS_UNASSIGNED,core10_mechanism_perturbation_candidate,16,57.53866507508347,projection_only_not_in_strict_top5000,not assigned,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,7.074501697304024e-13,1400.0
A_TGT_PTPN11,A_TGT_PTPN11,17  PTPN11,PTPN11,A,Top30,Target,Target_noncore,STATUS_NOMINAL,top30_priority_candidate,17,57.292317637911296,nominal_module_context,greenyellow,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-291.0763671448628,1369.4066410273279
A_TGT_PTGS2,A_TGT_PTGS2,18  PTGS2,PTGS2,A,Top30,Target,Target_noncore,STATUS_UNASSIGNED,top30_priority_candidate,18,56.65453431485879,projection_only_not_in_strict_top5000,not assigned,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-569.4313003061203,1278.963640699641
A_TGT_ARG1,A_TGT_ARG1,19  ARG1,ARG1,A,Top30,Target,Target_noncore,STATUS_UNASSIGNED,top30_priority_candidate,19,56.4415071362566,projection_only_not_in_strict_top5000,not assigned,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-822.8993532094621,1132.6237921249262
