id,source,target,panel,interaction,edge_type,evidence_level,overlap_count,overlap_genes,contrast,logFC,p_value,bh_by_contrast,provenance,evidence_boundary,n_variants_agree_top1,n_variants_tested,pct_variants_agree_top1,baseline_top1_mean_score,baseline_top2_cell_type,baseline_top2_mean_score,baseline_top1_top2_delta,baseline_top1_top2_relative_delta,subject_timepoint_top1_matches_pooled
B_TM_001,B_TGT_CDK6,B_MOD_turquoise,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_002,B_TGT_CA2,B_MOD_midnightblue,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_003,B_TGT_HSP90AB1,B_MOD_turquoise,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_004,B_TGT_PARP1,B_MOD_turquoise,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_005,B_TGT_ACHE,B_MOD_midnightblue,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_006,B_TGT_HIF1A,B_MOD_turquoise,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_007,B_TGT_KIT,B_MOD_turquoise,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_008,B_TGT_CDK4,B_MOD_magenta,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_009,B_TGT_APEX1,B_MOD_blue,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_010,B_TGT_SYK,B_MOD_royalblue,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_011,B_TGT_TOP2A,B_MOD_darkred,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_012,B_TGT_HSP90AA1,B_MOD_blue,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_013,B_TGT_CHEK1,B_MOD_turquoise,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_014,B_TGT_SIGMAR1,B_MOD_lightyellow,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_015,B_TGT_PTPN11,B_MOD_greenyellow,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_016,B_TGT_CD38,B_MOD_lightcyan,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_017,B_TGT_MDM4,B_MOD_turquoise,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_018,B_TGT_MPO,B_MOD_blue,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_019,B_TGT_PRKDC,B_MOD_turquoise,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_020,B_TGT_GSK3B,B_MOD_purple,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_021,B_TGT_CCNB1,B_MOD_blue,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_022,B_TGT_G6PD,B_MOD_yellow,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_023,B_TGT_MIF,B_MOD_magenta,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TM_024,B_TGT_AURKB,B_MOD_darkred,B,strict module membership,B_Target-module,strict 42-profile WGCNA module assignment,,,,,,,Formal Top30 own_module_if_top5000.,Module membership only; not single-gene differential expression.,,,,,,,,,
B_TU_001,B_TGT_CDK2,B_UNASSIGNED_STRICT,B,strict assignment status,B_Target-unassigned,not assigned in strict network,,,,,,,Formal Top30 own_module_if_top5000 is empty.,Status link only; no module identity is inferred.,,,,,,,,,
B_TU_002,B_TGT_TERT,B_UNASSIGNED_STRICT,B,strict assignment status,B_Target-unassigned,not assigned in strict network,,,,,,,Formal Top30 own_module_if_top5000 is empty.,Status link only; no module identity is inferred.,,,,,,,,,
B_TU_003,B_TGT_PTGS2,B_UNASSIGNED_STRICT,B,strict assignment status,B_Target-unassigned,not assigned in strict network,,,,,,,Formal Top30 own_module_if_top5000 is empty.,Status link only; no module identity is inferred.,,,,,,,,,
B_TU_004,B_TGT_ARG1,B_UNASSIGNED_STRICT,B,strict assignment status,B_Target-unassigned,not assigned in strict network,,,,,,,Formal Top30 own_module_if_top5000 is empty.,Status link only; no module identity is inferred.,,,,,,,,,
B_TU_005,B_TGT_TBXAS1,B_UNASSIGNED_STRICT,B,strict assignment status,B_Target-unassigned,not assigned in strict network,,,,,,,Formal Top30 own_module_if_top5000 is empty.,Status link only; no module identity is inferred.,,,,,,,,,
B_TU_006,B_TGT_PIK3CG,B_UNASSIGNED_STRICT,B,strict assignment status,B_Target-unassigned,not assigned in strict network,,,,,,,Formal Top30 own_module_if_top5000 is empty.,Status link only; no module identity is inferred.,,,,,,,,,
B_MCXT_001,B_MOD_blue,B_CTX_HSPC_injury_stress,B,predefined signature overlap,B_Module-AA-context,gene-overlap annotation,1,,,,,,92 module_signature_overlap_annotation.csv.,"Overlap count only; not enrichment, module-trait association, or gene differential expression.",,,,,,,,,
B_MCXT_002,B_MOD_blue,B_CTX_cell_cycle_recovery,B,predefined signature overlap,B_Module-AA-context,gene-overlap annotation,3,,,,,,92 module_signature_overlap_annotation.csv.,"Overlap count only; not enrichment, module-trait association, or gene differential expression.",,,,,,,,,
B_MCXT_003,B_MOD_darkred,B_CTX_cell_cycle_recovery,B,predefined signature overlap,B_Module-AA-context,gene-overlap annotation,3,,,,,,92 module_signature_overlap_annotation.csv.,"Overlap count only; not enrichment, module-trait association, or gene differential expression.",,,,,,,,,
B_MCXT_004,B_MOD_lightyellow,B_CTX_cell_cycle_recovery,B,predefined signature overlap,B_Module-AA-context,gene-overlap annotation,1,,,,,,92 module_signature_overlap_annotation.csv.,"Overlap count only; not enrichment, module-trait association, or gene differential expression.",,,,,,,,,
