id,name,display_label,full_label,panel,layer,node_type,visual_class,fill_group,core_role,formal_rank,formal_score,strict_status,strict_module,source_role,evidence_boundary,layout_x,layout_y
B_TGT_CDK6,B_TGT_CDK6,"1
CDK6",CDK6,B,Top30,Target,Target_core_direct,STATUS_FDR,core10_direct_priority_candidate,1,79.34656777665151,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-2500.0,-800.0
B_TGT_CA2,B_TGT_CA2,"2
CA2",CA2,B,Top30,Target,Target_core_direct,STATUS_NOMINAL,core10_direct_priority_candidate,2,77.61705714886202,nominal_module_context,midnightblue,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-1900.0,-800.0
B_TGT_HSP90AB1,B_TGT_HSP90AB1,"3
HSP90AB1",HSP90AB1,B,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,3,72.96351599301178,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-1300.0,-800.0
B_TGT_PARP1,B_TGT_PARP1,"4
PARP1",PARP1,B,Top30,Target,Target_core_direct,STATUS_FDR,core10_direct_priority_candidate,4,68.82787111305984,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-700.0,-800.0
B_TGT_ACHE,B_TGT_ACHE,"5
ACHE",ACHE,B,Top30,Target,Target_noncore,STATUS_NOMINAL,top30_priority_candidate,5,67.35091437159633,nominal_module_context,midnightblue,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-100.0,-800.0
B_TGT_HIF1A,B_TGT_HIF1A,"6
HIF1A",HIF1A,B,Top30,Target,Target_core_mechanism,STATUS_FDR,core10_mechanism_perturbation_candidate,6,62.614011693635064,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-2500.0,-480.0
B_TGT_KIT,B_TGT_KIT,"7
KIT",KIT,B,Top30,Target,Target_core_direct,STATUS_FDR,core10_direct_priority_candidate,7,61.97632846267291,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-1900.0,-480.0
B_TGT_CDK4,B_TGT_CDK4,"8
CDK4",CDK4,B,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,8,60.389387654168516,contrast_specific_FDR_module_support,magenta,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-1300.0,-480.0
B_TGT_CDK2,B_TGT_CDK2,"9
CDK2",CDK2,B,Top30,Target,Target_noncore,STATUS_UNASSIGNED,top30_priority_candidate,9,59.59020295464639,projection_only_not_in_strict_top5000,not assigned,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-700.0,-480.0
B_TGT_APEX1,B_TGT_APEX1,"10
APEX1",APEX1,B,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,10,59.43107527416479,contrast_specific_FDR_module_support,blue,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-100.0,-480.0
B_TGT_SYK,B_TGT_SYK,"11
SYK",SYK,B,Top30,Target,Target_core_direct,STATUS_FDR,core10_direct_priority_candidate,11,59.07862844170006,contrast_specific_FDR_module_support,royalblue,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-2500.0,-160.0
B_TGT_TOP2A,B_TGT_TOP2A,"12
TOP2A",TOP2A,B,Top30,Target,Target_core_mechanism,STATUS_NONE,core10_mechanism_perturbation_candidate,12,59.036461554775876,no_prespecified_module_contrast_support,darkred,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-1900.0,-160.0
B_TGT_HSP90AA1,B_TGT_HSP90AA1,"13
HSP90AA1",HSP90AA1,B,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,13,58.73784582062004,contrast_specific_FDR_module_support,blue,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-1300.0,-160.0
B_TGT_CHEK1,B_TGT_CHEK1,"14
CHEK1",CHEK1,B,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,14,57.87059883307138,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-700.0,-160.0
B_TGT_SIGMAR1,B_TGT_SIGMAR1,"15
SIGMAR1",SIGMAR1,B,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,15,57.55192381845957,contrast_specific_FDR_module_support,lightyellow,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-100.0,-160.0
B_TGT_TERT,B_TGT_TERT,"16
TERT",TERT,B,Top30,Target,Target_core_mechanism,STATUS_UNASSIGNED,core10_mechanism_perturbation_candidate,16,57.53866507508347,projection_only_not_in_strict_top5000,not assigned,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-2500.0,160.0
B_TGT_PTPN11,B_TGT_PTPN11,"17
PTPN11",PTPN11,B,Top30,Target,Target_noncore,STATUS_NOMINAL,top30_priority_candidate,17,57.292317637911296,nominal_module_context,greenyellow,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-1900.0,160.0
B_TGT_PTGS2,B_TGT_PTGS2,"18
PTGS2",PTGS2,B,Top30,Target,Target_noncore,STATUS_UNASSIGNED,top30_priority_candidate,18,56.65453431485879,projection_only_not_in_strict_top5000,not assigned,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-1300.0,160.0
B_TGT_ARG1,B_TGT_ARG1,"19
ARG1",ARG1,B,Top30,Target,Target_noncore,STATUS_UNASSIGNED,top30_priority_candidate,19,56.4415071362566,projection_only_not_in_strict_top5000,not assigned,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-700.0,160.0
B_TGT_CD38,B_TGT_CD38,"20
CD38",CD38,B,Top30,Target,Target_core_mechanism,STATUS_NONE,core10_mechanism_perturbation_candidate,20,56.33118733049547,no_prespecified_module_contrast_support,lightcyan,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-100.0,160.0
B_TGT_MDM4,B_TGT_MDM4,"21
MDM4",MDM4,B,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,21,55.64509677007915,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-2500.0,480.0
B_TGT_MPO,B_TGT_MPO,"22
MPO",MPO,B,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,22,54.890440011081985,contrast_specific_FDR_module_support,blue,prespecified Top30 candidate,Candidate priority annotation; not single-gene differential expression.,-1900.0,480.0
