"baseline_module","original42_module","overlap_n","baseline_module_n","original42_module_n","jaccard"
"black","green",130,228,221,0.407523510971787
"blue","turquoise",451,524,831,0.498893805309735
"brown","blue",224,537,661,0.229979466119097
"cyan","cyan",65,98,91,0.524193548387097
"darkgreen","turquoise",37,43,831,0.044205495818399
"darkred","tan",22,43,115,0.161764705882353
"darkturquoise","turquoise",26,36,831,0.0309155766944114
"green","yellow",109,276,294,0.23644251626898
"greenyellow","darkgrey",24,126,43,0.16551724137931
"grey","grey",7,25,45,0.111111111111111
"grey60","lightyellow",39,91,77,0.302325581395349
"lightcyan","darkred",54,88,65,0.545454545454545
"lightgreen","grey60",69,87,86,0.663461538461538
"lightyellow","darkturquoise",19,69,51,0.188118811881188
"magenta","midnightblue",84,187,90,0.435233160621762
"midnightblue","darkorange",41,79,42,0.5125
"pink","greenyellow",64,221,113,0.237037037037037
"purple","royalblue",52,190,65,0.25615763546798
"red","black",146,229,200,0.515901060070671
"royalblue","darkturquoise",19,62,51,0.202127659574468
"salmon","pink",59,106,184,0.255411255411255
"tan","darkgreen",53,107,64,0.449152542372881
"turquoise","blue",299,684,661,0.28585086042065
"yellow","brown",259,455,432,0.412420382165605
