relative_path,bytes,sha256,table_rows,table_columns,columns
derived_data/molecular_dynamics/current_figure8/Figure8_final20ns_quantitative_summary.tsv,743,5b6387b3772520f6d5d8a419ff71a9f06291bfe4162cf611eec616126df49a96,5.0,7.0,case_id;display;protein_rmsd_mean_nm;ligand_rmsd_mean_nm;minimum_distance_median_nm;proximity_fraction_mean;ca_rmsf_median_nm
derived_data/molecular_dynamics/current_figure8/Figure8_five_candidates_ca_rmsf_source.tsv,110746,1219b3329d8578ce05bc673e9fb991e00a5ee56d4bb813ce64a27ec6281eef11,1901.0,5.0,case_id;display;residue_index;chain;rmsf_nm
derived_data/molecular_dynamics/current_figure8/Figure8_five_candidates_time_series_source.tsv.gz,1976225,effaf8aa397af7ddf1365fe6a8246b2b46280e8e532fb175587a5131df5d5710,200020.0,6.0,case_id;display;series;time_ns;value;smooth
derived_data/molecular_dynamics/current_figure8/README.md,1912,3f74f65725e706a891f3db12455b782e770bf8533b0f70fdaebbdebc3ffc7cb2,,,
derived_data/molecular_dynamics/Figure_7_five_system_md_source_data_20260725_v5_pbc_audited.csv,20626478,6b83c6d317adb7441e4a7083573c2fe9346fd57d74d066968526e5fa0f7aebfc,201555.0,7.0,case_id;display;series;x;value;x_unit;value_unit
derived_data/molecular_dynamics/supplementary_figures_S14_S16/README.md,4388,22c49a34dba59a065097c220f6151d66ec8d75ca55f00aab7bbcd3341adeb03b,,,
derived_data/molecular_dynamics/supplementary_figures_S14_S16/S14_TOP2A_QC/coordinate_metrics_timeseries.tsv,1170878,f69a5b56e30698a6a570b867a30e285aa804b538f0943214938ac923726a3eb8,10001.0,11.0,frame;time_ns;protein_backbone_rmsd_nm;ligand_heavy_rmsd_after_protein_fit_nm;protein_ligand_min_heavy_distance_nm;protein_ligand_heavy_contact_pairs_le_0_40_nm;pocket_occupied_le_0_50_nm;pocket_occupied_le_0_40_nm;pocket_ligand_heavy_contact_pairs_le_0_40_nm;pocket_ligand_com_distance_nm;protein_radius_of_gyration_nm
derived_data/molecular_dynamics/supplementary_figures_S14_S16/S14_TOP2A_QC/residue_contact_occupancy.tsv,2243,15038005f319331003fa34a6476a8e7eb94f2b377bff448773bbc98d90e50fb4,27.0,11.0,new_resid;new_resname;original_chain;original_resid;original_resname;full_frames_contacted_le_0_40_nm;full_frames_total;full_contact_occupancy_fraction;last20_frames_contacted_le_0_40_nm;last20_frames_total;last20_contact_occupancy_fraction
derived_data/molecular_dynamics/supplementary_figures_S14_S16/S14_TOP2A_QC/sasa.tsv,215829,4c4c7fff887a015f8b815e0b6fe77e3d64bf7fe75ff19ebc18dd49cfb3b4e1fa,10001.0,3.0,time_ns;protein_sasa_nm2;protein_sasa_output_group_nm2
derived_data/molecular_dynamics/supplementary_figures_S14_S16/S14_TOP2A_QC/temperature_pressure_density.tsv,392940,297fd1fd9b6986ea32b6645813849679b9716e183bc9c6d95b3c28237980f7a3,10001.0,4.0,time_ns;temperature_K;pressure_bar;density_kg_m3
