scenario,GeneSymbol,rank_no_docking_formal,no_docking_formal_score,scenario_score,scenario_rank,formal_rank_reproduced,rank_shift_vs_formal,in_scenario_top30,is_core10,is_focus5,dropped_components
formal_all_components,CDK6,1,79.34656777665151,79.34656777984802,1,1,0,True,True,False,none
formal_all_components,CA2,2,77.61705714886202,77.61705714901666,2,2,0,True,True,False,none
formal_all_components,HSP90AB1,3,72.96351599301178,72.96351599691413,3,3,0,True,False,False,none
formal_all_components,PARP1,4,68.82787111305984,68.82787111461654,4,4,0,True,True,False,none
formal_all_components,ACHE,5,67.35091437159633,67.3509143728558,5,5,0,True,False,False,none
formal_all_components,HIF1A,6,62.61401169363506,62.61401169438274,6,6,0,True,True,True,none
formal_all_components,KIT,7,61.97632846267291,61.97632846538248,7,7,0,True,True,True,none
formal_all_components,CDK4,8,60.38938765416852,60.38938765652384,8,8,0,True,False,False,none
formal_all_components,CDK2,9,59.59020295464639,59.59020295610632,9,9,0,True,False,False,none
formal_all_components,APEX1,10,59.43107527416479,59.43107527635482,10,10,0,True,False,False,none
formal_all_components,SYK,11,59.07862844170006,59.07862844286339,11,11,0,True,True,True,none
formal_all_components,TOP2A,12,59.03646155477588,59.03646155579552,12,12,0,True,True,True,none
formal_all_components,HSP90AA1,13,58.73784582062004,58.73784582298585,13,13,0,True,False,False,none
formal_all_components,CHEK1,14,57.87059883307138,57.87059883490876,14,14,0,True,False,False,none
formal_all_components,SIGMAR1,15,57.55192381845957,57.55192381975682,15,15,0,True,False,False,none
formal_all_components,TERT,16,57.53866507508347,57.53866507514419,16,16,0,True,True,False,none
formal_all_components,PTPN11,17,57.292317637911296,57.29231764000025,17,17,0,True,False,False,none
formal_all_components,PTGS2,18,56.65453431485879,56.654534315118845,18,18,0,True,False,False,none
formal_all_components,ARG1,19,56.4415071362566,56.44150713534577,19,19,0,True,False,False,none
formal_all_components,CD38,20,56.33118733049547,56.331187331002674,20,20,0,True,True,False,none
formal_all_components,MDM4,21,55.64509677007915,55.64509677322268,21,21,0,True,False,False,none
formal_all_components,MPO,22,54.89044001108199,54.8904400109216,22,22,0,True,False,False,none
formal_all_components,PRKDC,23,54.71872594659365,54.718725949922785,23,23,0,True,False,False,none
formal_all_components,GSK3B,24,54.67323933342392,54.6732393344421,24,24,0,True,True,True,none
formal_all_components,CCNB1,25,54.60723991893139,54.607239918718875,25,25,0,True,False,False,none
formal_all_components,G6PD,26,54.1033457548013,54.1033457560826,26,26,0,True,False,False,none
formal_all_components,MIF,27,53.89438931387487,53.894389316232385,27,27,0,True,False,False,none
formal_all_components,TBXAS1,28,53.80934079860913,53.809340798614244,28,28,0,True,False,False,none
formal_all_components,AURKB,29,53.80161593046072,53.80161593123651,29,29,0,True,False,False,none
formal_all_components,PIK3CG,30,53.45711100591184,53.4571110065028,30,30,0,True,False,False,none
formal_all_components,PGD,31,52.8550472189166,52.8550472220372,31,31,0,False,False,False,none
formal_all_components,HDAC1,32,52.82782592742976,52.82782592978585,32,32,0,False,False,False,none
formal_all_components,FLT3,33,52.78878505001604,52.78878505071546,33,33,0,False,False,False,none
formal_all_components,TP53,34,52.75607903312135,52.75607903602386,34,34,0,False,False,False,none
formal_all_components,CDK1,35,51.94578069785499,51.94578069737602,35,35,0,False,False,False,none
formal_all_components,PIK3CA,36,51.782778837561,51.78277883948705,36,36,0,False,False,False,none
formal_all_components,IGF1R,37,51.76310470655844,51.763104704997396,37,37,0,False,False,False,none
formal_all_components,AR,38,51.159965528163255,51.159965528429574,38,38,0,False,False,False,none
formal_all_components,MET,39,50.63809148998545,50.63809149051398,39,39,0,False,False,False,none
formal_all_components,AKT1,40,50.15307493087494,50.15307493108393,40,40,0,False,False,False,none
formal_all_components,ESR1,41,50.06054282542668,50.06054282482141,41,41,0,False,False,False,none
formal_all_components,PLK1,42,49.45843517589974,49.45843517469123,42,42,0,False,False,False,none
formal_all_components,NEK2,43,49.35214941566891,49.35214941626073,43,43,0,False,False,False,none
formal_all_components,TDP1,44,48.23296042277877,48.23296042545573,44,44,0,False,False,False,none
formal_all_components,DUT,45,47.94219831605302,47.9421983187611,45,45,0,False,False,False,none
formal_all_components,FEN1,46,47.76679184600543,47.76679184850822,46,46,0,False,False,False,none
formal_all_components,DHFR,47,47.7354393604263,47.73543936299861,47,47,0,False,False,False,none
