package	recorded_version	role
WGCNA	1.74	co-expression network analysis
limma	3.64.3	participant-adjusted module-eigengene contrasts
dynamicTreeCut	1.63.1	dynamic module detection
fastcluster	1.3.0	hierarchical clustering
Matrix	1.7.4	sparse matrix operations
ggplot2	4.0.2	figure rendering
scTenifoldKnk	1.0.3	computational gene perturbation
Seurat	5.5.0	single-cell preprocessing and integration
data.table	1.18.2.1	data handling
pheatmap	1.0.13	heatmap rendering
DESeq2	1.48.1	independent bulk-transcriptomic analysis
ggrepel	0.9.6	figure-label placement
readr	2.1.6	delimited-file input
dplyr	1.1.4	data transformation
patchwork	not_recorded	multi-panel figure assembly
scales	not_recorded	scale formatting
svglite	not_recorded	SVG output
ragg	not_recorded	raster output
tidyr	not_recorded	data reshaping
jsonlite	not_recorded	JSON input and output
png	not_recorded	PNG input for prescription-mining figures
future	not_recorded	parallel execution support for single-cell workflows
digest	0.6.39	hashing and integrity checks
scTenifoldNet	not_recorded	single-cell gene-regulatory network construction
magick	not_recorded	raster-image composition for Figure 2 and supplementary typography renderers
officer	not_recorded	Office document support for the historical supplementary-figure renderer
